RDA element,alignment,LRM element
abbreviated title,has broader,has appellation
abbreviated title of,has broader,is appellation of
abridged as expression,has broader,is associated with res
abridged as work,has broader,was transformed into
abridgement of expression,has broader,is associated with res
abridgement of work,has broader,is a transformation of
abridger agent,has broader,was created by expression
abridger agent of,has broader,created expression
abridger collective agent,has broader,was created by expression
abridger collective agent of,has broader,created expression
abridger corporate body,has broader,was created by expression
abridger corporate body of,has broader,created expression
abridger family,has broader,was created by expression
abridger family of,has broader,created expression
abridger person,has broader,was created by expression
abridger person of,has broader,created expression
absorbed by expression,has broader,is associated with res
absorbed by work,has broader,was transformed into
absorbed corporate body,has broader,precedes collective agent
absorbed in part by expression,has broader,is associated with res
absorbed in part by work,has broader,was transformed into
absorbing corporate body,has broader,succeeds collective agent
absorption in part of expression,has broader,is associated with res
absorption in part of work,has broader,is a transformation of
absorption of expression,has broader,is associated with res
absorption of work,has broader,is a transformation of
abstract,has broader,was transformed into
abstract of,has broader,is a transformation of
abstracted in expression,has broader,is associated with res
abstracted in work,has broader,was transformed into
abstracts for expression,has broader,is associated with res
abstracts for work,has broader,is a transformation of
academic degree,has broader,has category of work
academic supervisor,has broader,was created by work
academic supervisor of,has broader,created work
access point for agent,has broader,has appellation
access point for agent of,has broader,is appellation of
access point for collective agent,has broader,has appellation
access point for collective agent of,has broader,is appellation of
access point for corporate body,has broader,has appellation
access point for corporate body of,has broader,is appellation of
access point for expression,has broader,has appellation
access point for expression of,has broader,is appellation of
access point for family,has broader,has appellation
access point for family of,has broader,is appellation of
access point for item,has broader,has appellation
access point for item of,has broader,is appellation of
access point for manifestation,has broader,has appellation
access point for manifestation of,has broader,is appellation of
access point for person,has broader,has appellation
access point for person of,has broader,is appellation of
access point for place,has broader,has appellation
access point for place of,has broader,is appellation of
access point for RDA entity,has broader,has appellation
access point for RDA entity of,has broader,is appellation of
access point for timespan,has broader,has appellation
access point for timespan of,has broader,is appellation of
access point for work,has broader,has appellation
access point for work of,has broader,is appellation of
accessibility content,has broader,has access conditions
accompanied by manifestation,has broader,is associated with res
actor agent,has broader,was created by expression
actor agent of,has broader,created expression
actor collective agent,has broader,was created by expression
actor collective agent of,has broader,created expression
actor corporate body,has broader,was created by expression
actor corporate body of,has broader,created expression
actor family,has broader,was created by expression
actor family of,has broader,created expression
actor person,has broader,was created by expression
actor person of,has broader,created expression
adaptation of expression,has broader,is associated with res
adaptation of work,has broader,is a transformation of
adapted as choreography expression,has broader,is associated with res
adapted as choreography work,has broader,was transformed into
adapted as expression,has broader,is associated with res
adapted as graphic novel expression,has broader,is associated with res
adapted as graphic novel work,has broader,was transformed into
adapted as libretto expression,has broader,is associated with res
adapted as libretto work,has broader,was transformed into
adapted as motion picture expression,has broader,is associated with res
adapted as motion picture screenplay expression,has broader,is associated with res
adapted as motion picture screenplay work,has broader,was transformed into
adapted as motion picture work,has broader,was transformed into
adapted as musical theatre expression,has broader,is associated with res
adapted as musical theatre work,has broader,was transformed into
adapted as novel expression,has broader,is associated with res
adapted as novel work,has broader,was transformed into
adapted as opera expression,has broader,is associated with res
adapted as opera work,has broader,was transformed into
adapted as oratorio expression,has broader,is associated with res
adapted as oratorio work,has broader,was transformed into
adapted as radio program expression,has broader,is associated with res
adapted as radio program work,has broader,was transformed into
adapted as radio script expression,has broader,is associated with res
adapted as radio script work,has broader,was transformed into
adapted as screenplay expression,has broader,is associated with res
adapted as screenplay work,has broader,was transformed into
adapted as television program expression,has broader,is associated with res
adapted as television program work,has broader,was transformed into
adapted as television screenplay expression,has broader,is associated with res
adapted as television screenplay work,has broader,was transformed into
adapted as video expression,has broader,is associated with res
adapted as video game work,has broader,was transformed into
adapted as video screenplay expression,has broader,is associated with res
adapted as video screenplay work,has broader,was transformed into
adapted as video work,has broader,was transformed into
adapted as work,has broader,was transformed into
adapted in verse as expression,has broader,is associated with res
adapted in verse as work,has broader,was transformed into
addenda expression,has broader,is associated with res
addenda to expression,has broader,is associated with res
addenda to work,has broader,is accompanied or complemented by
addenda work,has broader,accompanies or complements
additional scale information,has broader,has note
address of agent,has broader,has contact information
address of collective agent,has broader,has contact information
address of corporate body,has broader,has contact information
address of family,has broader,has contact information
address of person,has broader,has contact information
addressee agent,has broader,is associated with res
addressee agent of,has broader,is associated with res
addressee collective agent,has broader,is associated with res
addressee collective agent of,has broader,is associated with res
addressee corporate body,has broader,is associated with res
addressee corporate body of,has broader,is associated with res
addressee family,has broader,is associated with res
addressee family of,has broader,is associated with res
addressee person,has broader,is associated with res
addressee person of,has broader,is associated with res
agent described by,has broader,is subject of
agent described with metadata by,has broader,is subject of
aggregated by,has equivalent,was aggregated by
aggregates,has equivalent,aggregated
aggregator agent,has broader,was created by work
aggregator agent of,has broader,created work
aggregator collective agent,has broader,was created by work
aggregator collective agent of,has broader,created work
aggregator corporate body,has broader,was created by work
aggregator corporate body of,has broader,created work
aggregator family,has broader,was created by work
aggregator family of,has broader,created work
aggregator person,has broader,was created by work
aggregator person of,has broader,created work
also issued as,has equivalent,has alternate
alternate identity of person,has broader,has appellation
alternate identity of person of,has broader,is appellation of
analysis of expression,has broader,has as subject
analysis of item,has broader,has as subject
analysis of manifestation,has broader,has as subject
analysis of work,has broader,has as subject
animator agent,has broader,was created by expression
