RDA element,RDA recording method,Alignment,M21 Authority encoding
abridged as expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridged as expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridged as expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
abridged as expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abridged as expression,identifier,aligns with,500 ** $0 
abridged as expression,identifier,aligns with,510 ** $0 
abridged as expression,identifier,aligns with,511 ** $0 
abridged as expression,identifier,aligns with,530 ** $0 
abridged as expression,IRI,aligns with,500 ** $1 
abridged as expression,IRI,aligns with,510 ** $1 
abridged as expression,IRI,aligns with,511 ** $1 
abridged as expression,IRI,aligns with,530 ** $1 
abridged as work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
abridged as work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
abridged as work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
abridged as work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
abridged as work,identifier,aligns with,500 ** $0 
abridged as work,identifier,aligns with,510 ** $0 
abridged as work,identifier,aligns with,511 ** $0 
abridged as work,identifier,aligns with,530 ** $0 
abridged as work,IRI,aligns with,500 ** $1 
abridged as work,IRI,aligns with,510 ** $1 
abridged as work,IRI,aligns with,511 ** $1 
abridged as work,IRI,aligns with,530 ** $1 
abridgement of expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridgement of expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridgement of expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
abridgement of expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
