*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has identifier for item,rdaid:identifierForItem.en,rdaid:P40001,property,rdac:C10003,rdai:P40001,rdaid:P40081,rdaxd:P00018,Published
has modification of item,rdaid:modificationOfItem.en,rdaid:P40003,property,rdac:C10003,rdai:P40003,rdaid:P40028,,Published
has collector agent (Deprecated),rdaid:collectorAgent.en,rdaid:P40004,property,rdac:C10003,rdai:P40004,rdaid:P40017,,Deprecated
has collection registrar agent (Deprecated),rdaid:collectionRegistrarAgent.en,rdaid:P40005,property,rdac:C10003,rdai:P40005,rdaid:P40017,,Deprecated
has depositor agent,rdaid:depositorAgent.en,rdaid:P40006,property,rdac:C10003,rdai:P40006,rdaid:P40018,,Published
has donor agent,rdaid:donorAgent.en,rdaid:P40007,property,rdac:C10003,rdai:P40007,rdaid:P40019,,Published
has seller agent,rdaid:sellerAgent.en,rdaid:P40008,property,rdac:C10003,rdai:P40008,rdaid:P40019,,Published
is contained in item,rdaid:containedInItem.en,rdaid:P40009,property,rdac:C10003,rdai:P40009,rdaid:P40046,,Published
has note on dimensions of item,rdaid:noteOnDimensionsOfItem.en,rdaid:P40010,property,rdac:C10003,rdai:P40010,rdaid:P40028,,Published
has note on extent of item,rdaid:noteOnExtentOfItem.en,rdaid:P40011,property,rdac:C10003,rdai:P40011,rdaid:P40028,,Published
has illuminator agent,rdaid:illuminatorAgent.en,rdaid:P40012,property,rdac:C10003,rdai:P40012,rdaid:P40093,,Published
has binder agent,rdaid:binderAgent.en,rdaid:P40013,property,rdac:C10003,rdai:P40013,rdaid:P40093,,Published
has inscriber,rdaid:inscriber.en,rdaid:P40014,property,rdac:C10003,rdai:P40014,rdaid:P40112,,Published
has annotator,rdaid:annotator.en,rdaid:P40015,property,rdac:C10003,rdai:P40015,rdaid:P40112,,Published
has autographer,rdaid:autographer.en,rdaid:P40016,property,rdac:C10003,rdai:P40016,rdaid:P40112,,Published
has curator agent (Deprecated),rdaid:curatorAgent.en,rdaid:P40017,property,rdac:C10003,rdai:P40017,rdaid:P40072,,Deprecated
has current owner agent,rdaid:currentOwnerAgent.en,rdaid:P40018,property,rdac:C10003,rdai:P40018,rdaid:P40021,,Published
has former owner agent,rdaid:formerOwnerAgent.en,rdaid:P40019,property,rdac:C10003,rdai:P40019,rdaid:P40021,,Published
has custodian agent,rdaid:custodianAgent.en,rdaid:P40020,property,rdac:C10003,rdai:P40020,rdaid:P40072,,Published
has owner agent,rdaid:ownerAgent.en,rdaid:P40021,property,rdac:C10003,rdai:P40021,rdaid:P40072,,Published
