*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has name of place,rdapd:nameOfPlace.en,rdapd:P70001,property,rdac:C10009,rdap:P70001,rdapd:P70019,rdaxd:P00019,Published
has preferred name of place,rdapd:preferredNameOfPlace.en,rdapd:P70002,property,rdac:C10009,rdap:P70002,rdapd:P70001,rdaxd:P00021,Published
has variant name of place,rdapd:variantNameOfPlace.en,rdapd:P70003,property,rdac:C10009,rdap:P70003,rdapd:P70001,rdaxd:P00023,Published
has related work of place,rdapd:relatedWorkOfPlace.en,rdapd:P70004,property,rdac:C10009,rdap:P70004,rdapd:P70013,rdaxd:P00002,Published
has related expression of place,rdapd:relatedExpressionOfPlace.en,rdapd:P70005,property,rdac:C10009,rdap:P70005,rdapd:P70013,rdaxd:P00003,Published
has related manifestation of place,rdapd:relatedManifestationOfPlace.en,rdapd:P70006,property,rdac:C10009,rdap:P70006,rdapd:P70013,rdaxd:P00004,Published
has related item of place,rdapd:relatedItemOfPlace.en,rdapd:P70007,property,rdac:C10009,rdap:P70007,rdapd:P70013,rdaxd:P00005,Published
has related agent of place,rdapd:relatedAgentOfPlace.en,rdapd:P70008,property,rdac:C10009,rdap:P70008,rdapd:P70013,rdaxd:P00006,Published
has related collective agent of place,rdapd:relatedCollectiveAgentOfPlace.en,rdapd:P70009,property,rdac:C10009,rdap:P70009,rdapd:P70008,rdaxd:P00012,Published
has related place of place,rdapd:relatedPlaceOfPlace.en,rdapd:P70010,property,rdac:C10009,rdap:P70010,rdapd:P70013,rdaxd:P00010,Published
has related timespan of place,rdapd:relatedTimespanOfPlace.en,rdapd:P70011,property,rdac:C10009,rdap:P70011,rdapd:P70013,rdaxd:P00011,Published
has related nomen of place,rdapd:relatedNomenOfPlace.en,rdapd:P70012,property,rdac:C10009,rdap:P70012,rdapd:P70013,rdaxd:P00013,Published
has related person of place,rdapd:relatedPersonOfPlace.en,rdapd:P70014,property,rdac:C10009,rdap:P70014,rdapd:P70008,rdaxd:P00007,Published
has related family of place,rdapd:relatedFamilyOfPlace.en,rdapd:P70015,property,rdac:C10009,rdap:P70015,rdapd:P70009,rdaxd:P00008,Published
has related corporate body of place,rdapd:relatedCorporateBodyOfPlace.en,rdapd:P70016,property,rdac:C10009,rdap:P70016,rdapd:P70009,rdaxd:P00009,Published
is subject place of,rdapd:subjecfPlaceOf.en,rdapd:P70017,property,rdac:C10009,rdap:P70017,rdapd:P70004,rdaxd:P00014,Published
