Deprecated Element,Deprecated Element Label,Recommended,RecommendedLabel
rdae:P20260,details of aspect ratio designation,rdae:P20290,aspect ratio designation
rdae:P20278,details of duration,rdae:P20219,duration
rdae:P20262,details of form of musical notation,rdae:P20064,form of musical notation
rdae:P20263,details of form of notated movement,rdae:P20063,form of notated movement
rdae:P20265,details of form of tactile notation,rdae:P20061,form of tactile notation
rdae:P20264,details of format of notated music,rdae:P20209,format of notated music
rdae:P20266,details of script,rdae:P20065,script
rdam:P30216,details of applied material,rdam:P30084,applied material
rdam:P30217,details of base material,rdam:P30208,base material
rdam:P30218,details of bibliographic format,rdam:P30197,bibliographic format
rdam:P30219,details of broadcast standard,rdam:P30123,broadcast standard
rdam:P30262,details of cartographic data type,rdam:P30261,cartographic data type
rdam:P30220,details of configuration of playback channels,rdam:P30184,configuration of playback channels
rdam:P30221,details of digital file characteristic,rdam:P30124,digital file characteristic
rdam:P30222,details of digital representation of cartographic content,rdam:P30102,digital representation of cartographic content
rdam:P30223,details of emulsion on microfilm and microfiche,rdam:P30122,emulsion on microfilm and microfiche
rdam:P30224,details of encoding format,rdam:P30096,encoding format
rdam:P30225,details of file type,rdam:P30018,file type
rdam:P30226,details of font size,rdam:P30199,font size
rdam:P30252,details of generation,rdam:P30191,generation
rdam:P30232,details of groove characteristic,rdam:P30164,groove characteristic
rdam:P30233,details of layout,rdam:P30155,layout
rdam:P30234,details of mount,rdam:P30186,mount
rdam:P30235,details of playing speed,rdam:P30201,playing speed
rdam:P30236,details of polarity,rdam:P30196,polarity
rdam:P30237,details of presentation format,rdam:P30163,presentation format
rdam:P30238,details of production method,rdam:P30187,production method
rdam:P30241,details of projection characteristic of motion picture film,rdam:P30127,projection characteristic of motion picture film
rdam:P30242,details of projection speed,rdam:P30200,projection speed
rdam:P30243,details of recording medium,rdam:P30206,recording medium
rdam:P30244,details of reduction ratio designation,rdam:P30263,reduction ratio designation
rdam:P30275,details of regional encoding,rdam:P30006,regional encoding
rdam:P30245,details of sound characteristic,rdam:P30125,sound characteristic
rdam:P30246,details of special playback characteristic,rdam:P30138,special playback characteristic
rdam:P30247,details of tape configuration,rdam:P30185,tape configuration
rdam:P30248,details of track configuration,rdam:P30161,track configuration
rdam:P30249,details of type of recording,rdam:P30172,type of recording
rdam:P30250,details of video characteristic,rdam:P30126,video characteristic
rdam:P30251,details of video format,rdam:P30104,video format
