RDA,mapping,DCT
rdaa:P50039,has broader,dct:date
rdae:P20001,has broader,dct:type
rdae:P20002,has broader,dct:identifier
rdae:P20004,has broader,dct:date
rdae:P20006,has broader,dct:language
rdae:P20009,has broader,dct:hasVersion
rdae:P20011,has broader,dct:contributor
rdae:P20012,has broader,dct:contributor
rdae:P20013,has broader,dct:contributor
rdae:P20014,has broader,dct:contributor
rdae:P20015,has broader,dct:contributor
rdae:P20016,has broader,dct:contributor
rdae:P20017,has broader,dct:contributor
rdae:P20018,has broader,dct:contributor
rdae:P20019,has broader,dct:contributor
rdae:P20020,has broader,dct:contributor
rdae:P20021,has broader,dct:contributor
rdae:P20022,has broader,dct:contributor
rdae:P20023,has broader,dct:contributor
rdae:P20024,has broader,dct:contributor
rdae:P20025,has broader,dct:contributor
rdae:P20028,has broader,dct:contributor
rdae:P20029,has broader,dct:contributor
rdae:P20031,has broader,dct:contributor
rdae:P20032,has broader,dct:contributor
rdae:P20033,has broader,dct:contributor
rdae:P20034,has broader,dct:contributor
rdae:P20035,has broader,dct:contributor
rdae:P20036,has broader,dct:contributor
rdae:P20037,has broader,dct:contributor
rdae:P20038,has broader,dct:contributor
rdae:P20039,has broader,dct:contributor
rdae:P20040,has broader,dct:contributor
rdae:P20047,has broader,dct:contributor
rdae:P20049,has broader,dct:contributor
rdae:P20050,has broader,dct:contributor
rdae:P20052,has broader,dct:contributor
rdae:P20053,has broader,dct:contributor
rdae:P20054,has broader,dct:contributor
rdae:P20055,has broader,dct:contributor
rdae:P20056,has broader,dct:contributor
rdae:P20058,has broader,dct:contributor
rdae:P20060,has broader,dct:hasVersion
rdae:P20066,has broader,dct:hasVersion
rdae:P20067,has broader,dct:hasVersion
rdae:P20069,has broader,dct:abstract
rdae:P20069,has broader,dct:description
rdae:P20070,has broader,dct:contributor
rdae:P20071,has broader,dct:description
rdae:P20073,has broader,dct:hasVersion
rdae:P20074,has broader,dct:isPartOf
rdae:P20075,has broader,dct:isReplacedBy
rdae:P20076,has broader,dct:isReplacedBy
rdae:P20077,has broader,dct:hasVersion
rdae:P20078,has broader,dct:isVersionOf
rdae:P20079,has broader,dct:hasVersion
rdae:P20081,has broader,dct:hasVersion
rdae:P20082,has broader,dct:isVersionOf
rdae:P20087,has broader,dct:hasVersion
rdae:P20088,has broader,dct:hasVersion
rdae:P20090,has broader,dct:abstract
rdae:P20092,has broader,dct:hasVersion
rdae:P20095,has broader,dct:hasVersion
rdae:P20096,has broader,dct:hasVersion
rdae:P20097,has broader,dct:hasVersion
rdae:P20098,has broader,dct:hasVersion
rdae:P20099,has broader,dct:hasVersion
rdae:P20101,has broader,dct:isVersionOf
rdae:P20104,has broader,dct:abstract
rdae:P20106,has broader,dct:abstract
rdae:P20106,has broader,dct:description
rdae:P20110,has broader,dct:hasVersion
rdae:P20114,has broader,dct:hasVersion
rdae:P20119,has broader,dct:isVersionOf
rdae:P20121,has broader,dct:isVersionOf
rdae:P20123,has broader,dct:isVersionOf
rdae:P20124,has broader,dct:isVersionOf
rdae:P20125,has broader,dct:isVersionOf
rdae:P20126,has broader,dct:isVersionOf
rdae:P20127,has broader,dct:isVersionOf
rdae:P20128,has broader,dct:isVersionOf
rdae:P20129,has broader,dct:isVersionOf
rdae:P20130,has broader,dct:isVersionOf
rdae:P20131,has broader,dct:isVersionOf
rdae:P20132,has broader,dct:isVersionOf
rdae:P20133,has broader,dct:isVersionOf
rdae:P20134,has broader,dct:isVersionOf
rdae:P20135,has broader,dct:isVersionOf
rdae:P20137,has broader,dct:replaces
rdae:P20138,has broader,dct:replaces
rdae:P20139,has broader,dct:isVersionOf
rdae:P20140,has broader,dct:isVersionOf
rdae:P20141,has broader,dct:isVersionOf
rdae:P20142,has broader,dct:hasVersion
rdae:P20143,has broader,dct:isReplacedBy
rdae:P20144,has broader,dct:isReplacedBy
rdae:P20145,has broader,dct:hasPart
rdae:P20152,has broader,dct:hasVersion
rdae:P20153,has broader,dct:hasVersion
rdae:P20156,has broader,dct:description
rdae:P20159,has broader,dct:isVersionOf
rdae:P20165,has broader,dct:hasVersion
rdae:P20166,has broader,dct:hasVersion
rdae:P20168,has broader,dct:isVersionOf
