RDA element,alignment,LRM element
abbreviated title,broader,has appellation
abbreviated title of,broader,is appellation of
abridged as expression,broader,has derivation expression
abridged as work,broader,was transformed into
abridgement of expression,broader,is derivation expression of
abridgement of work,broader,is a transformation of
abridger agent,broader,was created by expression
abridger agent of,broader,created expression
abridger collective agent,broader,was created by expression
abridger collective agent of,broader,created expression
abridger corporate body,broader,was created by expression
abridger corporate body of,broader,created expression
abridger family,broader,was created by expression
abridger family of,broader,created expression
abridger person,broader,was created by expression
abridger person of,broader,created expression
absorbed by expression,broader,is associated with res
absorbed by work,broader,succeeds work
absorbed corporate body,broader,precedes collective agent
absorbed in part by expression,broader,is associated with res
absorbed in part by work,broader,succeeds work
absorbing corporate body,broader,succeeds collective agent
absorption in part of expression,broader,is associated with res
absorption in part of work,broader,precedes work
absorption of expression,broader,is associated with res
absorption of work,broader,precedes work
abstract of expression,broader,is derivation expression of
abstract of work,broader,is a transformation of
abstracted as expression,broader,has derivation expression
abstracted as work,broader,was transformed into
abstracted in expression,broader,has derivation expression
abstracted in work,broader,was transformed into
abstracts for expression,broader,is derivation expression of
abstracts for work,broader,is a transformation of
academic degree,broader,has category of work
academic supervisor,broader,was created by work
academic supervisor of,broader,created work
access point for agent,broader,has appellation
access point for agent of,broader,is appellation of
access point for collective agent,broader,has appellation
access point for collective agent of,broader,is appellation of
access point for corporate body,broader,has appellation
access point for corporate body of,broader,is appellation of
access point for expression,broader,has appellation
access point for expression of,broader,is appellation of
access point for family,broader,has appellation
access point for family of,broader,is appellation of
access point for item,broader,has appellation
access point for item of,broader,is appellation of
access point for manifestation,broader,has appellation
access point for manifestation of,broader,is appellation of
access point for person,broader,has appellation
access point for person of,broader,is appellation of
access point for place,broader,has appellation
access point for place of,broader,is appellation of
access point for RDA entity,broader,has appellation
access point for RDA entity of,broader,is appellation of
access point for timespan,broader,has appellation
access point for timespan of,broader,is appellation of
access point for work,broader,has appellation
access point for work of,broader,is appellation of
accessibility content,broader,has access conditions
accompanied by item,broader,is associated with res
accompanied by manifestation,broader,is associated with res
actor agent,broader,was created by expression
actor agent of,broader,created expression
actor collective agent,broader,was created by expression
actor collective agent of,broader,created expression
actor corporate body,broader,was created by expression
actor corporate body of,broader,created expression
actor family,broader,was created by expression
actor family of,broader,created expression
actor person,broader,was created by expression
actor person of,broader,created expression
adaptation of expression,broader,is derivation expression of
adaptation of work,broader,is a transformation of
adapted as choreography expression,broader,has derivation expression
adapted as choreography work,broader,was transformed into
adapted as expression,broader,has derivation expression
adapted as graphic novel expression,broader,has derivation expression
adapted as graphic novel work,broader,was transformed into
adapted as libretto expression,broader,has derivation expression
adapted as libretto work,broader,was transformed into
adapted as motion picture expression,broader,has derivation expression
adapted as motion picture screenplay expression,broader,has derivation expression
adapted as motion picture screenplay work,broader,was transformed into
adapted as motion picture work,broader,was transformed into
adapted as musical theatre expression,broader,has derivation expression
adapted as musical theatre work,broader,was transformed into
adapted as novel expression,broader,has derivation expression
adapted as novel work,broader,was transformed into
adapted as opera expression,broader,has derivation expression
adapted as opera work,broader,was transformed into
adapted as oratorio expression,broader,has derivation expression
adapted as oratorio work,broader,was transformed into
adapted as radio program expression,broader,has derivation expression
adapted as radio program work,broader,was transformed into
adapted as radio script expression,broader,has derivation expression
adapted as radio script work,broader,was transformed into
adapted as screenplay expression,broader,has derivation expression
adapted as screenplay work,broader,was transformed into
adapted as television program expression,broader,has derivation expression
adapted as television program work,broader,was transformed into
adapted as television screenplay expression,broader,has derivation expression
adapted as television screenplay work,broader,was transformed into
adapted as video expression,broader,has derivation expression
adapted as video game work,broader,was transformed into
adapted as video screenplay expression,broader,has derivation expression
adapted as video screenplay work,broader,was transformed into
adapted as video work,broader,was transformed into
adapted as work,broader,was transformed into
adapted in verse as expression,broader,has derivation expression
adapted in verse as work,broader,was transformed into
addenda expression,broader,is associated with res
addenda to expression,broader,is associated with res
addenda to work,broader,is associated with res
addenda work,broader,is associated with res
additional scale information,broader,has note
address of agent,broader,has contact information
address of collective agent,broader,has contact information
address of corporate body,broader,has contact information
address of family,broader,has contact information
address of person,broader,has contact information
addressee agent,broader,is associated with res
addressee agent of,broader,is associated with res
addressee collective agent,broader,is associated with res
addressee collective agent of,broader,is associated with res
addressee corporate body,broader,is associated with res
addressee corporate body of,broader,is associated with res
addressee family,broader,is associated with res
addressee family of,broader,is associated with res
addressee person,broader,is associated with res
addressee person of,broader,is associated with res
agent described in,broader,is subject of
aggregated by,equivalent,was aggregated by
aggregates,equivalent,aggregated
aggregator agent,broader        rdfs:subPropertyOf        lrmer:R1,was created by work
aggregator agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
aggregator collective agent,broader,was created by work
aggregator collective agent of,broader,created work
aggregator corporate body,broader,was created by work
aggregator corporate body of,broader,created work
aggregator family,broader,was created by work
aggregator family of,broader,created work
aggregator person,broader,was created by work
aggregator person of,broader,created work
also issued as,equivalent,has alternate
alternate identity of person,broader,has appellation
alternate identity of person of,broader,is appellation of
analysis of expression,broader,has as subject
analysis of item,broader,has as subject
analysis of manifestation,broader,has as subject
analysis of work,broader,has as subject
animator agent,broader,was created by expression
animator agent of,broader,created expression
animator collective agent,broader,was created by expression
animator collective agent of,broader,created expression
animator corporate body,broader,was created by expression
animator corporate body of,broader,created expression
animator family,broader,was created by expression
animator family of,broader,created expression
animator person,broader,was created by expression
animator person of,broader,created expression
annotator,broader,was modified by
annotator of,broader,modified
appellant corporate body,broader,was created by work
appellant corporate body of,broader,created work
appellant person,broader,was created by work
appellant person of,broader,created work
appellation of agent,broader,has appellation
appellation of agent of,broader,is appellation of
appellation of collective agent,broader,has appellation
appellation of collective agent of,broader,is appellation of
appellation of corporate body,broader,has appellation
appellation of corporate body of,broader,is appellation of
appellation of expression,broader,has appellation
appellation of expression of,broader,is appellation of
appellation of family,broader,has appellation
appellation of family of,broader,is appellation of
appellation of item,broader,has appellation
appellation of item of,broader,is appellation of
appellation of manifestation,broader,has appellation
appellation of manifestation of,broader,is appellation of
appellation of person,broader,has appellation
appellation of person of,broader,is appellation of
appellation of place,broader,has appellation
appellation of place of,broader,is appellation of
appellation of RDA entity,broader,has appellation
appellation of RDA entity of,broader,is appellation of
appellation of timespan,broader,has appellation
appellation of timespan of,broader,is appellation of
appellation of work,broader,has appellation
appellation of work group,broader,is appellation of
appellation of work group of,broader,has appellation
appellation of work of,broader,is appellation of
appellee corporate body,broader,was created by work
appellee corporate body of,broader,created work
appellee person,broader,was created by work
appellee person of,broader,created work
appendix expression,broader,is associated with res
appendix to expression,broader,is associated with res
appendix to work,broader,is associated with res
appendix work,broader,is associated with res
applied material,broader,has category of carrier
architect agent,broader,was created by work
architect agent of,broader        rdfs:subPropertyOf        lrmer:R7,created work
architect collective agent,broader,was created by work
architect collective agent of,broader,created work
architect corporate body,broader,was created by work
architect corporate body of,broader,created work
architect family,broader,was created by work
architect family of,broader,created work
architect person,broader,was created by work
architect person of,broader,created work
arranged as,broader,has derivation expression
arrangement of,broader,is derivation expression of
arranger agent of music,broader,was created by expression
arranger agent of music of,broader,created expression
arranger collective agent of music,broader,was created by expression
arranger collective agent of music of,broader,created expression
arranger corporate body of music,broader,was created by expression
arranger corporate body of music of,broader,created expression
arranger family of music,broader,was created by expression
arranger family of music of,broader,created expression
arranger person of music,broader,was created by expression
arranger person of music of,broader,created expression
art director agent,broader,was created by expression
art director agent of,broader,created expression
art director collective agent,broader,was created by expression
art director collective agent of,broader,created expression
art director corporate body,broader,was created by expression
art director corporate body of,broader,created expression
art director family,broader,was created by expression
art director family of,broader,created expression
art director person,broader,was created by expression
art director person of,broader,created expression
artist agent,broader,was created by work
artist agent of,broader        rdfs:subPropertyOf        lrmer:R3,created work
artist collective agent,broader,was created by work
artist collective agent of,broader,created work
artist corporate body,broader,was created by work
artist corporate body of,broader,created work
artist family,broader,was created by work
artist family of,broader,created work
artist person,broader,was created by work
artist person of,broader,created work
aspect ratio,broader,has extent of expression
aspect ratio designation,broader,has category of expression
aspect ratio of representative expression,broader,has representative expression attribute
assigned by agent,equivalent,was assigned by
assigned by collective agent,broader,was assigned by
assigned by corporate body,broader,was assigned by
assigned by family,broader,was assigned by
assigned by person,broader,was assigned by
assigner agent of,equivalent,assigned
assigner collective agent of,broader,assigned
assigner corporate body of,broader,assigned
assigner family of,broader,assigned
assigner person of,broader,assigned
assistant,broader,is associated with res
assistant to,broader,is associated with res
audio engineer agent,broader,was created by expression
audio engineer agent of,broader,created expression
audio engineer collective agent,broader,was created by expression
audio engineer collective agent of,broader,created expression
audio engineer corporate body,broader,was created by expression
audio engineer corporate body of,broader,created expression
audio engineer family,broader,was created by expression
audio engineer family of,broader,created expression
audio engineer person,broader,was created by expression
audio engineer person of,broader,created expression
audio producer agent,broader,was created by work
audio producer agent of,broader,created work
audio producer collective agent,broader,was created by work
audio producer collective agent of,broader,created work
audio producer corporate body,broader,was created by work
audio producer corporate body of,broader,created work
audio producer family,broader,was created by work
audio producer family of,broader,created work
audio producer person,broader,was created by work
audio producer person of,broader,created work
augmentation of expression,broader,is associated with res
augmentation of work,broader,is associated with res
augmented by expression,broader,is associated with res
augmented by work,broader,is associated with res
author agent,broader,was created by work
author agent of,broader        rdfs:subPropertyOf        lrmer:R6,created work
author collective agent,broader,was created by work
author collective agent of,broader,created work
author corporate body,broader,was created by work
author corporate body of,broader,created work
author family,broader,was created by work
author family of,broader,created work
author person,broader,was created by work
author person of,broader,created work
authorized access point for agent,broader,has appellation
authorized access point for agent of,broader,is appellation of
authorized access point for collective agent,broader,has appellation
authorized access point for collective agent of,broader,is appellation of
authorized access point for corporate body,broader,has appellation
authorized access point for corporate body of,broader,is appellation of
authorized access point for expression,broader,has appellation
authorized access point for expression of,broader,is appellation of
authorized access point for family,broader,has appellation
authorized access point for family of,broader,is appellation of
authorized access point for item,broader,has appellation
authorized access point for item of,broader,is appellation of
authorized access point for manifestation,broader,has appellation
authorized access point for manifestation of,broader,is appellation of
authorized access point for person,broader,has appellation
authorized access point for person of,broader,is appellation of
authorized access point for place,broader,has appellation
authorized access point for place of,broader,is appellation of
authorized access point for RDA entity,broader,has appellation
authorized access point for RDA entity of,broader,is appellation of
authorized access point for timespan,broader,has appellation
authorized access point for timespan of,broader,is appellation of
authorized access point for work,broader,has appellation
authorized access point for work group,broader,has appellation
authorized access point for work group of,broader,is appellation of
authorized access point for work of,broader,is appellation of
autographer,broader,was modified by
autographer of,broader,modified
award,broader,has category of expression
base material,broader,has category of carrier
based on expression,broader,is derivation expression of
based on work,broader,is a transformation of
beginning,equivalent,has beginning
beginning of,broader,has association with time-span
bibliographic format,broader,has category of work
binder agent,broader,was modified by
binder agent of,broader,modified
binder collective agent,broader,was modified by
binder collective agent of,broader,modified
binder corporate body,broader,was modified by
binder corporate body of,broader,modified
binder family,broader,was modified by
binder family of,broader,modified
binder person,broader,was modified by
binder person of,broader,modified
binding of item,broader,is associated with res
binding of item of,broader,is associated with res
binding of manifestation,broader,is associated with res
binding of manifestation of,broader,is associated with res
biographical information,broader,has note
book artist agent,broader,was created by work
book artist agent of,broader,created work
book artist collective agent,broader,was created by work
book artist collective agent of,broader,created work
book artist corporate body,broader,was created by work
book artist corporate body of,broader,created work
book artist family,broader,was created by work
book artist family of,broader,created work
book artist person,broader,was created by work
book artist person of,broader,created work
book designer agent,broader,was manufactured by
book designer agent of,broader,manufactured
book designer collective agent,broader,was manufactured by
book designer collective agent of,broader,manufactured
book designer corporate body,broader,was manufactured by
book designer corporate body of,broader,manufactured
book designer family,broader,was manufactured by
book designer family of,broader,manufactured
book designer person,broader,was manufactured by
book designer person of,broader,manufactured
bound with,broader,is associated with res
braille embosser agent,broader,was manufactured by
braille embosser agent of,broader,manufactured
braille embosser collective agent,broader,was manufactured by
braille embosser collective agent of,broader,manufactured
braille embosser corporate body,broader,was manufactured by
braille embosser corporate body of,broader,manufactured
braille embosser family,broader,was manufactured by
braille embosser family of,broader,manufactured
braille embosser person,broader,was manufactured by
braille embosser person of,broader,manufactured
broadcast standard,broader,has access conditions
broadcaster agent,broader,was created by manifestation
broadcaster agent of,broader,created manifestation
broadcaster collective agent,broader,was created by manifestation
broadcaster collective agent of,broader,created manifestation
broadcaster corporate body,broader,was created by manifestation
broadcaster corporate body of,broader,created manifestation
broadcaster family,broader,was created by manifestation
broadcaster family of,broader,created manifestation
broadcaster person,broader,was created by manifestation
broadcaster person of,broader,created manifestation
broader affiliated body,broader,is associated with res
cadenza composed for expression,broader,is associated with res
cadenza composed for work,broader,is associated with res
