RDA label,match,MARC relator label
abridger,close,Abridger
actor,close,Actor
addressee,close,Addressee
addressee,broad,Correspondent
animator,close,Animator
annotator,close,Annotator
appellant,close,Appellant
appellant,narrow,Complainant-appellant
appellant,narrow,Contestant-appellant
appellant,narrow,Contestee-appellant
appellant,narrow,Defendant-appellant
appellant,narrow,Libelant-appellant
appellant,narrow,Libelee-appellant
appellant,narrow,Plaintiff-appellant
appellant,narrow,Respondent-appellant
appellee,close,Appellee
appellee,narrow,Complainant-appellee
appellee,narrow,Contestant-appellee
appellee,narrow,Contestee-appellee
appellee,narrow,Defendant-appellee
appellee,narrow,Libelant-appellee
appellee,narrow,Libelee-appellee
appellee,narrow,Plaintiff-appellee
appellee,narrow,Respondent-appellee
architect,close,Architect
arranger of music,close,Arranger
art director,close,Art director
artist,close,Artist
author,narrow,Analyst
author,close,Author
author,narrow,Author in quotations or text abstracts
author,narrow,Dissertant
author,narrow,Dubious author
author,narrow,Metadata contact
author,narrow,Reporter
author,narrow,Reviewer
autographer,close,Autographer
binder,close,Binder
book designer,narrow,Binding designer
book designer,close,Book designer
book designer,narrow,Bookjacket designer
book designer,narrow,Cover designer
book designer,narrow,Typographer
braille embosser,close,Braille embosser
broadcaster,close,Broadcaster
calligrapher,close,Calligrapher
cartographer,close,Cartographer
caster,close,Caster
censor,close,Censor
choreographer,close,Choreographer
collection registrar,close,Collection registrar
collector,close,Collector
collotyper,close,Collotyper
colourist,close,Colorist
commentator,close,Commentator
compiler,close,Compiler
compiler,close,Editor of compilation
compiler,close,Publishing director
composer,close,Composer
conductor,close,Conductor
consultant,close,Consultant
consultant,narrow,Consultant to a project
consultant,narrow,Scientific advisor
contributor,narrow,Art copyist
contributor,close,Contributor
contributor,narrow,Delineator
contributor,narrow,Electrician
contributor,narrow,Engineer
contributor,narrow,Field director
contributor,narrow,Funder
contributor,narrow,Opponent
contributor,narrow,Patron
contributor,narrow,Production manager
contributor,narrow,Production personnel
contributor,narrow,Proofreader
contributor,narrow,Redaktor
contributor,narrow,Restager
contributor,narrow,Rubricator
contributor,narrow,Set designer
contributor,narrow,Signer
contributor,narrow,Technical director
costume designer,close,Costume designer
court governed,close,Court governed
court reporter,close,Court reporter
creator,narrow,Adapter
creator,close,Conceptor
creator,close,Creator
creator,narrow,Data contributor
creator,close,Originator
creator,narrow,Patent applicant
creator,narrow,Standards body
curator,narrow,Curator
current owner,close,Owner
dancer,close,Dancer
dedicatee,close,Dedicatee
dedicator,close,Dedicator
defendant,close,Defendant
defendant,narrow,Libelee
degree granting institution,close,Degree granting institution
degree supervisor,close,Degree supervisor
degree supervisor,close,Thesis advisor
depositor,close,Depositor
designer,narrow,Bookplate designer
designer,close,Designer
designer,narrow,Type designer
director,close,Director
director of photography,narrow,Cinematographer
director of photography,narrow,Videographer
distributor,narrow,Bookseller
distributor,close,Distributor
distributor,broad,Provider
donor,close,Donor
draftsman,close,Draftsman
editor,close,Editor
editor,close,Markup editor
editor of moving image work,close,Editor of moving image work
editor of moving image work,close,Film editor
enacting jurisdiction,close,Enacting jurisdiction
engraver,close,Engraver
engraver,narrow,Metal-engraver
engraver,narrow,Wood engraver
engraver,narrow,Woodcutter
etcher,close,Etcher
film director,close,Film director
film distributor,close,Film distributor
film producer,close,Film producer
filmmaker,close,Filmmaker
former owner,close,Former owner
granting institution or faculty,broad,University place
honouree,close,Honoree
host,close,Host
host institution,close,Host institution
host institution,broad,Supporting host
illuminator,close,Illuminator
illustrator,close,Illustrator
inscriber,close,Inscriber
instrumentalist,close,Instrumentalist
instrumentalist,broad,Musician
interviewee,close,Interviewee
interviewer,close,Interviewer
inventor,close,Inventor
issuing body,close,Issuing body
judge,close,Judge
jurisdiction governed,close,Jurisdiction governed
landscape architect,close,Landscape architect
librettist,close,Librettist
lighting designer,close,Lighting designer
lithographer,close,Lithographer
lyricist,close,Lyricist
manufacturer,narrow,Compositor
manufacturer,narrow,Electrotyper
manufacturer,narrow,Forger
manufacturer,close,Manufacturer
manufacturer,broad,Provider
manufacturer,narrow,Stereotyper
medium,close,Medium
minute taker,close,Minute taker
moderator,close,Moderator
musical director,close,Musical director
narrator,close,Narrator
on-screen presenter,close,Onscreen presenter
organizer,close,Organizer
other agent associated with a resource,narrow,Applicant
other agent associated with a resource,narrow,Artistic director
other agent associated with a resource,narrow,Client
other agent associated with a resource,narrow,Complainant
other agent associated with a resource,narrow,Contestant
other agent associated with a resource,narrow,Contestee
other agent associated with a resource,narrow,Contractor
other agent associated with a resource,narrow,Data manager
other agent associated with a resource,narrow,First party
other agent associated with a resource,narrow,Laboratory
other agent associated with a resource,narrow,Laboratory director
other agent associated with a resource,narrow,Lead
other agent associated with a resource,narrow,Libelant
other agent associated with a resource,narrow,Marbler
other agent associated with a resource,narrow,Monitor
other agent associated with a resource,narrow,Permitting agency
other agent associated with a resource,narrow,Process contact
