RDA element label,Alignment,Recording method
abbreviated title,has valid recording method,unstructured description
abbreviated title,has valid recording method,identifier
abbreviated title,has valid recording method,IRI
abbreviated title of,has valid recording method,unstructured description
abbreviated title of,has valid recording method,structured description
abbreviated title of,has valid recording method,identifier
abbreviated title of,has valid recording method,IRI
abridged as expression,has valid recording method,unstructured description
abridged as expression,has valid recording method,structured description
abridged as expression,has valid recording method,identifier
abridged as expression,has valid recording method,IRI
abridged as work,has valid recording method,unstructured description
abridged as work,has valid recording method,structured description
abridged as work,has valid recording method,identifier
abridged as work,has valid recording method,IRI
abridgement of expression,has valid recording method,unstructured description
abridgement of expression,has valid recording method,structured description
abridgement of expression,has valid recording method,identifier
abridgement of expression,has valid recording method,IRI
abridgement of work,has valid recording method,unstructured description
abridgement of work,has valid recording method,structured description
abridgement of work,has valid recording method,identifier
abridgement of work,has valid recording method,IRI
abridger agent,has valid recording method,unstructured description
abridger agent,has valid recording method,structured description
abridger agent,has valid recording method,identifier
abridger agent,has valid recording method,IRI
abridger agent of,has valid recording method,unstructured description
abridger agent of,has valid recording method,structured description
abridger agent of,has valid recording method,identifier
abridger agent of,has valid recording method,IRI
abridger collective agent,has valid recording method,unstructured description
abridger collective agent,has valid recording method,structured description
abridger collective agent,has valid recording method,identifier
abridger collective agent,has valid recording method,IRI
abridger collective agent of,has valid recording method,unstructured description
abridger collective agent of,has valid recording method,structured description
abridger collective agent of,has valid recording method,identifier
abridger collective agent of,has valid recording method,IRI
abridger corporate body,has valid recording method,unstructured description
abridger corporate body,has valid recording method,structured description
abridger corporate body,has valid recording method,identifier
abridger corporate body,has valid recording method,IRI
abridger corporate body of,has valid recording method,unstructured description
abridger corporate body of,has valid recording method,structured description
abridger corporate body of,has valid recording method,identifier
abridger corporate body of,has valid recording method,IRI
abridger family,has valid recording method,unstructured description
abridger family,has valid recording method,structured description
abridger family,has valid recording method,identifier
abridger family,has valid recording method,IRI
abridger family of,has valid recording method,unstructured description
abridger family of,has valid recording method,structured description
abridger family of,has valid recording method,identifier
abridger family of,has valid recording method,IRI
abridger person,has valid recording method,unstructured description
abridger person,has valid recording method,structured description
abridger person,has valid recording method,identifier
abridger person,has valid recording method,IRI
abridger person of,has valid recording method,unstructured description
abridger person of,has valid recording method,structured description
abridger person of,has valid recording method,identifier
abridger person of,has valid recording method,IRI
absorbed by expression,has valid recording method,unstructured description
absorbed by expression,has valid recording method,structured description
absorbed by expression,has valid recording method,identifier
absorbed by expression,has valid recording method,IRI
absorbed by work,has valid recording method,unstructured description
absorbed by work,has valid recording method,structured description
absorbed by work,has valid recording method,identifier
absorbed by work,has valid recording method,IRI
absorbed corporate body,has valid recording method,unstructured description
absorbed corporate body,has valid recording method,structured description
absorbed corporate body,has valid recording method,identifier
absorbed corporate body,has valid recording method,IRI
absorbed in part by expression,has valid recording method,unstructured description
absorbed in part by expression,has valid recording method,structured description
absorbed in part by expression,has valid recording method,identifier
absorbed in part by expression,has valid recording method,IRI
absorbed in part by work,has valid recording method,unstructured description
absorbed in part by work,has valid recording method,structured description
absorbed in part by work,has valid recording method,identifier
absorbed in part by work,has valid recording method,IRI
absorbing corporate body,has valid recording method,unstructured description
absorbing corporate body,has valid recording method,structured description
absorbing corporate body,has valid recording method,identifier
absorbing corporate body,has valid recording method,IRI
absorption in part of expression,has valid recording method,unstructured description
absorption in part of expression,has valid recording method,structured description
absorption in part of expression,has valid recording method,identifier
absorption in part of expression,has valid recording method,IRI
absorption in part of work,has valid recording method,unstructured description
absorption in part of work,has valid recording method,structured description
absorption in part of work,has valid recording method,identifier
absorption in part of work,has valid recording method,IRI
absorption of expression,has valid recording method,unstructured description
absorption of expression,has valid recording method,structured description
absorption of expression,has valid recording method,identifier
absorption of expression,has valid recording method,IRI
absorption of work,has valid recording method,unstructured description
absorption of work,has valid recording method,structured description
absorption of work,has valid recording method,identifier
absorption of work,has valid recording method,IRI
abstract,has valid recording method,unstructured description
abstract,has valid recording method,structured description
abstract,has valid recording method,identifier
abstract,has valid recording method,IRI
abstract of,has valid recording method,unstructured description
abstract of,has valid recording method,structured description
abstract of,has valid recording method,identifier
