RDA element,Toolkit URL (English)
rdae:P20415,https://access.rdatoolkit.org/en-US_ala-00178911-527f-3073-9fba-37ea3de01934
rdai:P40138,https://access.rdatoolkit.org/en-US_ala-003e0425-0aa7-35c6-971f-d06ff750bb97
rdai:P40097,https://access.rdatoolkit.org/en-US_ala-005f4202-1975-332f-a45b-ac82e7faeaf7
rdam:P30264,https://access.rdatoolkit.org/en-US_ala-00aced88-181f-3694-98dd-d2d47fb421a4
rdaa:P50965,https://access.rdatoolkit.org/en-US_ala-00c178ac-d2a6-35af-96ae-1b56e227b266
rdaa:P50416,https://access.rdatoolkit.org/en-US_ala-00d2a5cd-0aa0-3812-b0bf-ee3104200abb
rdaw:P10058,https://access.rdatoolkit.org/en-US_ala-010f851d-1317-3f87-83aa-7430e4662d08
rdaa:P50036,https://access.rdatoolkit.org/en-US_ala-0112b263-4c05-3e2a-aca8-aab852a7b791
rdae:P20099,https://access.rdatoolkit.org/en-US_ala-012492cc-e366-3162-b6b1-e19bf4b34817
rdam:P30203,https://access.rdatoolkit.org/en-US_ala-01595b77-9820-3a0a-8488-ac6ee64cca09
rdam:P30022,https://access.rdatoolkit.org/en-US_ala-0166236d-ccd3-3df3-a81d-1d8b6cbe511c
rdaw:P10473,https://access.rdatoolkit.org/en-US_ala-01662ea7-23fc-3659-bfa0-7604c15fc80d
rdai:P40132,https://access.rdatoolkit.org/en-US_ala-0168e79a-e9e6-3a62-94e7-a62c7fda7631
rdaa:P50660,https://access.rdatoolkit.org/en-US_ala-0169b2e8-8a5d-38c5-a7a9-646f510e8f54
rdaa:P50852,https://access.rdatoolkit.org/en-US_ala-01759fe3-125b-3b11-b1b6-4fc9b4bbc235
rdaw:P10531,https://access.rdatoolkit.org/en-US_ala-017efb0a-3cd2-3797-9225-72ea771cba91
rdai:P40093,https://access.rdatoolkit.org/en-US_ala-018d5613-d94c-30d3-be60-727e29a0e991
rdae:P20518,https://access.rdatoolkit.org/en-US_ala-02310511-bd3b-3c0a-97ea-d0611c2a5c2e
rdaa:P50978,https://access.rdatoolkit.org/en-US_ala-02562dab-51b5-30b3-96b7-d020473f41b8
rdam:P30439,https://access.rdatoolkit.org/en-US_ala-027d4ce7-85ef-340c-89fd-bc83608390bc
rdaa:P50481,https://access.rdatoolkit.org/en-US_ala-02a6d3f3-92c8-3582-9f07-3f1abc4859f6
