Canonical uri,Lexical alias (English)
rdaa:P50001,rdaa:respondentOf.en
rdaa:P50002,rdaa:appelleeCorporateBodyOf.en
rdaa:P50003,rdaa:degreeGrantingInstitutionOf.en
rdaa:P50004,rdaa:hostingInstitutionOf.en
rdaa:P50005,rdaa:productionCompanyOf.en
rdaa:P50006,rdaa:identifierForCorporateBody.en
rdaa:P50007,rdaa:foundingCorporateBodyOfCorporateBody.en
rdaa:P50008,rdaa:hierarchicalSuperior.en
rdaa:P50009,rdaa:sponsoredCorporateBodyOfCorporateBody.en
rdaa:P50010,rdaa:hierarchicalSubordinate.en
rdaa:P50011,rdaa:mergee.en
rdaa:P50012,rdaa:predecessorOfCorporateBody.en
rdaa:P50013,rdaa:productOfMerger.en
rdaa:P50014,rdaa:productOfSplit.en
rdaa:P50015,rdaa:sponsoringCorporateBodyOfCorporateBody.en
rdaa:P50016,rdaa:successorOfCorporateBody.en
rdaa:P50017,rdaa:foundedCorporateBodyOfCorporateBody.en
rdaa:P50019,rdaa:numberOfConference.en
rdaa:P50020,rdaa:foundingFamilyOfCorporateBody.en
rdaa:P50021,rdaa:sponsoringFamilyOfCorporateBody.en
rdaa:P50022,rdaa:fieldOfActivityOfCorporateBody.en
rdaa:P50023,rdaa:languageOfCorporateBody.en
rdaa:P50024,rdaa:placeOfConference.en
rdaa:P50025,rdaa:variantNameOfCorporateBody.en
rdaa:P50026,rdaa:employee.en
rdaa:P50027,rdaa:officer.en
rdaa:P50028,rdaa:sponsoringPersonOfCorporateBody.en
rdaa:P50029,rdaa:foundingPersonOfCorporateBody.en
rdaa:P50030,rdaa:personMemberOfCorporateBody.en
rdaa:P50032,rdaa:nameOfCorporateBody.en
rdaa:P50035,rdaa:corporateHistory.en
rdaa:P50036,rdaa:addressOfCorporateBody.en
rdaa:P50037,rdaa:dateOfEstablishment.en
rdaa:P50038,rdaa:dateOfTermination.en
rdaa:P50039,rdaa:dateOfConference.en
rdaa:P50041,rdaa:preferredNameOfCorporateBody.en
rdaa:P50042,rdaa:appellantCorporateBodyOf.en
rdaa:P50043,rdaa:plaintiffCorporateBodyOf.en
rdaa:P50044,rdaa:courtGovernedOf.en
rdaa:P50047,rdaa:depositorAgentOf.en
rdaa:P50048,rdaa:filmDirectorAgentOf.en
rdaa:P50049,rdaa:radioDirectorAgentOf.en
rdaa:P50050,rdaa:televisionDirectorAgentOf.en
rdaa:P50051,rdaa:categoryOfFamily.en
rdaa:P50052,rdaa:identifierForFamily.en
rdaa:P50053,rdaa:descendantFamilyOfFamily.en
rdaa:P50054,rdaa:variantNameOfFamily.en
rdaa:P50055,rdaa:descendantFamilyOfPersonOf.en
rdaa:P50056,rdaa:personMemberOfFamily.en
rdaa:P50059,rdaa:hereditaryTermOfHonour.en
rdaa:P50060,rdaa:prominentMemberOfFamily.en
rdaa:P50061,rdaa:nameOfFamily.en
rdaa:P50062,rdaa:foundedCorporateBodyOfFamily.en
rdaa:P50063,rdaa:sponsoredCorporateBodyOfFamily.en
rdaa:P50064,rdaa:familyHistory.en
rdaa:P50065,rdaa:preferredNameOfFamily.en
rdaa:P50066,rdaa:donorAgentOf.en
rdaa:P50067,rdaa:sellerAgentOf.en
rdaa:P50068,rdaa:enactingJurisdictionOf.en
rdaa:P50070,rdaa:conductorAgentOf.en
rdaa:P50071,rdaa:actorAgentOf.en
rdaa:P50072,rdaa:onscreenPresenterAgentOf.en
rdaa:P50073,rdaa:dancerAgentOf.en
rdaa:P50074,rdaa:instructorAgentOf.en
rdaa:P50075,rdaa:hostAgentOf.en
rdaa:P50076,rdaa:moderatorAgentOf.en
rdaa:P50077,rdaa:puppeteerAgentOf.en
rdaa:P50078,rdaa:panelistAgentOf.en
rdaa:P50079,rdaa:instrumentalistAgentOf.en
rdaa:P50080,rdaa:commentatorAgentOf.en
rdaa:P50081,rdaa:narratorAgentOf.en
rdaa:P50082,rdaa:storytellerAgentOf.en
rdaa:P50083,rdaa:speakerAgentOf.en
rdaa:P50084,rdaa:singerAgentOf.en
rdaa:P50085,rdaa:appelleePersonOf.en
rdaa:P50086,rdaa:mediumOf.en
rdaa:P50091,rdaa:degreeSupervisorOf.en
rdaa:P50092,rdaa:illuminatorAgentOf.en
rdaa:P50094,rdaa:identifierForPerson.en
rdaa:P50095,rdaa:personMemberOfCorporateBodyOf.en
rdaa:P50096,rdaa:employer.en
rdaa:P50097,rdaa:countryAssociatedWithPerson.en
rdaa:P50098,rdaa:periodOfActivityOfPerson.en
rdaa:P50099,rdaa:descendantFamilyOfPerson.en
rdaa:P50100,rdaa:fieldOfActivityOfPerson.en
rdaa:P50102,rdaa:languageOfPerson.en
rdaa:P50103,rdaa:variantNameOfPerson.en
rdaa:P50104,rdaa:professionOrOccupation.en
rdaa:P50109,rdaa:placeOfResidence.en
rdaa:P50110,rdaa:termOfRankHonourOrOffice.en
rdaa:P50111,rdaa:nameOfPerson.en
rdaa:P50112,rdaa:foundedCorporateBodyOfPerson.en
rdaa:P50113,rdaa:biographicalInformation.en
rdaa:P50114,rdaa:addressOfPerson.en
rdaa:P50115,rdaa:fullerFormOfName.en
rdaa:P50116,rdaa:gender.en
rdaa:P50117,rdaa:preferredNameOfPerson.en
rdaa:P50118,rdaa:placeOfDeath.en
rdaa:P50119,rdaa:placeOfBirth.en
rdaa:P50120,rdaa:dateOfDeath.en
rdaa:P50121,rdaa:dateOfBirth.en
rdaa:P50122,rdaa:appellantPersonOf.en
rdaa:P50123,rdaa:binderAgentOf.en
rdaa:P50124,rdaa:plaintiffPersonOf.en
rdaa:P50125,rdaa:inscriberOf.en
rdaa:P50126,rdaa:judgeOf.en
rdaa:P50127,rdaa:praesesOf.en
rdaa:P50128,rdaa:annotatorOf.en
rdaa:P50129,rdaa:autographerOf.en
rdaa:P50130,rdaa:issuingAgentOf.en
rdaa:P50132,rdaa:dedicatorAgentOf.en
rdaa:P50136,rdaa:animatorAgentOf.en
rdaa:P50137,rdaa:arrangerAgentOfMusicOf.en
rdaa:P50139,rdaa:stageDirectorAgentOf.en
rdaa:P50140,rdaa:interviewerAgentOfExpressionOf.en
rdaa:P50141,rdaa:draftsmanAgentOf.en
rdaa:P50142,rdaa:transcriberAgentOf.en
rdaa:P50143,rdaa:musicalDirectorAgentOf.en
rdaa:P50144,rdaa:costumeDesignerAgentOf.en
rdaa:P50145,rdaa:translatorAgentOf.en
rdaa:P50146,rdaa:artDirectorAgentOf.en
rdaa:P50147,rdaa:performerAgentOf.en
rdaa:P50148,rdaa:courtReporterAgentOf.en
rdaa:P50155,rdaa:intervieweeAgentOfExpressionOf.en
rdaa:P50157,rdaa:abridgerAgentOf.en
rdaa:P50158,rdaa:recordingEngineerAgentOf.en
rdaa:P50160,rdaa:recordistAgentOf.en
rdaa:P50161,rdaa:creatorAgentOfExpressionOf.en
rdaa:P50162,rdaa:currentOwnerAgentOf.en
rdaa:P50163,rdaa:formerOwnerAgentOf.en
rdaa:P50164,rdaa:custodianAgentOf.en
rdaa:P50165,rdaa:ownerAgentOf.en
rdaa:P50166,rdaa:honoureeAgentOfWorkOf.en
rdaa:P50167,rdaa:honoureeAgentOfItemOf.en
rdaa:P50168,rdaa:broadcasterAgentOf.en
rdaa:P50169,rdaa:filmDistributorAgentOf.en
rdaa:P50170,rdaa:bookDesignerAgentOf.en
rdaa:P50171,rdaa:engraverAgentOf.en
rdaa:P50172,rdaa:brailleEmbosserAgentOf.en
rdaa:P50173,rdaa:printmakerAgentOf.en
rdaa:P50174,rdaa:casterAgentOf.en
rdaa:P50175,rdaa:lithographerAgentOf.en
rdaa:P50176,rdaa:platemakerAgentOf.en
rdaa:P50177,rdaa:etcherAgentOf.en
rdaa:P50178,rdaa:collotyperAgentOf.en
rdaa:P50179,rdaa:printerAgentOf.en
rdaa:P50180,rdaa:presenterAgentOf.en
rdaa:P50183,rdaa:editorAgentOfMovingImageWorkOf.en
rdaa:P50184,rdaa:programmerAgentOf.en
rdaa:P50185,rdaa:designerAgentOf.en
rdaa:P50186,rdaa:cartographerAgentOfWorkOf.en
rdaa:P50187,rdaa:composerAgentOfWorkOf.en
rdaa:P50188,rdaa:inventorAgentOf.en
rdaa:P50189,rdaa:compilerAgentOf.en
rdaa:P50190,rdaa:photographerAgentOfWorkOf.en
rdaa:P50191,rdaa:interviewerAgentOfWorkOf.en
rdaa:P50192,rdaa:artistAgentOf.en
rdaa:P50193,rdaa:intervieweeAgentOfWorkOf.en
rdaa:P50194,rdaa:choreographerAgentOf.en
rdaa:P50195,rdaa:authorAgentOf.en
rdaa:P50196,rdaa:architectAgentOf.en
rdaa:P50197,rdaa:filmmakerAgentOf.en
rdaa:P50198,rdaa:productionDesignerAgentOf.en
rdaa:P50199,rdaa:distributorAgentOf.en
rdaa:P50200,rdaa:producerAgentOfUnpublishedManifestationOf.en
rdaa:P50201,rdaa:producerAgentOf.en
rdaa:P50202,rdaa:manufacturerAgentOf.en
rdaa:P50203,rdaa:publisherAgentOf.en
rdaa:P50204,rdaa:creatorAgentOfWorkOf.en
rdaa:P50205,rdaa:directorAgentOf.en
rdaa:P50206,rdaa:restorationistAgentOfItemOf.en
rdaa:P50207,rdaa:directorAgentOfPhotographyOf.en
rdaa:P50208,rdaa:dedicateeAgentOfWorkOf.en
rdaa:P50209,rdaa:addresseeAgentOf.en
rdaa:P50210,rdaa:dedicateeAgentOfItemOf.en
rdaa:P50211,rdaa:consultantAgentOf.en
rdaa:P50212,rdaa:minuteTakerAgentOf.en
rdaa:P50213,rdaa:filmProducerAgentOf.en
rdaa:P50214,rdaa:radioProducerAgentOf.en
rdaa:P50215,rdaa:televisionProducerAgentOf.en
rdaa:P50217,rdaa:voiceActorAgentOf.en
rdaa:P50218,rdaa:relatedCorporateBodyOfAgent.en
rdaa:P50219,rdaa:relatedFamilyOfAgent.en
rdaa:P50220,rdaa:relatedPersonOfAgent.en
rdaa:P50221,rdaa:landscapeArchitectAgentOf.en
rdaa:P50222,rdaa:sculptorAgentOf.en
