rdaa:P50001,rdaa:respondentOf
rdaa:P50002,rdaa:appelleeCorporateBodyOf
rdaa:P50003,rdaa:degreeGrantingInstitutionOf
rdaa:P50004,rdaa:hostInstitutionOf
rdaa:P50005,rdaa:productionCompanyOf
rdaa:P50006,rdaa:identifierForTheCorporateBody
rdaa:P50007,rdaa:foundingCorporateBody
rdaa:P50008,rdaa:hierarchicalSuperior
rdaa:P50009,rdaa:sponsoredCorporateBodyOfCorporateBody
rdaa:P50010,rdaa:hierarchicalSubordinate
rdaa:P50011,rdaa:mergee
rdaa:P50012,rdaa:predecessor
rdaa:P50013,rdaa:productOfAMerger
rdaa:P50014,rdaa:productOfASplit
rdaa:P50015,rdaa:sponsoringCorporateBody
rdaa:P50016,rdaa:successor
rdaa:P50017,rdaa:foundedCorporateBodyOfCorporateBody
rdaa:P50019,rdaa:numberOfAConferenceEtc
rdaa:P50020,rdaa:foundingFamily
rdaa:P50021,rdaa:sponsoringFamily
rdaa:P50022,rdaa:fieldOfActivityOfTheCorporateBody
rdaa:P50023,rdaa:languageOfTheCorporateBody
rdaa:P50024,rdaa:locationOfConferenceEtc
rdaa:P50025,rdaa:variantNameForTheCorporateBody
rdaa:P50026,rdaa:employee
rdaa:P50027,rdaa:incumbent
rdaa:P50028,rdaa:sponsor
rdaa:P50029,rdaa:founder
rdaa:P50030,rdaa:groupMember
rdaa:P50031,rdaa:placeAssociatedWithTheCorporateBody
rdaa:P50032,rdaa:nameOfTheCorporateBody
rdaa:P50033,rdaa:otherDesignationAssociatedWithTheCorporateBody
rdaa:P50034,rdaa:associatedInstitution
rdaa:P50035,rdaa:corporateHistory
rdaa:P50036,rdaa:addressOfTheCorporateBody
rdaa:P50037,rdaa:dateOfEstablishment
rdaa:P50038,rdaa:dateOfTermination
rdaa:P50039,rdaa:dateOfConferenceEtc
rdaa:P50040,rdaa:dateAssociatedWithTheCorporateBody
rdaa:P50041,rdaa:preferredNameForTheCorporateBody
rdaa:P50042,rdaa:appellantCorporateBodyOf
rdaa:P50043,rdaa:plaintiffCorporateBodyOf
rdaa:P50044,rdaa:courtGovernedOf
rdaa:P50045,rdaa:collectorOf
rdaa:P50046,rdaa:collectionRegistrarOf
rdaa:P50047,rdaa:depositorOf
rdaa:P50048,rdaa:filmDirectorOf
rdaa:P50049,rdaa:radioDirectorOf
rdaa:P50050,rdaa:televisionDirectorOf
rdaa:P50051,rdaa:typeOfFamily
rdaa:P50052,rdaa:identifierForTheFamily
rdaa:P50053,rdaa:descendantFamily
rdaa:P50054,rdaa:variantNameForTheFamily
rdaa:P50055,rdaa:progenitor
rdaa:P50056,rdaa:familyMember
rdaa:P50057,rdaa:placeAssociatedWithTheFamily
rdaa:P50058,rdaa:dateAssociatedWithTheFamily
rdaa:P50059,rdaa:hereditaryTitle
rdaa:P50060,rdaa:prominentMemberOfTheFamily
rdaa:P50061,rdaa:nameOfTheFamily
rdaa:P50062,rdaa:foundedCorporateBodyOfFamily
rdaa:P50063,rdaa:sponsoredCorporateBodyOfFamily
rdaa:P50064,rdaa:familyHistory
rdaa:P50065,rdaa:preferredNameForTheFamily
rdaa:P50066,rdaa:donorOf
rdaa:P50067,rdaa:sellerOf
rdaa:P50068,rdaa:enactingJurisdictionOf
rdaa:P50069,rdaa:jurisdictionGovernedOf
rdaa:P50070,rdaa:conductorOf
rdaa:P50071,rdaa:actorOf
rdaa:P50072,rdaa:onScreenPresenterOf
rdaa:P50073,rdaa:dancerOf
rdaa:P50074,rdaa:teacherOf
rdaa:P50075,rdaa:hostOf
rdaa:P50076,rdaa:moderatorOf
rdaa:P50077,rdaa:puppeteerOf
rdaa:P50078,rdaa:panelistOf
rdaa:P50079,rdaa:instrumentalistOf
rdaa:P50080,rdaa:commentatorOf
rdaa:P50081,rdaa:narratorOf
rdaa:P50082,rdaa:storytellerOf
rdaa:P50083,rdaa:speakerOf
rdaa:P50084,rdaa:singerOf
rdaa:P50085,rdaa:appelleePersonOf
rdaa:P50086,rdaa:mediumOf
rdaa:P50087,rdaa:appelleeOf
rdaa:P50088,rdaa:appellantOf
rdaa:P50089,rdaa:plaintiffOf
rdaa:P50090,rdaa:defendantOf
rdaa:P50091,rdaa:degreeSupervisorOf
rdaa:P50092,rdaa:illuminatorOf
rdaa:P50093,rdaa:undifferentiatedNameIndicator
rdaa:P50094,rdaa:identifierForThePerson
rdaa:P50095,rdaa:groupMemberOf
rdaa:P50096,rdaa:employer
rdaa:P50097,rdaa:countryAssociatedWithThePerson
rdaa:P50098,rdaa:periodOfActivityOfThePerson
rdaa:P50099,rdaa:descendants
rdaa:P50100,rdaa:fieldOfActivityOfThePerson
rdaa:P50101,rdaa:affiliation
rdaa:P50102,rdaa:languageOfThePerson
rdaa:P50103,rdaa:variantNameForThePerson
rdaa:P50104,rdaa:professionOrOccupation
rdaa:P50105,rdaa:alternateIdentity
rdaa:P50106,rdaa:realIdentity
rdaa:P50107,rdaa:dateAssociatedWithThePerson
rdaa:P50108,rdaa:otherDesignationAssociatedWithThePerson
rdaa:P50109,rdaa:placeOfResidenceEtc
rdaa:P50110,rdaa:titleOfThePerson
rdaa:P50111,rdaa:nameOfThePerson
rdaa:P50112,rdaa:foundedCorporateBodyOfPerson
rdaa:P50113,rdaa:biographicalInformation
rdaa:P50114,rdaa:addressOfThePerson
rdaa:P50115,rdaa:fullerFormOfName
rdaa:P50116,rdaa:gender
rdaa:P50117,rdaa:preferredNameForThePerson
rdaa:P50118,rdaa:placeOfDeath
rdaa:P50119,rdaa:placeOfBirth
rdaa:P50120,rdaa:dateOfDeath
rdaa:P50121,rdaa:dateOfBirth
rdaa:P50122,rdaa:appellantPersonOf
rdaa:P50123,rdaa:binderOf
rdaa:P50124,rdaa:plaintiffPersonOf
rdaa:P50125,rdaa:inscriberOf
rdaa:P50126,rdaa:judgeOf
rdaa:P50127,rdaa:praesesOf
rdaa:P50128,rdaa:annotatorOf
rdaa:P50129,rdaa:autographerOf
rdaa:P50130,rdaa:issuingBodyOf
rdaa:P50131,rdaa:otherPFCWorkOf
rdaa:P50132,rdaa:dedicatorOf
rdaa:P50133,rdaa:curatorOf
rdaa:P50134,rdaa:composerExpressionOf
rdaa:P50135,rdaa:surveyorOf
rdaa:P50136,rdaa:animatorOf
rdaa:P50137,rdaa:arrangerOfMusicOf
rdaa:P50138,rdaa:writerOfAddedTextOf
rdaa:P50139,rdaa:stageDirectorOf
rdaa:P50140,rdaa:interviewerExpressionOf
rdaa:P50141,rdaa:draftsmanOf
rdaa:P50142,rdaa:transcriberOf
rdaa:P50143,rdaa:musicalDirectorOf
rdaa:P50144,rdaa:costumeDesignerOf
rdaa:P50145,rdaa:translatorOf
rdaa:P50146,rdaa:artDirectorOf
rdaa:P50147,rdaa:performerOf
rdaa:P50148,rdaa:courtReporterOf
rdaa:P50149,rdaa:writerOfPrefaceOf
rdaa:P50150,rdaa:cartographerExpressionOf
