Canonical URI,Lexical alias (English)
rdae:P20001,rdae:contentType.en
rdae:P20002,rdae:identifierForTheExpression.en
rdae:P20003,rdae:otherDistinguishingCharacteristicOfTheExpression.en
rdae:P20004,rdae:dateOfCapture.en
rdae:P20005,rdae:award.en
rdae:P20006,rdae:languageOfExpression.en
rdae:P20007,rdae:languageOfTheContent.en
rdae:P20009,rdae:adaptedAsMotionPictureExpression.en
rdae:P20010,rdae:noteOnChangesInContentCharacteristics.en
rdae:P20011,rdae:conductor.en
rdae:P20012,rdae:actor.en
rdae:P20013,rdae:onScreenPresenter.en
rdae:P20014,rdae:dancer.en
rdae:P20015,rdae:teacher.en
rdae:P20016,rdae:host.en
rdae:P20017,rdae:moderator.en
rdae:P20018,rdae:puppeteer.en
rdae:P20019,rdae:panelist.en
rdae:P20020,rdae:instrumentalist.en
rdae:P20021,rdae:commentator.en
rdae:P20022,rdae:narrator.en
rdae:P20023,rdae:storyteller.en
rdae:P20024,rdae:speaker.en
rdae:P20025,rdae:singer.en
rdae:P20026,rdae:composerExpression.en
rdae:P20027,rdae:surveyor.en
rdae:P20028,rdae:animator.en
rdae:P20029,rdae:arrangerOfMusic.en
rdae:P20030,rdae:writerOfAddedText.en
rdae:P20031,rdae:stageDirector.en
rdae:P20032,rdae:interviewerExpression.en
rdae:P20033,rdae:draftsman.en
rdae:P20034,rdae:transcriber.en
rdae:P20035,rdae:musicalDirector.en
rdae:P20036,rdae:costumeDesigner.en
rdae:P20037,rdae:translator.en
rdae:P20038,rdae:artDirector.en
rdae:P20039,rdae:performer.en
rdae:P20040,rdae:courtReporter.en
rdae:P20041,rdae:writerOfPreface.en
rdae:P20042,rdae:cartographerExpression.en
rdae:P20043,rdae:choreographerExpression.en
rdae:P20044,rdae:writerOfAddedCommentary.en
rdae:P20045,rdae:writerOfIntroduction.en
rdae:P20046,rdae:writerOfSupplementaryTextualContent.en
rdae:P20047,rdae:intervieweeExpression.en
rdae:P20048,rdae:editor.en
rdae:P20049,rdae:abridger.en
rdae:P20050,rdae:recordingEngineer.en
rdae:P20051,rdae:illustrator.en
rdae:P20052,rdae:recordist.en
rdae:P20053,rdae:contributor.en
rdae:P20054,rdae:presenter.en
rdae:P20055,rdae:editorOfMovingImageWork.en
rdae:P20056,rdae:productionDesigner.en
rdae:P20058,rdae:minuteTaker.en
rdae:P20059,rdae:manifestationOfExpression.en
rdae:P20060,rdae:adaptedAsRadioProgramExpression.en
rdae:P20061,rdae:formOfTactileNotation.en
rdae:P20062,rdae:formOfNotation.en
rdae:P20063,rdae:formOfNotatedMovement.en
rdae:P20064,rdae:formOfMusicalNotation.en
rdae:P20065,rdae:script.en
rdae:P20066,rdae:adaptedAsTelevisionProgramExpression.en
rdae:P20067,rdae:adaptedAsVideoExpression.en
rdae:P20068,rdae:writerOfAddedLyrics.en
rdae:P20069,rdae:summarizationOfTheContent.en
rdae:P20070,rdae:voiceActor.en
rdae:P20071,rdae:noteOnExpression.en
rdae:P20073,rdae:dramatizedAsExpression.en
rdae:P20074,rdae:containedInExpression.en
rdae:P20075,rdae:replacedInPartByExpression.en
rdae:P20076,rdae:replacedByExpression.en
rdae:P20077,rdae:adaptedInVerseAsExpression.en
rdae:P20078,rdae:dubbedVersionOf.en
rdae:P20079,rdae:dubbedVersion.en
rdae:P20080,rdae:cadenzaExpression.en
rdae:P20081,rdae:variationsBasedOnExpression.en
rdae:P20082,rdae:modifiedByVariationAsExpression.en
rdae:P20083,rdae:cadenzaComposedForExpression.en
rdae:P20084,rdae:librettoForExpression.en
rdae:P20085,rdae:incidentalMusicExpression.en
rdae:P20086,rdae:remadeAsExpression.en
rdae:P20087,rdae:setToMusicAsExpression.en
rdae:P20088,rdae:adaptedAsNovelExpression.en
rdae:P20089,rdae:appendixToExpression.en
rdae:P20090,rdae:abstractedInExpression.en
rdae:P20091,rdae:indexedInExpression.en
rdae:P20092,rdae:adaptedAsChoreographyExpression.en
rdae:P20093,rdae:errataExpression.en
rdae:P20094,rdae:illustrationsExpression.en
rdae:P20095,rdae:adaptedAsMotionPictureScreenplayExpression.en
rdae:P20096,rdae:adaptedAsScreenplayExpression.en
rdae:P20097,rdae:adaptedAsTelevisionScreenplayExpression.en
rdae:P20098,rdae:adaptedAsVideoScreenplayExpression.en
rdae:P20099,rdae:adaptedAsRadioScriptExpression.en
rdae:P20100,rdae:complementedByExpression.en
rdae:P20101,rdae:continuedInPartByExpression.en
rdae:P20102,rdae:screenplayForExpression.en
rdae:P20103,rdae:incidentalMusicForExpression.en
rdae:P20104,rdae:abstractedAsExpression.en
rdae:P20105,rdae:augmentedByExpression.en
rdae:P20106,rdae:summarizedAsExpression.en
rdae:P20107,rdae:catalogueExpression.en
rdae:P20108,rdae:concordanceExpression.en
rdae:P20109,rdae:addendaExpression.en
rdae:P20110,rdae:adaptedAsLibrettoExpression.en
rdae:P20114,rdae:imitatedAsExpression.en
rdae:P20115,rdae:expandedAsExpression.en
rdae:P20118,rdae:appendixExpression.en
rdae:P20119,rdae:freelyTranslatedAsExpression.en
rdae:P20120,rdae:guideExpression.en
rdae:P20121,rdae:abridgementOfExpression.en
rdae:P20122,rdae:abstractOfExpression.en
rdae:P20123,rdae:dramatizationOfExpression.en
rdae:P20124,rdae:verseAdaptationOfExpression.en
rdae:P20125,rdae:motionPictureAdaptationOfExpression.en
rdae:P20126,rdae:novelizationOfExpression.en
rdae:P20127,rdae:radioAdaptationOfExpression.en
rdae:P20128,rdae:televisionAdaptationOfExpression.en
rdae:P20129,rdae:screenplayBasedOnExpression.en
rdae:P20130,rdae:motionPictureScreenplayBasedOnExpression.en
rdae:P20131,rdae:televisionScreenplayBasedOnExpression.en
rdae:P20132,rdae:videoScreenplayBasedOnExpression.en
rdae:P20133,rdae:radioScriptBasedOnExpression.en
rdae:P20134,rdae:videoAdaptationOfExpression.en
rdae:P20135,rdae:digestOfExpression.en
rdae:P20137,rdae:absorptionOfExpression.en
rdae:P20138,rdae:absorptionInPartOfExpression.en
rdae:P20139,rdae:arrangementOf.en
rdae:P20140,rdae:freeTranslationOfExpression.en
rdae:P20141,rdae:translationOf.en
rdae:P20142,rdae:parodiedAsExpression.en
rdae:P20143,rdae:absorbedByExpression.en
rdae:P20144,rdae:absorbedInPartByExpression.en
rdae:P20145,rdae:containerOfExpression.en
rdae:P20146,rdae:errataToExpression.en
rdae:P20147,rdae:guideToExpression.en
rdae:P20148,rdae:illustrationsForExpression.en
rdae:P20149,rdae:continuationOfExpression.en
rdae:P20151,rdae:supplementToExpression.en
rdae:P20152,rdae:adaptationOfExpression.en
rdae:P20153,rdae:adaptedAsExpression.en
rdae:P20154,rdae:precededByExpression.en
rdae:P20155,rdae:findingAidExpression.en
rdae:P20156,rdae:indexExpression.en
rdae:P20157,rdae:screenplayExpression.en
rdae:P20158,rdae:motionPictureScreenplayExpression.en
rdae:P20159,rdae:musicalSettingOfExpression.en
rdae:P20160,rdae:radioScriptExpression.en
rdae:P20161,rdae:televisionScreenplayExpression.en
rdae:P20162,rdae:videoScreenplayExpression.en
rdae:P20163,rdae:librettoExpression.en
rdae:P20164,rdae:paraphrasedAsExpression.en
rdae:P20165,rdae:arrangedAs.en
rdae:P20166,rdae:abridgedAsExpression.en
rdae:P20167,rdae:continuationInPartOfExpression.en
rdae:P20168,rdae:separatedFromExpression.en
rdae:P20169,rdae:succeededByExpression.en
rdae:P20170,rdae:digestedAsExpression.en
rdae:P20171,rdae:translatedAs.en
rdae:P20172,rdae:supplementExpression.en
rdae:P20173,rdae:screenplayForMotionPictureExpression.en
rdae:P20174,rdae:screenplayForTelevisionProgramExpression.en
