Canonical URI,Lexical alias (English)
rdai:P40001,rdai:identifierForTheItem.en
rdai:P40003,rdai:noteOnItemSpecificCarrierCharacteristic.en
rdai:P40004,rdai:collector.en
rdai:P40005,rdai:collectionRegistrar.en
rdai:P40006,rdai:depositor.en
rdai:P40007,rdai:donor.en
rdai:P40008,rdai:seller.en
rdai:P40009,rdai:containedInItem.en
rdai:P40010,rdai:noteOnDimensionsOfItem.en
rdai:P40011,rdai:noteOnExtentOfItem.en
rdai:P40012,rdai:illuminator.en
rdai:P40013,rdai:binder.en
rdai:P40014,rdai:inscriber.en
rdai:P40015,rdai:annotator.en
rdai:P40016,rdai:autographer.en
rdai:P40017,rdai:curator.en
rdai:P40018,rdai:currentOwner.en
rdai:P40019,rdai:formerOwner.en
rdai:P40020,rdai:custodian.en
rdai:P40021,rdai:owner.en
rdai:P40022,rdai:honoureeOfItem.en
rdai:P40023,rdai:otherPFCItem.en
rdai:P40024,rdai:restorationistItem.en
rdai:P40025,rdai:dedicateeOfItem.en
rdai:P40026,rdai:custodialHistoryOfItem.en
rdai:P40027,rdai:electronicReproductionOfItem.en
rdai:P40028,rdai:noteOnItem.en
rdai:P40029,rdai:accompaniedByItem.en
rdai:P40031,rdai:equivalentItem.en
rdai:P40032,rdai:boundWith.en
rdai:P40034,rdai:containerOfItem.en
rdai:P40035,rdai:onDiscWithItem.en
rdai:P40036,rdai:filmedWithItem.en
rdai:P40038,rdai:reprintOfItem.en
rdai:P40039,rdai:digitalTransferOfItem.en
rdai:P40042,rdai:reproductionOfItem.en
rdai:P40044,rdai:preservationFacsimileOfItem.en
rdai:P40045,rdai:facsimileOfItem.en
rdai:P40046,rdai:relatedItemItem.en
rdai:P40047,rdai:restrictionOnAccessToItem.en
rdai:P40048,rdai:restrictionOnUseOfItem.en
rdai:P40049,rdai:manifestationExemplified.en
rdai:P40050,rdai:immediateSourceOfAcquisitionOfItem.en
rdai:P40051,rdai:accompanyingItemRelationship.en
rdai:P40053,rdai:equivalentItemRelationship.en
rdai:P40054,rdai:wholePartItemRelationship.en
rdai:P40055,rdai:reproducedAsItem.en
rdai:P40056,rdai:digitalTransferItem.en
rdai:P40057,rdai:electronicReproductionItem.en
rdai:P40058,rdai:facsimileItem.en
rdai:P40059,rdai:preservationFacsimileItem.en
rdai:P40060,rdai:reprintedAsItem.en
rdai:P40061,rdai:subjectOfItem.en
rdai:P40062,rdai:describedInItem.en
rdai:P40063,rdai:analysedInItem.en
rdai:P40064,rdai:commentaryInItem.en
rdai:P40065,rdai:critiquedInItem.en
rdai:P40066,rdai:evaluatedInItem.en
rdai:P40067,rdai:reviewedInItem.en
rdai:P40068,rdai:relatedEntityItem.en
rdai:P40069,rdai:relatedWorkItem.en
rdai:P40070,rdai:relatedExpressionItem.en
rdai:P40071,rdai:relatedManifestationItem.en
rdai:P40072,rdai:relatedAgentItem.en
rdai:P40073,rdai:relatedPersonItem.en
rdai:P40074,rdai:relatedFamilyItem.en
rdai:P40075,rdai:relatedCorporateBodyItem.en
rdai:P40076,rdai:relatedCollectiveAgentItem.en
rdai:P40077,rdai:relatedPlaceItem.en
rdai:P40078,rdai:relatedTimespanItem.en
rdai:P40079,rdai:relatedNomenItem.en
