Canonical URI,Lexical alias (English)
rdam:P30001,rdam:carrierType.en
rdam:P30002,rdam:mediaType.en
rdam:P30003,rdam:modeOfIssuance.en
rdam:P30004,rdam:identifierForTheManifestation.en
rdam:P30005,rdam:preferredCitation.en
rdam:P30006,rdam:regionalEncoding.en
rdam:P30007,rdam:copyrightDate.en
rdam:P30008,rdam:dateOfDistribution.en
rdam:P30009,rdam:dateOfProduction.en
rdam:P30010,rdam:dateOfManufacture.en
rdam:P30011,rdam:dateOfPublication.en
rdam:P30012,rdam:parallelDesignationOfANamedRevisionOfAnEdition.en
rdam:P30013,rdam:parallelDesignationOfEdition.en
rdam:P30014,rdam:numberingWithinSeries.en
rdam:P30015,rdam:numberingWithinSubseries.en
rdam:P30016,rdam:electronicReproductionManifestation.en
rdam:P30017,rdam:parallelDistributorsName.en
rdam:P30018,rdam:fileType.en
rdam:P30019,rdam:facsimileContainedIn.en
rdam:P30020,rdam:containedInManifestation.en
rdam:P30021,rdam:preservationFacsimileManifestation.en
rdam:P30022,rdam:insert.en
rdam:P30024,rdam:equivalentManifestation.en
rdam:P30025,rdam:insertedIn.en
rdam:P30026,rdam:alsoIssuedAs.en
rdam:P30027,rdam:accompaniedByManifestation.en
rdam:P30028,rdam:mirrorSite.en
rdam:P30029,rdam:digitalTransferManifestation.en
rdam:P30030,rdam:specialIssue.en
rdam:P30031,rdam:facsimileManifestation.en
rdam:P30033,rdam:containerOfManifestation.en
rdam:P30035,rdam:issuedWith.en
rdam:P30036,rdam:onDiscWithManifestation.en
rdam:P30037,rdam:filmedWithManifestation.en
rdam:P30038,rdam:reprintedAsManifestation.en
rdam:P30039,rdam:reproducedAsManifestation.en
rdam:P30040,rdam:digitalTransferOfManifestation.en
rdam:P30043,rdam:reproductionOfManifestation.en
rdam:P30045,rdam:preservationFacsimileOfManifestation.en
rdam:P30046,rdam:facsimileContainerOf.en
rdam:P30047,rdam:facsimileOfManifestation.en
rdam:P30048,rdam:relatedManifestationManifestation.en
