Canonical URI,Lexical alias (Engllish)
rdan:P80001,rdan:relatedWorkNomen.en
rdan:P80002,rdan:relatedExpressionNomen.en
rdan:P80003,rdan:relatedManifestationNomen.en
rdan:P80004,rdan:relatedItemNomen.en
rdan:P80005,rdan:relatedAgentNomen.en
rdan:P80006,rdan:relatedCollectiveAgentNomen.en
rdan:P80007,rdan:relatedPlaceNomen.en
rdan:P80008,rdan:relatedTimespanTimespan.en
rdan:P80009,rdan:relatedNomenTimespan.en
rdan:P80010,rdan:relatedEntityNomen.en
rdan:P80011,rdan:relatedPersonNomen.en
rdan:P80012,rdan:relatedFamilyNomen.en
rdan:P80013,rdan:relatedCorporateBodyNomen.en
rdan:P80014,rdan:subjectOfNomen.en
