Canonical URI,Lexical alias (English)
rdap:P70001,rdap:nameOfAPlace.en
rdap:P70002,rdap:preferredNameForAPlace.en
rdap:P70003,rdap:variantNameForAPlace.en
rdap:P70004,rdap:relatedWorkPlace.en
rdap:P70005,rdap:relatedExpressionPlace.en
rdap:P70006,rdap:relatedManifestationPlace.en
rdap:P70007,rdap:relatedItemPlace.en
rdap:P70008,rdap:relatedAgentPlace.en
rdap:P70009,rdap:relatedCollectiveAgentPlace.en
rdap:P70010,rdap:relatedPlacePlace.en
rdap:P70011,rdap:relatedTimespanPlace.en
rdap:P70012,rdap:relatedNomenPlace.en
rdap:P70013,rdap:relatedEntityPlace.en
rdap:P70014,rdap:relatedPersonPlace.en
rdap:P70015,rdap:relatedFamilyPlace.en
rdap:P70016,rdap:relatedCorporateBodyPlace.en
rdap:P70017,rdap:subjectOfPlace.en
