Canonical URI,Lexical alias (English)
rdat:P70001,rdat:relatedWorkTimespan.en
rdat:P70002,rdat:relatedExpressionTimespan.en
rdat:P70003,rdat:relatedManifestationTimespan.en
rdat:P70004,rdat:relatedItemTimespan.en
rdat:P70005,rdat:relatedAgentTimespan.en
rdat:P70006,rdat:relatedCollectiveAgentTimespan.en
rdat:P70007,rdat:relatedPlaceTimespan.en
rdat:P70008,rdat:relatedTimespanTimespan.en
rdat:P70009,rdat:relatedNomenTimespan.en
rdat:P70010,rdat:relatedEntityTimespan.en
rdat:P70011,rdat:relatedPersonTimespan.en
rdat:P70012,rdat:relatedFamilyTimespan.en
rdat:P70013,rdat:relatedCorporateBodyTimespan.en
rdat:P70014,rdat:subjectOfTimespan.en
