Canonical URI,Lexical alias (English)
rdaw:P10001,rdaw:respondent.en
rdaw:P10002,rdaw:identifierForTheWork.en
rdaw:P10003,rdaw:otherDistinguishingCharacteristicOfTheWork.en
rdaw:P10004,rdaw:formOfWork.en
rdaw:P10005,rdaw:appelleeCorporateBody.en
rdaw:P10006,rdaw:degreeGrantingInstitution.en
rdaw:P10007,rdaw:hostInstitution.en
rdaw:P10008,rdaw:productionCompany.en
rdaw:P10009,rdaw:appellantCorporateBody.en
rdaw:P10010,rdaw:plaintiffCorporateBody.en
rdaw:P10011,rdaw:courtGoverned.en
rdaw:P10012,rdaw:numberingOfPart.en
rdaw:P10013,rdaw:filmDirector.en
rdaw:P10014,rdaw:radioDirector.en
rdaw:P10015,rdaw:televisionDirector.en
rdaw:P10016,rdaw:dramatizedAsWork.en
rdaw:P10017,rdaw:enactingJurisdiction.en
rdaw:P10018,rdaw:jurisdictionGoverned.en
rdaw:P10019,rdaw:containedInWork.en
rdaw:P10020,rdaw:sequel.en
rdaw:P10021,rdaw:replacedInPartByWork.en
rdaw:P10022,rdaw:replacedByWork.en
rdaw:P10023,rdaw:adaptedInVerseAsWork.en
rdaw:P10024,rdaw:coordinatesOfCartographicContent.en
rdaw:P10025,rdaw:adaptedAsMotionPictureWork.en
rdaw:P10026,rdaw:cadenzaWork.en
rdaw:P10027,rdaw:variationsBasedOnWork.en
rdaw:P10028,rdaw:modifiedByVariationAsWork.en
rdaw:P10029,rdaw:cadenzaComposedForWork.en
rdaw:P10030,rdaw:librettoForWork.en
rdaw:P10031,rdaw:incidentalMusicWork.en
rdaw:P10032,rdaw:remadeAsWork.en
rdaw:P10033,rdaw:setToMusicAsWork.en
rdaw:P10034,rdaw:adaptedAsNovelWork.en
rdaw:P10035,rdaw:appelleePerson.en
rdaw:P10036,rdaw:medium.en
rdaw:P10037,rdaw:appellee.en
rdaw:P10038,rdaw:appellant.en
rdaw:P10039,rdaw:plaintiff.en
rdaw:P10040,rdaw:defendant.en
rdaw:P10041,rdaw:degreeSupervisor.en
rdaw:P10042,rdaw:appellantPerson.en
rdaw:P10043,rdaw:plaintiffPerson.en
rdaw:P10044,rdaw:judge.en
rdaw:P10045,rdaw:praeses.en
rdaw:P10046,rdaw:issuingBody.en
rdaw:P10047,rdaw:otherPFCWork.en
rdaw:P10048,rdaw:dedicator.en
rdaw:P10049,rdaw:honouree.en
rdaw:P10050,rdaw:programmer.en
rdaw:P10051,rdaw:designer.en
rdaw:P10052,rdaw:cartographer.en
rdaw:P10053,rdaw:composer.en
rdaw:P10054,rdaw:inventor.en
rdaw:P10055,rdaw:compiler.en
rdaw:P10056,rdaw:photographer.en
rdaw:P10057,rdaw:interviewer.en
rdaw:P10058,rdaw:artist.en
rdaw:P10059,rdaw:interviewee.en
rdaw:P10060,rdaw:choreographer.en
rdaw:P10061,rdaw:author.en
rdaw:P10062,rdaw:architect.en
rdaw:P10063,rdaw:filmmaker.en
rdaw:P10064,rdaw:producer.en
rdaw:P10065,rdaw:creator.en
rdaw:P10066,rdaw:director.en
rdaw:P10067,rdaw:sponsoringBody.en
rdaw:P10068,rdaw:directorOfPhotography.en
rdaw:P10069,rdaw:dedicatee.en
rdaw:P10070,rdaw:addressee.en
rdaw:P10071,rdaw:consultant.en
rdaw:P10072,rdaw:manifestationOfWork.en
rdaw:P10073,rdaw:filmProducer.en
rdaw:P10074,rdaw:radioProducer.en
rdaw:P10075,rdaw:televisionProducer.en
rdaw:P10076,rdaw:adaptedAsRadioProgramWork.en
rdaw:P10077,rdaw:academicDegree.en
rdaw:P10078,rdaw:expressionOfWork.en
rdaw:P10079,rdaw:numericDesignationOfAMusicalWork.en
rdaw:P10080,rdaw:subseries.en
rdaw:P10081,rdaw:longitudeAndLatitude.en
rdaw:P10082,rdaw:rightAscensionAndDeclination.en
rdaw:P10083,rdaw:stringsOfCoordinatePairs.en
rdaw:P10084,rdaw:systemOfOrganization.en
rdaw:P10085,rdaw:adaptedAsTelevisionProgramWork.en
rdaw:P10086,rdaw:variantTitleForTheWork.en
rdaw:P10087,rdaw:adaptedAsVideoWork.en
rdaw:P10088,rdaw:titleOfTheWork.en
rdaw:P10089,rdaw:abstractedInWork.en
rdaw:P10090,rdaw:indexedInWork.en
rdaw:P10091,rdaw:adaptedAsChoreographyWork.en
rdaw:P10092,rdaw:errataWork.en
rdaw:P10093,rdaw:illustrationsWork.en
rdaw:P10094,rdaw:adaptedAsMotionPictureScreenplayWork.en
rdaw:P10095,rdaw:adaptedAsScreenplayWork.en
rdaw:P10096,rdaw:adaptedAsTelevisionScreenplayWork.en
rdaw:P10097,rdaw:adaptedAsVideoScreenplayWork.en
rdaw:P10098,rdaw:adaptedAsRadioScriptWork.en
rdaw:P10099,rdaw:freelyTranslatedAsWork.en
rdaw:P10100,rdaw:descriptionOfWork.en
rdaw:P10101,rdaw:subseriesOf.en
rdaw:P10102,rdaw:inSeries.en
rdaw:P10103,rdaw:complementedByWork.en
rdaw:P10104,rdaw:continuedInPartByWork.en
rdaw:P10105,rdaw:screenplayForWork.en
rdaw:P10106,rdaw:incidentalMusicForWork.en
rdaw:P10107,rdaw:abstractedAsWork.en
rdaw:P10108,rdaw:augmentedByWork.en
rdaw:P10109,rdaw:summarizedAsWork.en
rdaw:P10110,rdaw:catalogueWork.en
