Canonical URI,Lexical alias (English)
rdax:P00001,rdax:relatedEntity.en
rdax:P00002,rdax:relatedWork.en
rdax:P00003,rdax:relatedExpression.en
rdax:P00004,rdax:relatedManifestation.en
rdax:P00005,rdax:relatedItem.en
rdax:P00006,rdax:relatedAgent.en
rdax:P00007,rdax:relatedPerson.en
rdax:P00008,rdax:relatedFamily.en
rdax:P00009,rdax:relatedCorporateBody.en
rdax:P00010,rdax:relatedPlace.en
rdax:P00011,rdax:relatedTimeSpan.en
rdax:P00012,rdax:relatedCollectiveAgent.en
rdax:P00013,rdax:relatedNomen.en
rdax:P00014,rdax:subjectOfEntity.en
