Redundant,RedundantLabel,Recommended,RecommendedLabel
rdaw:P10281,critique of expression,rdaw:P10279,evaluation of expression
rdaw:P10275,critique of manifestation,rdaw:P10273,evaluation of manifestation
rdaw:P10359,critique of RDA entity,rdaw:P10361,evaluation of RDA entity
rdaw:P10182,critique of work,rdaw:P10153,evaluation of work
rdae:P20210,details of cartographic content,rdae:P20071,note on expression
rdae:P20135,digest of expression,rdae:P20121,abridgement of expression
rdaw:P10139,digest of work,rdaw:P10125,abridgement of work
rdae:P20170,digested as expression,rdae:P20166,abridged as expression
rdaw:P10171,digested as work,rdaw:P10167,abridged as work
rdae:P20272,expression critiqued by,rdae:P20273,expression evaluated by
rdae:P20274,expression reviewed by,rdae:P20273,expression evaluated by
rdai:P40036,filmed with item,rdai:P40163,on manifestation with
rdam:P30037,filmed with manifestation,rdam:P30035,on carrier unit with
rdam:P30257,manifestation critiqued by,rdam:P30258,manifestation evaluated by
rdam:P30259,manifestation reviewed by,rdam:P30258,manifestation evaluated by
rdai:P40003,modification of item,rdai:P40028,note on item
rdae:P20309,note on capture,rdae:P20217,capture information
rdam:P30214,note on carrier,rdam:P30137,note on manifestation
rdam:P30051,note on changes in carrier characteristics,rdam:P30137,note on manifestation
rdae:P20010,note on changes in content characteristics,n/a,accomodated by diachronic work instructions
rdam:P30059,note on copyright date,rdam:P30137,note on manifestation
rdai:P40010,note on dimensions of item,rdai:P40028,note on item
rdam:P30060,note on dimensions of manifestation,rdam:P30137,note on manifestation
rdam:P30052,note on distribution statement,rdam:P30137,note on manifestation
rdam:P30064,note on edition statement,rdam:P30137,note on manifestation
rdai:P40011,note on extent of item,rdai:P40028,note on item
rdam:P30061,note on extent of manifestation,rdam:P30137,note on manifestation
rdam:P30260,note on identifier for manifestation,rdam:P30137,note on manifestation
rdam:P30050,"note on issue, part, or iteration used as basis for identification of manifestation",rdam:P30137,note on manifestation
rdam:P30053,note on manufacture statement,rdam:P30137,note on manifestation
rdam:P30062,note on numbering of sequence,rdam:P30137,note on manifestation
rdam:P30054,note on production statement,rdam:P30137,note on manifestation
rdam:P30055,note on publication statement,rdam:P30137,note on manifestation
rdam:P30058,note on series statement,rdam:P30137,note on manifestation
rdam:P30057,note on statement of responsibility,rdam:P30137,note on manifestation
rdam:P30063,note on title,rdam:P30137,note on manifestation
rdai:P40035,on disc with item,rdai:P40163,on manifestation with
rdam:P30036,on disc with manifestation,rdam:P30035,on carrier unit with
rdam:P30013,parallel designation of edition,rdam:P30133,designation of edition
rdam:P30012,parallel designation of named revision of edition,rdam:P30132,designation of named revision of edition
rdam:P30017,parallel name of distributor,rdam:P30173,name of distributor
rdan:P80127,parallel name of distributor of,rdan:P80115,name of distributor of
rdam:P30049,parallel name of manufacturer,rdam:P30175,name of manufacturer
rdan:P80128,parallel name of manufacturer of,rdan:P80116,name of manufacturer of
rdam:P30094,parallel name of producer,rdam:P30174,name of producer
rdan:P80129,parallel name of producer of,rdan:P80117,name of producer of
rdam:P30095,parallel name of publisher,rdam:P30176,name of publisher
rdan:P80130,parallel name of publisher of,rdan:P80118,name of publisher of
rdam:P30151,parallel other title information,rdam:P30142,other title information
rdam:P30152,parallel other title information of series,rdam:P30143,other title information of series
rdam:P30089,parallel place of distribution,rdam:P30085,place of distribution
rdam:P30090,parallel place of manufacture,rdam:P30087,place of manufacture
rdam:P30091,parallel place of production,rdam:P30086,place of production
rdam:P30092,parallel place of publication,rdam:P30088,place of publication
rdam:P30115,parallel statement of responsibility relating to edition,rdam:P30121,statement of responsibility relating to edition
rdam:P30112,parallel statement of responsibility relating to named revision of edition,rdam:P30118,statement of responsibility relating to named revision of edition
rdam:P30113,parallel statement of responsibility relating to series,rdam:P30119,statement of responsibility relating to series
rdam:P30116,parallel statement of responsibility relating to title proper,rdam:P30105,statement of responsibility relating to title proper
rdam:P30204,parallel title of series,rdam:P30157,title of series
rdan:P80136,parallel title of series of,rdan:P80125,title of series of
rdam:P30203,parallel title proper,rdam:P30156,title proper
rdan:P80135,parallel title proper of,rdan:P80063,title proper of
rdax:P00024,RDA entity critiqued by,rdax:P00026,RDA entity evaluated by
rdax:P00027,RDA entity reviewed by,rdax:P00026,RDA entity evaluated by
rdaw:P10280,review of expression,rdaw:P10279,evaluation of expression
rdaw:P10274,review of manifestation,rdaw:P10273,evaluation of manifestation
rdaw:P10362,review of RDA entity,rdaw:P10361,evaluation of RDA entity
rdaw:P10178,review of work,rdaw:P10153,evaluation of work
rdae:P20227,scale of still image or three-dimensional form,rdae:P20228,scale
rdaw:P10115,work critiqued by,rdaw:P10120,work evaluated by
rdaw:P10114,work reviewed by,rdaw:P10120,work evaluated by
