Unconstrained label,Alignment,MARC 21 relator label
has abridger,has equivalent,Abridger
has actor,has equivalent,Actor
has addressee,has broader,Correspondent
has addressee,has equivalent,Addressee
has animator,has equivalent,Animator
has annotator,has equivalent,Annotator
has appellant,has equivalent,Appellant
has appellant,has narrower,Contestant-appellant
has appellant,has narrower,Complainant-appellant
has appellant,has narrower,Contestee-appellant
has appellant,has narrower,Defendant-appellant
has appellant,has narrower,Libelee-appellant
has appellant,has narrower,Libelant-appellant
has appellant,has narrower,Plaintiff-appellant
has appellant,has narrower,Respondent-appellant
has appellee,has equivalent,Appellee
has appellee,has narrower,Contestant-appellee
has appellee,has narrower,Complainant-appellee
has appellee,has narrower,Contestee-appellee
has appellee,has narrower,Defendant-appellee
has appellee,has narrower,Libelee-appellee
has appellee,has narrower,Libelant-appellee
has appellee,has narrower,Plaintiff-appellee
has appellee,has narrower,Respondent-appellee
has architect,has equivalent,Architect
has arranger of music,has equivalent,Arranger
has art director,has equivalent,Art director
has artist,has equivalent,Artist
has author,has narrower,Analyst
has author,has narrower,Author in quotations or text abstracts
has author,has equivalent,Author
has author,has narrower,Dissertant
has author,has narrower,Dubious author
has author,has narrower,Metadata contact
has author,has narrower,Reviewer
has author,has narrower,Reporter
has autographer,has equivalent,Autographer
has binder,has equivalent,Binder
has book designer,has narrower,Binding designer
has book designer,has narrower,Bookjacket designer
has book designer,has equivalent,Book designer
has book designer,has narrower,Cover designer
has book designer,has narrower,Typographer
has braille embosser,has equivalent,Braille embosser
has broadcaster,has equivalent,Broadcaster
has calligrapher,has equivalent,Calligrapher
has cartographer,has equivalent,Cartographer
has caster,has equivalent,Caster
has censor,has equivalent,Censor
has choreographer,has equivalent,Choreographer
has collection registrar,has equivalent,Collection registrar
has collector,has equivalent,Collector
has collotyper,has equivalent,Collotyper
has colourist,has equivalent,Colorist
has commentator,has equivalent,Commentator
has compiler,has equivalent,Compiler
has compiler,has equivalent,Editor of compilation
has compiler,has equivalent,Publishing director
has composer,has equivalent,Composer
has conductor,has equivalent,Conductor
has consultant,has equivalent,Consultant
has consultant,has narrower,Consultant to a project
has consultant,has narrower,Scientific advisor
has contributor agent of still image,has equivalent,Illustrator
