reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subClassOf[0],subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type","See Also[0]"
13891,"has employee",rdaa:employee.en,"Relates a corporate body to a person who is employed by a corporate body.",,,,,,,,,,,employee,"A person who is employed by a corporate body.",rdaa:P50026,property,employee,rdac:C10005,,rdau:P60629,,rdaa:P50030,,,,Published,29.5,2,
13892,"has officer",rdaa:officer.en,"Relates a corporate body to a person who holds an office in a corporate body.",,,,,,,,,,,officer,"A person who holds an office in a corporate body.",rdaa:P50027,property,officer,rdac:C10005,,rdau:P60633,,rdaa:P50334,,,,Published,29.5,2,
13893,"has sponsoring person of corporate body",rdaa:sponsoringPersonOfCorporateBody.en,"Relates a corporate body to a person who sponsors a corporate body.",,sponsor,,,,,,,,,"sponsoring person of corporate body","A person who sponsors a corporate body.",rdaa:P50028,property,sponsoringPersonOfCorporateBody,rdac:C10005,,rdau:P60676,,rdaa:P50334,rdaa:P51096,,,Published,29.5,2,
13894,"has founding person of corporate body",rdaa:foundingPersonOfCorporateBody.en,"Relates a corporate body to a person who iniitates a corporate body.",,founder,,,,,,,,,"founding person of corporate body","A person who initiates a corporate body.",rdaa:P50029,property,foundingPersonOfCorporateBody,rdac:C10005,,rdau:P60694,,rdaa:P50334,rdaa:P51106,,,Published,29.5,2,
13895,"has person member of corporate body",rdaa:personMemberOfCorporateBody.en,"Relates a corporate body to a person who is a member of a corporate body.",,member,"affiliation of",,,,,,,,"person member of corporate body","A person who is a member of a corporate body.",rdaa:P50030,property,personMemberOfCorporateBody,rdac:C10005,,rdau:P60697,,rdaa:P50334,rdaa:P50445,,,Published,29.5,2,
13897,"has name of corporate body",rdaa:nameOfCorporateBody.en,"Relates a corporate body to an appellation of corporate body in natural language and phrasing used in common discourse.",,,,,,,,,,,"name of corporate body","An appellation of corporate body in natural language and phrasing used in common discourse.",rdaa:P50032,property,nameOfCorporateBody,rdac:C10005,,rdau:P60368,,rdaa:P50380,rdaa:P50386,,,Published,11.2,3,
13900,"has corporate history",rdaa:corporateHistory.en,"Relates a corporate body to a summary of historical information about a corporate body.",,,,,,,,,,,"corporate history","A summary of historical information about a corporate body.",rdaa:P50035,property,corporateHistory,rdac:C10005,,rdau:P60484,,,,,,Published,11.11,6,
13901,"has address of corporate body",rdaa:addressOfCorporateBody.en,"Relates a corporate body to an address of a corporate body.","Includes an email or other online address.",,,,,,,,,,"address of corporate body","An address of a corporate body.",rdaa:P50036,property,addressOfCorporateBody,rdac:C10005,,rdau:P60512,,rdaa:P50419,,,,Published,11.9,6,
13902,"has date of establishment",rdaa:dateOfEstablishment.en,"Relates a corporate body to a timespan during which a corporate body is established or founded.",,,,,,,,,,,"date of establishment","A timespan during which a corporate body is established or founded.",rdaa:P50037,property,dateOfEstablishment,rdac:C10005,,rdau:P60524,,rdaa:P50351,,,,Published,11.4.3,3,
13903,"has date of termination",rdaa:dateOfTermination.en,"Relates a corporate body to a timespan during which a corporate body is terminated or dissolved.",,,,,,,,,,,"date of termination","A timespan during which a corporate body is terminated or dissolved.",rdaa:P50038,property,dateOfTermination,rdac:C10005,,rdau:P60525,,rdaa:P50351,,,,Published,11.4.4,3,
13904,"has date of conference",rdaa:dateOfConference.en,"Relates a corporate body to a timespan during which a conference, exhibition, or other formally named and convened event that gives rise to a work is held.",,"date of conference, etc.",,,,,,,,,"date of conference","A timespan during which a conference, exhibition, or other formally named and convened event that gives rise to a work is held.",rdaa:P50039,property,dateOfConference,rdac:C10005,,rdau:P60526,,rdaa:P50351,,,,Published,11.4.2,3,
13906,"has preferred name of corporate body",rdaa:preferredNameOfCorporateBody.en,"Relates a corporate body to a name of corporate body that is selected for preference in a specific application or context.",,,,,,,,,,,"preferred name of corporate body","A name of corporate body that is selected for preference in a specific application or context.",rdaa:P50041,property,preferredNameOfCorporateBody,rdac:C10005,,rdau:P60549,,rdaa:P50032,rdaa:P50414,,,Published,11.2.2,3,
13907,"is appellant corporate body of",rdaa:appellantCorporateBodyOf.en,"Relates a corporate body to a legal work of a higher court that records a decision of a lower court that is appealed by a corporate body.",,,,,,,,,,,"appellant corporate body of","A legal work of a higher court that records a decision of a lower court that is appealed by a corporate body.",rdaa:P50042,property,appellantCorporateBodyOf,rdac:C10005,,rdau:P60691,,rdaa:P50844,,,,Published,18.5,2,
13908,"is plaintiff corporate body of",rdaa:plaintiffCorporateBodyOf.en,"Relates a corporate body to a work that involves a responsibility for bringing a suit as a corporate body in a civil proceeding.",,,,,,,,,,,"plaintiff corporate body of","A work that involves a responsibility for bringing a suit as a corporate body in a civil proceeding.",rdaa:P50043,property,plaintiffCorporateBodyOf,rdac:C10005,,rdau:P60693,,rdaa:P50844,,,,Published,18.5,2,
13909,"is court governed of",rdaa:courtGovernedOf.en,"Relates a corporate body to a work of a court governed by court rules, regardless of their official nature to a work.",,,,,,,,,,,"court governed of","A work of a court governed by court rules, regardless of their official nature.",rdaa:P50044,property,courtGovernedOf,rdac:C10005,,rdau:P60005,,rdaa:P50844,,,,Published,18.5,2,
13910,"is collector agent of",rdaa:collectorAgentOf.en,"Relates an agent to an item that is brought together by an agent with items from various sources that are arranged, described, and catalogued as a collection.",,"collector of",,,,,,,,,"collector agent of","An item that is brought together by an agent with items from various sources that are arranged, described, and catalogued as a collection.",rdaa:P50045,property,collectorAgentOf,rdac:C10002,,rdau:P60006,,rdaa:P50133,,,,Published,18.5,2,
13911,"is collection registrar agent of",rdaa:collectionRegistrarAgentOf.en,"Relates an agent to an item that is listed or inventoried by an agent in an aggregate work such as a collection of items or works.",,"collection registrar of",,,,,,,,,"collection registrar agent of","An item that is listed or inventoried by an agent in an aggregate work such as a collection of items or works.",rdaa:P50046,property,collectionRegistrarAgentOf,rdac:C10002,,rdau:P60007,,rdaa:P50133,,,,Published,18.5,2,
13912,"is depositor agent of",rdaa:depositorAgentOf.en,"Relates an agent to an item that is deposited by an agent into the custody of another agent without transferring ownership.",,"depositor of",,,,,,,,,"depositor agent of","An item that is deposited by an agent into the custody of another agent without transferring ownership.",rdaa:P50047,property,depositorAgentOf,rdac:C10002,,rdau:P60008,,rdaa:P50162,,,,Published,18.5,2,
13913,"is film director agent of",rdaa:filmDirectorAgentOf.en,"Relates an agent to a work that involves a responsibility of an agent for the general management and supervision of a filmed performance.",,"film director of",,,,,,,,,"film director agent of","A work that involves a responsibility of an agent for the general management and supervision of a filmed performance.",rdaa:P50048,property,filmDirectorAgentOf,rdac:C10002,,rdau:P60009,,rdaa:P50205,,,,Published,18.5,2,
13914,"is radio director agent of",rdaa:radioDirectorAgentOf.en,"Relates an agent to a work that involves a responsibility of an agent for the general management and supervision of a radio program.",,"radio director of",,,,,,,,,"radio director agent of","A work that involves a responsibility of an agent for the general management and supervision of a radio program.",rdaa:P50049,property,radioDirectorAgentOf,rdac:C10002,,rdau:P60010,,rdaa:P50205,,,,Published,18.5,2,
13915,"is television director agent of",rdaa:televisionDirectorAgentOf.en,"Relates an agent to a work that involves a responsibility of an agent for the general management and supervision of a television program.",,"television director of",,,,,,,,,"television director agent of","A work that involves a responsibility of an agent for the general management and supervision of a television program.",rdaa:P50050,property,televisionDirectorAgentOf,rdac:C10002,,rdau:P60011,,rdaa:P50205,,,,Published,18.5,2,
13916,"has category of family",rdaa:categoryOfFamily.en,"Relates a family to a type to which a family belongs.",,"type of family",,,,,,,,,"category of family","A type to which a family belongs.",rdaa:P50051,property,categoryOfFamily,rdac:C10008,,rdau:P60047,,rdaa:P50491,,,,Published,10.3,5,
