reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,subClassOf[0],sameAs[0],*status,instructionNumber
14328,work,rdac:Work.en,"A distinct intellectual or artistic creation, that is, the intellectual or artistic content.",,Work,"A distinct intellectual or artistic creation, that is, the intellectual or artistic content.",rdac:C10001,class,Work,rdac:C10013,,Published,5.1.2
14329,agent,rdac:Agent.en,"A person or two or more persons capable of acting as a unit.",,Agent,"A person or two or more persons capable of acting as a unit.",rdac:C10002,class,Agent,rdac:C10013,,Published,
14330,item,rdac:Item.en,"A single exemplar or instance of a manifestation.",,Item,"A single exemplar or instance of a manifestation.",rdac:C10003,class,Item,rdac:C10013,,Published,1.1.5
14331,person,rdac:Person.en,"An individual human being who lives or is assumed to have lived.",,Person,"An individual human being who lives or is assumed to have lived.",rdac:C10004,class,Person,rdac:C10002,,Published,8.1.2
14332,"corporate body",rdac:CorporateBody.en,"An organization or group of persons or organizations that is identified by a name and is capable of acting as a unit.",,"Corporate Body","An organization or group of persons or organizations that is identified by a name and is capable of acting as a unit.",rdac:C10005,class,CorporateBody,rdac:C10011,,Published,8.1.2
14333,expression,rdac:Expression.en,"An intellectual or artistic realization of a work in the form of alpha-numeric, musical or choreographic notation, sound, image, object, movement, etc., or any combination of such forms.",,Expression,"An intellectual or artistic realization of a work in the form of alpha-numeric, musical or choreographic notation, sound, image, object, movement, etc., or any combination of such forms.",rdac:C10006,class,Expression,rdac:C10013,,Published,5.1.2
14334,manifestation,rdac:Manifestation.en,"A physical embodiment of an expression of a work.",,Manifestation,"A physical embodiment of an expression of a work.",rdac:C10007,class,Manifestation,rdac:C10013,,Published,1.1.5
14335,family,rdac:Family.en,"Two or more persons related by birth, marriage, adoption, civil union, or similar legal status, or who otherwise present themselves as a family.",,Family,"Two or more persons related by birth, marriage, adoption, civil union, or similar legal status, or who otherwise present themselves as a family.",rdac:C10008,class,Family,rdac:C10011,,Published,8.1.2
22989,place,rdac:Place.en,"A given extent of space.",,Place,"A given extent of space.",rdac:C10009,class,Place,rdac:C10013,,Published,
25151,timespan,rdac:Timespan.en,"A temporal extent having a beginning, an end and a duration.",,Timespan,"A temporal extent having a beginning, an end and a duration.",rdac:C10010,class,Timespan,rdac:C10013,,Published,
25152,"collective agent",rdac:CollectiveAgent.en,"A gathering or organization of persons bearing a particular name and capable of acting as a unit.","A collective agent includes a corporate body and a family.","Collective Agent","A gathering or organization of persons bearing a particular name and capable of acting as a unit.",rdac:C10011,class,CollectiveAgent,rdac:C10002,,Published,
25153,nomen,rdac:Nomen.en,"A designation that refers to an RDA entity.","A designation includes a name, title, access point, identifier, and subject classification codes and headings.",Nomen,"A designation that refers to an RDA entity.",rdac:C10012,class,Nomen,rdac:C10013,,Published,
25154,"RDA entity",rdac:RDAEntity.en,"An abstract class of key conceptual objects in the universe of human discourse that is a focus of interest to users of RDA metadata in a system for resource discovery.","An RDA entity includes an agent, collective agent, corporate body, expression, family, item, manifestation, nomen, person, place, timespan, and work.","RDA Entity","An abstract class of key conceptual objects in the universe of human discourse that is a focus of interest to users of RDA metadata in a system for resource discovery.",rdac:C10013,class,RDAEntity,,,Published,
