reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type","See Also[0]"
14092,"has content type",rdae:contentType.en,"Relates an expression to a categorization reflecting the fundamental form of communication in which the content is expressed and the human sense through which it is intended to be perceived.","Content type also reflects the number of spatial dimensions and the presence or absence of movement in which content expressed in the form of an image or images is intended to be perceived.","type of content",,"content type","A categorization reflecting the fundamental form of communication in which the content is expressed and the human sense through which it is intended to be perceived.",rdae:P20001,property,contentType,rdac:C10006,,rdau:P60049,,,,,Published,6.9,4,
14093,"has identifier for expression",rdae:identifierForExpression.en,"Relates an expression to an appellation of expression that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an expression.",,,,"identifier for expression","An appellation of expression that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an expression.",rdae:P20002,property,identifierForExpression,rdac:C10006,,rdau:P60052,rdae:P20311,rdax:P00018,,,Published,6.13,3,
14094,"has other distinguishing characteristic of expression (Deprecated)",rdae:otherDistinguishingCharacteristicOfExpression.en,"Relates an expression to a characteristic, other than content type, language of expression, or date of expression, that serves to differentiate an expression from another expression of the same work. (Deprecated)",,,,"other distinguishing characteristic of expression (Deprecated)","A characteristic, other than content type, language of expression, or date of expression, that serves to differentiate an expression from another expression of the same work. (Deprecated)",rdae:P20003,property,otherDistinguishingCharacteristicOfExpression,rdac:C10006,,rdau:P60054,,,,,Deprecated,6.12,6,
14095,"has date of capture",rdae:dateOfCapture.en,"Relates an expression to a timespan that is associated with the recording, filming, etc., of an expression.",,,,"date of capture","A timespan that is associated with the recording, filming, etc., of an expression.",rdae:P20004,property,dateOfCapture,rdac:C10006,,rdau:P60074,rdae:P20214,rdae:P20217,,,Published,7.11.3,3,
14096,"has award",rdae:award.en,"Relates an expression to a formal recognition of excellence, etc., given by an award- or prize-granting body, for the content of an expression.",,,,award,"A formal recognition of excellence, etc., given by an award- or prize-granting body, for the content of an expression.",rdae:P20005,property,award,rdac:C10006,,rdau:P60090,,,,,Published,7.28,6,
14097,"has language of expression",rdae:languageOfExpression.en,"Relates an expression to a language used for the content of an expression.",,"language of content",,"language of expression","A language used for the content of an expression.",rdae:P20006,property,languageOfExpression,rdac:C10006,,rdau:P60099,,,,,Published,6.11,5,
14098,"has language of content (Deprecated)",rdae:languageOfContent.en,"Relates an expression to a language used to express the content of an expression. (Deprecated)",,,,"language of content (Deprecated)","A language used to express the content of an expression. (Deprecated)",rdae:P20007,property,languageOfContent,rdac:C10006,,rdau:P60099,,,,,Deprecated,7.12,6,
14099,"has artistic and/or technical credit (Deprecated)",rdae:artisticAndOrTechnicalCredit.en,"Relates an expression to a statement of persons, families, or corporate bodies making contributions to the artistic and/or technical production of a resource. (Deprecated)",,,,"artistic and/or technical credit","A statement of persons, families, or corporate bodies making contributions to the artistic and/or technical production of a resource.",rdae:P20008,property,artisticAndOrTechnicalCredit,rdac:C10006,,rdau:P60105,,,,,Deprecated,7.24,,
14100,"is adapted as motion picture expression",rdae:adaptedAsMotionPictureExpression.en,"Relates an expression to a motion picture based on a source expression.",,,,"adapted as motion picture expression","A motion picture based on a source expression.",rdae:P20009,property,adaptedAsMotionPictureExpression,rdac:C10006,,rdau:P60110,rdae:P20153,,,,Published,24.5,2,
14101,"has note on changes in content characteristics",rdae:noteOnChangesInContentCharacteristics.en,"Relates an expression to a note on expression that provides information on variations in the content characteristics of expressions of parts, issues, or iterations of a diachronic work.",,,,"note on changes in content characteristics","A note on expression that provides information on variations in the content characteristics of expressions of parts, issues, or iterations of a diachronic work.",rdae:P20010,property,noteOnChangesInContentCharacteristics,rdac:C10006,,rdau:P60123,rdae:P20071,,,,Published,7.29.2,6,
14102,"has conductor agent",rdae:conductorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression of a musical work by leading a performing group in a musical or dramatic presentation, etc.",,conductor,,"conductor agent","An agent who is a performer who contributes to an expression of a musical work by leading a performing group in a musical or dramatic presentation, etc.",rdae:P20011,property,conductorAgent,rdac:C10006,,rdau:P60141,rdae:P20039,,,,Published,18.5,2,
14103,"has actor agent",rdae:actorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by acting as a cast member or player in a musical or dramatic presentation, etc.",,actor,,"actor agent","An agent who is a performer who contributes to an expression by acting as a cast member or player in a musical or dramatic presentation, etc.",rdae:P20012,property,actorAgent,rdac:C10006,,rdau:P60142,rdae:P20039,,,,Published,18.5,2,
14104,"has onscreen presenter agent",rdae:onscreenPresenterAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by appearing on screen to provide contextual or background information.","Appearance in nonfiction moving image materials or in introductions to fiction moving image materials is included. Appearance on screen in a non-performing role is excluded.","on-screen presenter",,"onscreen presenter agent","An agent who is a performer who contributes to an expression by appearing on screen to provide contextual or background information.",rdae:P20013,property,onscreenPresenterAgent,rdac:C10006,,rdau:P60143,rdae:P20039,,,,Published,18.5,2,rdae:P20279
14105,"has dancer agent",rdae:dancerAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by dancing in a musical, dramatic, etc., presentation.",,dancer,,"dancer agent","An agent who is a performer who contributes to an expression by dancing in a musical, dramatic, etc., presentation.",rdae:P20014,property,dancerAgent,rdac:C10006,,rdau:P60144,rdae:P20039,,,,Published,18.5,2,
14106,"has instructor agent",rdae:instructorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by teaching or providing a demonstration.",,instructor,,"instructor agent","An agent who is a performer who contributes to an expression by teaching or providing a demonstration.",rdae:P20015,property,instructorAgent,rdac:C10006,,rdau:P60145,rdae:P20039,,,,Published,18.5,2,
14107,"has host agent",rdae:hostAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by leading a program, often broadcast, that includes other guests, performers, etc.",,host,,"host agent","An agent who is a performer who contributes to an expression by leading a program, often broadcast, that includes other guests, performers, etc.",rdae:P20016,property,hostAgent,rdac:C10006,,rdau:P60146,rdae:P20039,,,,Published,18.5,2,
14108,"has moderator agent",rdae:moderatorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,moderator,,"moderator agent","An agent who is a performer who contributes to an expression by leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",rdae:P20017,property,moderatorAgent,rdac:C10006,,rdau:P60147,rdae:P20039,,,,Published,18.5,2,
14109,"has puppeteer agent",rdae:puppeteerAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",,puppeteer,,"puppeteer agent","An agent who is a performer who contributes to an expression by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",rdae:P20018,property,puppeteerAgent,rdac:C10006,,rdau:P60148,rdae:P20039,,,,Published,18.5,2,
14110,"has panelist agent",rdae:panelistAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,panelist,,"panelist agent","An agent who is a performer who contributes to an expression by participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",rdae:P20019,property,panelistAgent,rdac:C10006,,rdau:P60149,rdae:P20039,,,,Published,18.5,2,
14111,"has instrumentalist agent",rdae:instrumentalistAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by playing a musical instrument.",,instrumentalist,,"instrumentalist agent","An agent who is a performer who contributes to an expression by playing a musical instrument.",rdae:P20020,property,instrumentalistAgent,rdac:C10006,,rdau:P60150,rdae:P20039,,,,Published,18.5,2,
14112,"has commentator agent",rdae:commentatorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,commentator,,"commentator agent","An agent who is a performer who contributes to an expression by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdae:P20021,property,commentatorAgent,rdac:C10006,,rdau:P60151,rdae:P20039,,,,Published,18.5,2,
14113,"has narrator agent",rdae:narratorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by reading aloud or giving an account of an act, occurrence, course of events, etc.",,narrator,,"narrator agent","An agent who is a performer who contributes to an expression by reading aloud or giving an account of an act, occurrence, course of events, etc.",rdae:P20022,property,narratorAgent,rdac:C10006,,rdau:P60153,rdae:P20039,,,,Published,18.5,2,
14114,"has storyteller agent",rdae:storytellerAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by relaying a creator's original story with dramatic or theatrical interpretation.",,storyteller,,"storyteller agent","An agent who is a performer who contributes to an expression by relaying a creator's original story with dramatic or theatrical interpretation.",rdae:P20023,property,storytellerAgent,rdac:C10006,,rdau:P60154,rdae:P20039,,,,Published,18.5,2,
14115,"has speaker agent",rdae:speakerAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by speaking words, such as a lecture, speech, etc.",,speaker,,"speaker agent","An agent who is a performer who contributes to an expression by speaking words, such as a lecture, speech, etc.",rdae:P20024,property,speakerAgent,rdac:C10006,,rdau:P60155,rdae:P20039,,,,Published,18.5,2,
14116,"has singer agent",rdae:singerAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by using their voice, with or without instrumental accompaniment, to produce music.","A performance of a singer may or may not include actual words.",singer,,"singer agent","An agent who is a performer who contributes to an expression by using their voice, with or without instrumental accompaniment, to produce music.",rdae:P20025,property,singerAgent,rdac:C10006,,rdau:P60156,rdae:P20039,,,,Published,18.5,2,
14117,"has composer of expression (Deprecated)",rdae:composerOfExpression.en,"Relates an expression to an agent who contributes to an expression by adding music to a work that originally lacked it, by composing new music to substitute for original music, or by composing new music to supplement existing music. (Deprecated)",,,,"composer of expression (Deprecated)","An agent who contributes to an expression by adding music to a work that originally lacked it, by composing new music to substitute for original music, or by composing new music to supplement existing music. (Deprecated)",rdae:P20026,property,composerOfExpression,rdac:C10006,,rdau:P60426,rdae:P20331,,,,Deprecated,18.5,2,
14118,"has surveyor (Deprecated)",rdae:surveyor.en,"Relates an expression to an agent who contributes to an expression of a cartographic work by providing measurements or dimensional relationships for a geographic area represented. (Deprecated)",,,,"surveyor (Deprecated)","An agent who contributes to an expression of a cartographic work by providing measurements or dimensional relationships for a geographic area represented. (Deprecated)",rdae:P20027,property,surveyor,rdac:C10006,,rdau:P60377,rdae:P20331,,,,Deprecated,18.5,2,
14119,"has animator agent",rdae:animatorAgent.en,"Relates an expression to an agent who contributes to an expression by giving apparent movement to inanimate objects or drawings.","Creation of the drawings that are animated is excluded.",animator,,"animator agent","An agent who contributes to an expression by giving apparent movement to inanimate objects or drawings.",rdae:P20028,property,animatorAgent,rdac:C10006,,rdau:P60378,rdae:P20329,,,,Published,18.5,2,rdaw:P10058
14120,"has arranger agent of music",rdae:arrangerAgentOfMusic.en,"Relates an expression to an agent who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.","Contribution includes modification of a work for the same medium of performance, etc., that keeps the musical substance of the original composition essentially unchanged, and excludes substantial modification that results in the creation of a new musical work.","arranger of music",,"arranger agent of music","An agent who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.",rdae:P20029,property,arrangerAgentOfMusic,rdac:C10006,,rdau:P60379,rdae:P20327,,,,Published,18.5,2,rdaw:P10053
14121,"has writer of added text (Deprecated)",rdae:writerOfAddedText.en,"Relates an expression to an agent who contributes to an expression of a primarily non-textual work by providing text, such as writing captions for photographs or descriptions of maps. (Deprecated)",,,,"writer of added text (Deprecated)","An agent who contributes to an expression of a primarily non-textual work by providing text, such as writing captions for photographs or descriptions of maps. (Deprecated)",rdae:P20030,property,writerOfAddedText,rdac:C10006,,rdau:P60380,rdae:P20046,,,,Deprecated,18.5,2,
