reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type"
14336,"has identifier for item",rdai:identifierForItem.en,"Relates an item to an appellation of item that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an item.",,,"identifier for item","An appellation of item that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an item.",rdai:P40001,property,identifierForItem,rdac:C10003,,rdau:P60052,rdai:P40081,rdax:P00018,,,Published,2.20,3
14337,"has item-specific carrier characteristic of early printed resource (Deprecated)",rdai:itemSpecificCarrierCharacteristicOfEarlyPrintedResource.en,"Relates an item to a characteristic that applies to the carrier or carriers of the specific early printed item being described and is assumed not to apply to other items exemplifying the same manifestation. includes rubrication, illumination, and other hand colouring, manuscript additions, and binding. (Deprecated)",,,,,rdai:P40002,property,itemSpecificCarrierCharacteristicOfEarlyPrintedResource,rdac:C10003,,,,,,,Deprecated,,
14338,"has modification of item",rdai:modificationOfItem.en,"Relates an item to a modification that is specific to an item and is assumed not to apply to other items exemplifying the same manifestation.",,"note on item-specific carrier characteristic","modification of item","A modification that is specific to an item and is assumed not to apply to other items exemplifying the same manifestation.",rdai:P40003,property,modificationOfItem,rdac:C10003,,rdau:P60056,,,,,Published,3.22,6
14339,"has collector agent",rdai:collectorAgent.en,"Relates an item to an agent who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",,collector,"collector agent","An agent who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",rdai:P40004,property,collectorAgent,rdac:C10003,,rdau:P60066,rdai:P40017,,,,Published,18.5,2
14340,"has collection registrar agent",rdai:collectionRegistrarAgent.en,"Relates an item to an agent who is a curator who lists or inventories items in a collection aggregate.",,"collection registrar","collection registrar agent","An agent who is a curator who lists or inventories items in a collection aggregate.",rdai:P40005,property,collectionRegistrarAgent,rdac:C10003,,rdau:P60067,rdai:P40017,,,,Published,18.5,2
14341,"has depositor agent",rdai:depositorAgent.en,"Relates an item to an agent who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.",,depositor,"depositor agent","An agent who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.",rdai:P40006,property,depositorAgent,rdac:C10003,,rdau:P60068,rdai:P40018,,,,Published,18.5,2
14342,"has donor agent",rdai:donorAgent.en,"Relates an item to an agent who is a former owner of an item who donated the item to another owner.",,donor,"donor agent","An agent who is a former owner of an item who donated the item to another owner.",rdai:P40007,property,donorAgent,rdac:C10003,,rdau:P60091,rdai:P40019,,,,Published,18.5,2
14343,"has seller agent",rdai:sellerAgent.en,"Relates an item to an agent who is a former owner of an item who sold the item to another owner.",,seller,"seller agent","An agent who is a former owner of an item who sold the item to another owner.",rdai:P40008,property,sellerAgent,rdac:C10003,,rdau:P60092,rdai:P40019,,,,Published,18.5,2
14344,"is contained in item",rdai:containedInItem.en,"Relates an item to a larger item of which an item is a discrete component.",,,"contained in item","A larger item of which an item is a discrete component.",rdai:P40009,property,containedInItem,rdac:C10003,,rdau:P60101,rdai:P40046,,,,Published,24.5,2
14345,"has note on dimensions of item",rdai:noteOnDimensionsOfItem.en,"Relates an item to a note on item that provides information on the dimensions of an item.",,,"note on dimensions of item","A note on item that provides information on the dimensions of an item.",rdai:P40010,property,noteOnDimensionsOfItem,rdac:C10003,,rdau:P60133,rdai:P40003,,,,Published,3.22.3,6
14346,"has note on extent of item",rdai:noteOnExtentOfItem.en,"Relates an item to a note on item that provides information on the extent of an item.",,,"note on extent of item","A note on item that provides information on the extent of an item.",rdai:P40011,property,noteOnExtentOfItem,rdac:C10003,,rdau:P60134,rdai:P40003,,,,Published,3.22.2,6
14347,"has illuminator agent",rdai:illuminatorAgent.en,"Relates an item to an agent who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,illuminator,"illuminator agent","An agent who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40012,property,illuminatorAgent,rdac:C10003,,rdau:P60421,rdai:P40093,,,,Published,18.5,2
14348,"has binder agent",rdai:binderAgent.en,"Relates an item to an agent who binds an item.",,binder,"binder agent","An agent who binds an item.",rdai:P40013,property,binderAgent,rdac:C10003,,rdau:P60458,rdai:P40093,,,,Published,18.5,2
14349,"has inscriber",rdai:inscriber.en,"Relates an item to a person who writes a statement of dedication or gift on an item.",,,inscriber,"A person who writes a statement of dedication or gift on an item.",rdai:P40014,property,inscriber,rdac:C10003,,rdau:P60460,rdai:P40112,,,,Published,18.5,2
14350,"has annotator",rdai:annotator.en,"Relates an item to a person who adds notes and other information to an item by hand.",,,annotator,"A person who adds notes and other information to an item by hand.",rdai:P40015,property,annotator,rdac:C10003,,rdau:P60464,rdai:P40112,,,,Published,18.5,2
14351,"has autographer",rdai:autographer.en,"Relates an item to a person whose manuscript signature appears on an item.",,,autographer,"A person whose manuscript signature appears on an item.",rdai:P40016,property,autographer,rdac:C10003,,rdau:P60466,rdai:P40112,,,,Published,18.5,2
14352,"has curator agent",rdai:curatorAgent.en,"Relates an item to an agent who conceives or manages the aggregation of an item in an exhibition or collection.",,curator,"curator agent","An agent who conceives or manages the aggregation of an item in an exhibition or collection.",rdai:P40017,property,curatorAgent,rdac:C10003,,rdau:P60376,rdai:P40072,,,,Published,18.5,2
14353,"has current owner agent",rdai:currentOwnerAgent.en,"Relates an item to an agent who has current legal possession of an item.",,"current owner","current owner agent","An agent who has current legal possession of an item.",rdai:P40018,property,currentOwnerAgent,rdac:C10003,,rdau:P60400,rdai:P40021,,,,Published,18.5,2
14354,"has former owner agent",rdai:formerOwnerAgent.en,"Relates an item to an agent who has former legal possession of an item.",,"former owner","former owner agent","An agent who has former legal possession of an item.",rdai:P40019,property,formerOwnerAgent,rdac:C10003,,rdau:P60401,rdai:P40021,,,,Published,18.5,2
14355,"has custodian agent",rdai:custodianAgent.en,"Relates an item to an agent who has legal custody of an item.",,custodian,"custodian agent","An agent who has legal custody of an item.",rdai:P40020,property,custodianAgent,rdac:C10003,,rdau:P60402,rdai:P40072,,,,Published,22.3,2
14356,"has owner agent",rdai:ownerAgent.en,"Relates an item to an agent who has legal possession of an item.",,owner,"owner agent","An agent who has legal possession of an item.",rdai:P40021,property,ownerAgent,rdac:C10003,,rdau:P60404,rdai:P40072,,,,Published,22.2,2
14357,"has honouree agent of item",rdai:honoureeAgentOfItem.en,"Relates an item to an agent who is honoured by an item.",,"honoree of item","honouree agent of item","An agent who is honoured by an item.",rdai:P40022,property,honoureeAgentOfItem,rdac:C10003,,rdau:P60406,rdai:P40072,,,,Published,18.5,2
14358,"has other agent associated with item (Deprecated)",rdai:otherAgentItem.en,"Relates an item to an agent other than an owner or custodian who is associated with an item. (Deprecated)","Curators, binders, restorationists, etc., are included. (Deprecated)",,"other agent associated with item (Deprecated)","An agent other than an owner or custodian who is associated with an item. (Deprecated)",rdai:P40023,property,otherAgentItem,rdac:C10003,,rdau:P60374,rdai:P40072,,,,Deprecated,22.4,3
14359,"has restorationist agent of item",rdai:restorationistAgentOfItem.en,"Relates an item to an agent who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",,"restorationist of item","restorationist agent of item","An agent who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",rdai:P40024,property,restorationistAgentOfItem,rdac:C10003,,rdau:P60450,rdai:P40093,,,,Published,18.5,2
14360,"has dedicatee agent of item",rdai:dedicateeAgentOfItem.en,"Relates an item to an agent to whom an item is dedicated.",,"dedicatee of item","dedicatee agent of item","An agent to whom an item is dedicated.",rdai:P40025,property,dedicateeAgentOfItem,rdac:C10003,,rdau:P60455,rdai:P40072,,,,Published,18.5,2
14361,"has custodial history of item",rdai:custodialHistoryOfItem.en,"Relates an item to a record of previous ownership or custodianship of an item, including agent, place, and timespan.",,,"custodial history of item","A record of previous ownership or custodianship of an item, including agent, place, and timespan.",rdai:P40026,property,custodialHistoryOfItem,rdac:C10003,,rdau:P60176,,,,,Published,2.18,6
14362,"is electronic reproduction of (item) (Deprecated)",,"Relates an item to an item in an analog format that is transferred to a digital format. (Deprecated)",,,"electronic reproduction of (item) (Deprecated)","An item in an analog format that is transferred to a digital format. (Deprecated)",rdai:P40027,property,electronicReproductionOfItemDeprecated,rdac:C10003,,rdau:P60469,rdai:P40042,,,,Deprecated,24.5,
14363,"has note on item",rdai:noteOnItem.en,"Relates an item to a broad unstructured description of one or more attributes of an item.",,,"note on item","A broad unstructured description of one or more attributes of an item.",rdai:P40028,property,noteOnItem,rdac:C10003,,rdau:P60470,rdax:P00015,,,,Published,2.21,6
14364,"is accompanied by item",rdai:accompaniedByItem.en,"Relates an item to an item that is brought together with another item after being issued.",,,"accompanied by item","An item that is brought together with another item after being issued.",rdai:P40029,property,accompaniedByItem,rdac:C10003,,rdau:P60196,rdai:P40046,,,,Published,24.5,2
