reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type"
14390,"has carrier type",rdam:carrierType.en,"Relates a manifestation to a categorization reflecting the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, etc., the content of a manifestation.",,"type of carrier","category of carrier",,,,,,,,"carrier type","A categorization reflecting the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, etc., the content of a manifestation.",rdam:P30001,property,carrierType,rdac:C10007,,rdau:P60048,,,,,Published,3.3,4
14391,"has media type",rdam:mediaType.en,"Relates a manifestation to a categorization reflecting the general type of intermediation device required to view, play, run, etc., the content of a manifestation.",,,,,,,,,,,"media type","A categorization reflecting the general type of intermediation device required to view, play, run, etc., the content of a manifestation.",rdam:P30002,property,mediaType,rdac:C10007,,rdau:P60050,,,,,Published,3.2,4
14392,"has mode of issuance",rdam:modeOfIssuance.en,"Relates a manifestation to a categorization reflecting whether a manifestation is issued in one or more units.",,,,,,,,,,,"mode of issuance","A categorization reflecting whether a manifestation is issued in one or more units.",rdam:P30003,property,modeOfIssuance,rdac:C10007,,rdau:P60051,,,,,Published,2.13,4
14393,"has identifier for manifestation",rdam:identifierForManifestation.en,"Relates a manifestation to an appellation of manifestation that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a manifestation.","An identifier for the manifestation includes registered identifiers from internationally recognized schemes, other identifiers assigned by publishers and others following internally devised schemes, identifiers known as fingerprints constructed by combining groups of characters from specified pages of early printed resources, publisher's numbers for notated music, and plate numbers for notated music.",,,,,,,,,,"identifier for manifestation","An appellation of manifestation that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a manifestation.",rdam:P30004,property,identifierForManifestation,rdac:C10007,,rdau:P60052,rdam:P30277,rdax:P00018,,,Published,2.15,3
14394,"has preferred citation",rdam:preferredCitation.en,"Relates a manifestation to a citation for a manifestation in the form preferred by a creator, publisher, custodian, indexing or abstracting service, etc.",,,,,,,,,,,"preferred citation","A citation for a manifestation in the form preferred by a creator, publisher, custodian, indexing or abstracting service, etc.",rdam:P30005,property,preferredCitation,rdac:C10007,,rdau:P60057,,,,,Published,2.16,6
14395,"has regional encoding",rdam:regionalEncoding.en,"Relates a manifestation to a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",,,,,,,,,,,"regional encoding","A designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",rdam:P30006,property,regionalEncoding,rdac:C10007,,rdau:P60059,rdam:P30124,,,,Published,3.19.6,4
14396,"has copyright date",rdam:copyrightDate.en,"Relates a manifestation to a timespan associated with a claim of protection under copyright or a similar regime.","A copyright date includes a phonogram date associated with a claim of protection for an audio recording.",,,,,,,,,,"copyright date","A timespan associated with a claim of protection under copyright or a similar regime.",rdam:P30007,property,copyrightDate,rdac:C10007,,rdau:P60069,rdam:P30278,,,,Published,2.11,3
14397,"has date of distribution",rdam:dateOfDistribution.en,"Relates a manifestation to a timespan during which a published manifestation is distributed.",,,,,,,,,,,"date of distribution","A timespan during which a published manifestation is distributed.",rdam:P30008,property,dateOfDistribution,rdac:C10007,,rdau:P60070,rdam:P30278,,,,Published,2.9.6,3
14398,"has date of production",rdam:dateOfProduction.en,"Relates a manifestation to a timespan associated with the inscription, fabrication, construction, etc., of an unpublished manifestation.",,,,,,,,,,,"date of production","A timespan associated with the inscription, fabrication, construction, etc., of an unpublished manifestation.",rdam:P30009,property,dateOfProduction,rdac:C10007,,rdau:P60071,rdam:P30278,,,,Published,2.7.6,3
14399,"has date of manufacture",rdam:dateOfManufacture.en,"Relates a manifestation to a timespan associated with the printing, duplicating, casting, etc., of a published manifestation.",,,,,,,,,,,"date of manufacture","A timespan associated with the printing, duplicating, casting, etc., of a published manifestation.",rdam:P30010,property,dateOfManufacture,rdac:C10007,,rdau:P60072,rdam:P30278,,,,Published,2.10.6,3
14400,"has date of publication",rdam:dateOfPublication.en,"Relates a manifestation to a timespan during which a published manifestation is published, released, or issued.",,,,,,,,,,,"date of publication","A timespan during which a published manifestation is published, released, or issued.",rdam:P30011,property,dateOfPublication,rdac:C10007,,rdau:P60073,rdam:P30278,,,,Published,2.8.6,3
14401,"has parallel designation of named revision of edition",rdam:parallelDesignationOfNamedRevisionOfEdition.en,"Relates a manifestation to a designation of a named revision of an edition in another language or script.",,,,,,,,,,,"parallel designation of named revision of edition","A designation of a named revision of an edition in another language or script.",rdam:P30012,property,parallelDesignationOfNamedRevisionOfEdition,rdac:C10007,,rdau:P60077,rdam:P30132,,,,Published,2.5.7,6
14402,"has parallel designation of edition",rdam:parallelDesignationOfEdition.en,"Relates a manifestation to a designation of edition in another language or script.",,,,,,,,,,,"parallel designation of edition","A designation of edition in another language or script.",rdam:P30013,property,parallelDesignationOfEdition,rdac:C10007,,rdau:P60078,rdam:P30133,,,,Published,2.5.3,6
14403,"has numbering within sequence",rdam:numberingWithinSequence.en,"Relates a manifestation to a designation that is assigned to a manifestation to identify its position in a sequence of individual parts of a larger manifestation or parts or issues of a larger work.","Numbering may include dates or other timespans, alphanumeric or other characters, and an accompanying caption.","numbering within series","numbering within subseries",,,,,,,,"numbering within sequence","A designation that is assigned to a manifestation to identify its position in a sequence of individual parts of a larger manifestation or parts or issues of a larger work.",rdam:P30014,property,numberingWithinSequence,rdac:C10007,,rdau:P60081,,,,,Published,2.12.9,6
14405,"has electronic reproduction of manifestation",rdam:electronicReproductionOfManifestation.en,"Relates a manifestation to a manifestation in a digital format that is the result of the transfer of a manifestation in an analog format.",,,,,,,,,,,"electronic reproduction of manifestation","A manifestation in a digital format that is the result of the transfer of a manifestation in an analog format.",rdam:P30016,property,electronicReproductionOfManifestation,rdac:C10007,,rdau:P60083,rdam:P30039,,,,Published,24.5,2
14406,"has parallel name of distributor",rdam:parallelNameOfDistributor.en,"Relates a manifestation to a name of distributor in another language or script.",,,,,,,,,,,"parallel name of distributor","A name of distributor in another language or script.",rdam:P30017,property,parallelNameOfDistributor,rdac:C10007,,rdau:P60087,rdam:P30173,,,,Published,2.9.5,3
