reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subClassOf[0],subPropertyOf[0],subPropertyOf[1],*status,"has element type"
25567,"has related work of nomen",rdan:relatedWorkOfNomen.en,"Relates a nomen to a work that is associated with a nomen.",,,"related work of nomen","A work that is associated with a nomen.",rdan:P80001,property,relatedWorkOfNomen,rdac:C10012,,rdau:P61030,,rdan:P80010,rdax:P00002,Published,1
25568,"has related expression of nomen",rdan:relatedExpressionOfNomen.en,"Relates a nomen to an expression that is associated with a nomen.",,,"related expression of nomen","An expression that is associated with a nomen.",rdan:P80002,property,relatedExpressionOfNomen,rdac:C10012,,rdau:P61030,,rdan:P80010,rdax:P00003,Published,1
25569,"has related manifestation of nomen",rdan:relatedManifestationOfNomen.en,"Relates a nomen to a manifestation that is associated with a nomen.",,,"related manifestation of nomen","A manifestation that is associated with a nomen.",rdan:P80003,property,relatedManifestationOfNomen,rdac:C10012,,rdau:P61030,,rdan:P80010,rdax:P00004,Published,1
25570,"has related item of nomen",rdan:relatedItemOfNomen.en,"Relates a nomen to an item that is associated with a nomen.",,,"related item of nomen","An item that is associated with a nomen.",rdan:P80004,property,relatedItemOfNomen,rdac:C10012,,rdau:P61030,,rdan:P80010,rdax:P00005,Published,1
25571,"has related agent of nomen",rdan:relatedAgentOfNomen.en,"Relates a nomen to an agent who is associated with a nomen.",,,"related agent of nomen","An agent who is associated with a nomen.",rdan:P80005,property,relatedAgentOfNomen,rdac:C10012,,rdau:P61027,,rdan:P80010,rdax:P00006,Published,1
25572,"has related collective agent of nomen",rdan:relatedCollectiveAgentOfNomen.en,"Relates a nomen to a collective agent who is associated with a nomen.",,,"related collective agent of nomen","A collective agent who is associated with a nomen.",rdan:P80006,property,relatedCollectiveAgentOfNomen,rdac:C10012,,rdau:P61027,,rdan:P80005,rdax:P00012,Published,1
25573,"has related place of nomen",rdan:relatedPlaceOfNomen.en,"Relates a nomen to a place associated with a nomen.",,,"related place of nomen","A place that is associated with a nomen.",rdan:P80007,property,relatedPlaceOfNomen,rdac:C10012,,rdau:P61028,,rdan:P80010,rdax:P00010,Published,1
25574,"has related timespan of nomen",rdan:relatedTimespanOfNomen.en,"Relates a nomen to a timespan that is associated with a nomen.",,,"related timespan of nomen","A timespan that is associated with a nomen.",rdan:P80008,property,relatedTimespanOfNomen,rdac:C10012,,rdau:P61029,,rdan:P80010,rdax:P00011,Published,1
25575,"has related nomen of nomen",rdan:relatedNomenOfNomen.en,"Relates a nomen to a nomen that is associated with a nomen.",,,"related nomen of nomen","A nomen that is associated with a nomen.",rdan:P80009,property,relatedNomenOfNomen,rdac:C10012,,rdau:P61026,,rdan:P80010,rdax:P00013,Published,1
25576,"has related RDA entity of nomen",rdan:relatedRDAEntityOfNomen.en,"Relates a nomen to an RDA entity that is associated with a nomen.",,,"related RDA entity of nomen","An RDA entity that is associated with a nomen.",rdan:P80010,property,relatedRDAEntityOfNomen,rdac:C10012,,rdau:P61037,,rdan:P80174,rdax:P00001,Published,1
