reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,"has element type"
22988,"has name of place",rdap:nameOfPlace.en,"Relates a place to an appellation of place in natural language and phrasing used in common discourse.",,,"name of place","An appellation of place in natural language and phrasing used in common discourse.",rdap:P70001,property,nameOfPlace,rdac:C10009,rdau:P60366,rdap:P70019,rdax:P00019,Published,16.2,3
22990,"has preferred name of place",rdap:preferredNameOfPlace.en,"Relates a place to a name of place that is selected for preference in a specific application or context.",,,"preferred name of place","A name of place that is selected for preference in a specific application or context.",rdap:P70002,property,preferredNameOfPlace,rdac:C10009,rdau:P60548,rdap:P70001,rdax:P00021,Published,16.2.2,3
22991,"has variant name of place",rdap:variantNameOfPlace.en,"Relates a place to a name of place that is not selected for preference in a specific application or context.","Variant name for place includes a name found in reference sources, or a name resulting from a different transliteration of a name, etc.",,"variant name of place","A name of place that is not selected for preference in a specific application or context.",rdap:P70003,property,variantNameOfPlace,rdac:C10009,rdau:P60880,rdap:P70001,rdax:P00023,Published,16.2.3,3
25523,"has related work of place",rdap:relatedWorkOfPlace.en,"Relates a place to a work that is associated with a place.",,,"related work of place","A work that is associated with a place.",rdap:P70004,property,relatedWorkOfPlace,rdac:C10009,rdau:P61013,rdap:P70013,rdax:P00002,Published,,1
25524,"has related expression of place",rdap:relatedExpressionOfPlace.en,"Relates a place to an expression that is associated with a place.",,,"related expression of place","An expression that is associated with a place.",rdap:P70005,property,relatedExpressionOfPlace,rdac:C10009,rdau:P61013,rdap:P70013,rdax:P00003,Published,,1
25525,"has related manifestation of place",rdap:relatedManifestationOfPlace.en,"Relates a place to a manifestation that is associated with a place.",,,"related manifestation of place","A manifestation that is associated with a place.",rdap:P70006,property,relatedManifestationOfPlace,rdac:C10009,rdau:P61013,rdap:P70013,rdax:P00004,Published,,1
25526,"has related item of place",rdap:relatedItemOfPlace.en,"Relates a place to an item that is associated with a place.",,,"related item of place","An item that is associated with a place.",rdap:P70007,property,relatedItemOfPlace,rdac:C10009,rdau:P61013,rdap:P70013,rdax:P00005,Published,,1
25527,"has related agent of place",rdap:relatedAgentOfPlace.en,"Relates a place to an agent who is associated with a place.",,,"related agent of place","An agent who is associated with a place.",rdap:P70008,property,relatedAgentOfPlace,rdac:C10009,rdau:P61011,rdap:P70013,rdax:P00006,Published,,1
25528,"has related collective agent of place",rdap:relatedCollectiveAgentOfPlace.en,"Relates a place to a collective agent who is associated with a place.",,,"related collective agent of place","A collective agent who is associated with a place.",rdap:P70009,property,relatedCollectiveAgentOfPlace,rdac:C10009,rdau:P61011,rdap:P70008,rdax:P00012,Published,,1
25529,"has related place of place",rdap:relatedPlaceOfPlace.en,"Relates a place to a place that is associated with a place.",,,"related place of place","A place that is associated with a place.",rdap:P70010,property,relatedPlaceOfPlace,rdac:C10009,rdau:P61016,rdap:P70013,rdax:P00010,Published,,1
