*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
is abridger agent of,rdaa:abridgerAgentOf.en,Relates an agent to an expression that includes a contribution by an agent of shortening an expression of another work without changing the general meaning or manner of presentation.,,abridger of,,,,,,,,,abridger agent of,An expression that includes a contribution by an agent of shortening an expression of another work without changing the general meaning or manner of presentation.,rdaa:P50157,property,rdac:C10002,rdaa:P50447,,Published,18.5,2,rdaa:P50195
is abridger collective agent of,rdaa:abridgerCollectiveAgentOf.en,Relates a collective agent to an expression that includes a contribution by a collective agent of shortening an expression of another work without changing the general meaning or manner of presentation.,,,,,,,,,,,abridger collective agent of,An expression that includes a contribution by a collective agent of shortening an expression of another work without changing the general meaning or manner of presentation.,rdaa:P50766,property,rdac:C10011,rdaa:P50744,rdaa:P50157,Published,,2,
is abridger corporate body of,rdaa:abridgerCorporateBodyOf.en,Relates a corporate body to an expression that includes a contribution by a corporate body of shortening an expression of another work without changing the general meaning or manner of presentation.,,,,,,,,,,,abridger corporate body of,An expression that includes a contribution by a corporate body of shortening an expression of another work without changing the general meaning or manner of presentation.,rdaa:P50917,property,rdac:C10005,rdaa:P50895,rdaa:P50766,Published,,2,
is abridger family of,rdaa:abridgerFamilyOf.en,Relates a family to an expression that includes a contribution by a family of shortening an expression of another work without changing the general meaning or manner of presentation.,,,,,,,,,,,abridger family of,An expression that includes a contribution by a family of shortening an expression of another work without changing the general meaning or manner of presentation.,rdaa:P51068,property,rdac:C10008,rdaa:P51046,rdaa:P50766,Published,,2,
is abridger person of,rdaa:abridgerPersonOf.en,Relates a person to an expression that includes a contribution by a person of shortening an expression of another work without changing the general meaning or manner of presentation.,,,,,,,,,,,abridger person of,An expression that includes a contribution by a person of shortening an expression of another work without changing the general meaning or manner of presentation.,rdaa:P50615,property,rdac:C10004,rdaa:P50593,rdaa:P50157,Published,,2,
has absorbed corporate body,rdaa:absorbedCorporateBody.en,Relates a corporate body to a corporate body who was absorbed by another corporate body.,,,,,,,,,,,absorbed corporate body,A corporate body who was absorbed by another corporate body.,rdaa:P50301,property,rdac:C10005,rdaa:P50336,,Published,29.5,2,
has absorbing corporate body,rdaa:absorbingCorporateBody.en,Relates a corporate body to a corporate body who absorbed another corporate body.,,,,,,,,,,,absorbing corporate body,A corporate body who absorbed another corporate body.,rdaa:P50302,property,rdac:C10005,rdaa:P50336,,Published,29.5,2,
is academic supervisor of,rdaa:academicSupervisorOf.en,"Relates a person to a work that involves a responsibility for overseeing academic activity of any kind that results in a work, including theses, research, and projects.",,,,,,,,,,,academic supervisor of,"A work that involves a responsibility for overseeing academic activity of any kind that results in a work, including theses, research, and projects.",rdaa:P50458,property,rdac:C10004,rdaa:P50311,,Published,,2,
has access point for agent,rdaa:accessPointForAgent.en,Relates an agent to a nomen that is an appellation of agent in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,,,,,,,,,access point for agent,A nomen that is an appellation of agent in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdaa:P50373,property,rdac:C10002,rdaa:P50378,rdax:P00016,Published,,3,
has access point for collective agent,rdaa:accessPointForCollectiveAgent.en,Relates a collective agent to a nomen that is an appellation of collective agent in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,,,,,,,,,access point for collective agent,A nomen that is an appellation of collective agent in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdaa:P50374,property,rdac:C10011,rdaa:P50379,rdaa:P50373,Published,,3,
