*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has absorbed corporate body,rdaad:absorbedCorporateBody.en,rdaad:P50301,property,rdac:C10005,rdaa:P50301,rdaad:P50336,,Published
has absorbing corporate body,rdaad:absorbingCorporateBody.en,rdaad:P50302,property,rdac:C10005,rdaa:P50302,rdaad:P50336,,Published
has access point for agent,rdaad:accessPointForAgent.en,rdaad:P50373,property,rdac:C10002,rdaa:P50373,rdaad:P50378,rdaxd:P00016,Published
has access point for collective agent,rdaad:accessPointForCollectiveAgent.en,rdaad:P50374,property,rdac:C10011,rdaa:P50374,rdaad:P50379,rdaad:P50373,Published
has access point for corporate body,rdaad:accessPointForCorporateBody.en,rdaad:P50375,property,rdac:C10005,rdaa:P50375,rdaad:P50380,rdaad:P50374,Published
has access point for family,rdaad:accessPointForFamily.en,rdaad:P50376,property,rdac:C10008,rdaa:P50376,rdaad:P50381,rdaad:P50374,Published
has access point for person,rdaad:accessPointForPerson.en,rdaad:P50377,property,rdac:C10004,rdaa:P50377,rdaad:P50382,rdaad:P50373,Published
has address of agent,rdaad:addressOfAgent.en,rdaad:P50418,property,rdac:C10002,rdaa:P50418,,,Published
has address of collective agent,rdaad:addressOfCollectiveAgent.en,rdaad:P50419,property,rdac:C10011,rdaa:P50419,rdaad:P50418,,Published
has address of corporate body,rdaad:addressOfCorporateBody.en,rdaad:P50036,property,rdac:C10005,rdaa:P50036,rdaad:P50419,,Published
has address of family,rdaad:addressOfFamily.en,rdaad:P50420,property,rdac:C10008,rdaa:P50420,rdaad:P50419,,Published
has address of person,rdaad:addressOfPerson.en,rdaad:P50114,property,rdac:C10004,rdaa:P50114,rdaad:P50418,,Published
has affiliation (Deprecated),rdaad:affiliation.en,rdaad:P50101,property,rdac:C10004,rdaa:P50101,,,Deprecated
has alternate Identity (Deprecated),rdaad:alternateIdentity.en,rdaad:P50105,property,rdac:C10004,rdaa:P50105,,,Deprecated
has alternate identity of person,rdaad:alternateIdentityOfPerson.en,rdaad:P50428,property,rdac:C10004,rdaa:P50428,rdaad:P50348,,Published
has appellation of agent,rdaad:appellationOfAgent.en,rdaad:P50378,property,rdac:C10002,rdaa:P50378,rdaad:P50340,,Published
has appellation of collective agent,rdaad:appellationOfCollectiveAgent.en,rdaad:P50379,property,rdac:C10011,rdaa:P50379,rdaad:P50344,rdaad:P50378,Published
has appellation of corporate body,rdaad:appellationOfCorporateBody.en,rdaad:P50380,property,rdac:C10005,rdaa:P50380,rdaad:P50352,rdaad:P50379,Published
has appellation of family,rdaad:appellationOfFamily.en,rdaad:P50381,property,rdac:C10008,rdaa:P50381,rdaad:P50356,rdaad:P50379,Published
has appellation of person,rdaad:appellationOfPerson.en,rdaad:P50382,property,rdac:C10004,rdaa:P50382,rdaad:P50348,rdaad:P50378,Published
has assistant,rdaad:assistant.en,rdaad:P50275,property,rdac:C10004,rdaa:P50275,rdaad:P50274,,Published
has associated institution (Deprecated),rdaad:associatedInstitution.en,rdaad:P50034,property,rdac:C10005,rdaa:P50034,rdaad:P50336,,Deprecated
has authorized access point for agent,rdaad:authorizedAccessPointForAgent.en,rdaad:P50403,property,rdac:C10002,rdaa:P50403,rdaad:P50373,rdaxd:P00020,Published
has authorized access point for collective agent,rdaad:authorizedAccessPointForCollectiveAgent.en,rdaad:P50405,property,rdac:C10011,rdaa:P50405,rdaad:P50374,rdaad:P50403,Published
has authorized access point for corporate body,rdaad:authorizedAccessPointForCorporateBody.en,rdaad:P50407,property,rdac:C10005,rdaa:P50407,rdaad:P50375,rdaad:P50405,Published
