*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
is respondent of,rdaao:respondentOf.en,rdaao:P50001,property,rdac:C10004,rdac:C10001,rdaa:P50001,rdaao:P50542,,rdawo:P10001,Published,
is appellee corporate body of,rdaao:appelleeCorporateBodyOf.en,rdaao:P50002,property,rdac:C10005,rdac:C10001,rdaa:P50002,rdaao:P50844,,rdawo:P10005,Published,
is degree granting institution of,rdaao:degreeGrantingInstitutionOf.en,rdaao:P50003,property,rdac:C10005,rdac:C10001,rdaa:P50003,rdaao:P50844,,rdawo:P10006,Published,
is hosting institution of,rdaao:hostingInstitutionOf.en,rdaao:P50004,property,rdac:C10005,rdac:C10001,rdaa:P50004,rdaao:P50329,,rdawo:P10007,Published,
is production company of,rdaao:productionCompanyOf.en,rdaao:P50005,property,rdac:C10005,rdac:C10001,rdaa:P50005,rdaao:P50844,,rdawo:P10008,Published,
has identifier for corporate body,rdaao:identifierForCorporateBody.en,rdaao:P50006,property,rdac:C10005,rdac:C10012,rdaa:P50006,rdaao:P50380,rdaao:P50384,rdano:P80035,Published,
has founding corporate body of corporate body,rdaao:foundingCorporateBodyOfCorporateBody.en,rdaao:P50007,property,rdac:C10005,rdac:C10005,rdaa:P50007,rdaao:P50336,rdaao:P51107,rdaao:P50017,Published,
has hierarchical superior,rdaao:hierarchicalSuperior.en,rdaao:P50008,property,rdac:C10005,rdac:C10005,rdaa:P50008,rdaao:P50336,,rdaao:P50010,Published,
has sponsored corporate body of corporate body,rdaao:sponsoredCorporateBodyOfCorporateBody.en,rdaao:P50009,property,rdac:C10005,rdac:C10005,rdaa:P50009,rdaao:P50336,rdaao:P51099,rdaao:P50015,Published,
has hierarchical subordinate,rdaao:hierarchicalSubordinate.en,rdaao:P50010,property,rdac:C10005,rdac:C10005,rdaa:P50010,rdaao:P50336,,rdaao:P50008,Published,
has mergee,rdaao:mergee.en,rdaao:P50011,property,rdac:C10005,rdac:C10005,rdaa:P50011,rdaao:P50336,,rdaao:P50011,Published,
has predecessor of corporate body,rdaao:predecessorOfCorporateBody.en,rdaao:P50012,property,rdac:C10005,rdac:C10005,rdaa:P50012,rdaao:P50336,rdaao:P50421,rdaao:P50016,Published,
has product of merger,rdaao:productOfMerger.en,rdaao:P50013,property,rdac:C10005,rdac:C10005,rdaa:P50013,rdaao:P50016,,rdaao:P50232,Published,
has product of split,rdaao:productOfSplit.en,rdaao:P50014,property,rdac:C10005,rdac:C10005,rdaa:P50014,rdaao:P50016,,rdaao:P50229,Published,
has sponsoring corporate body of corporate body,rdaao:sponsoringCorporateBodyOfCorporateBody.en,rdaao:P50015,property,rdac:C10005,rdac:C10005,rdaa:P50015,rdaao:P50336,rdaao:P51097,rdaao:P50009,Published,
has successor of corporate body,rdaao:successorOfCorporateBody.en,rdaao:P50016,property,rdac:C10005,rdac:C10005,rdaa:P50016,rdaao:P50336,rdaao:P50423,rdaao:P50012,Published,
has founded corporate body of corporate body,rdaao:foundedCorporateBodyOfCorporateBody.en,rdaao:P50017,property,rdac:C10005,rdac:C10005,rdaa:P50017,rdaao:P50336,rdaao:P51105,rdaao:P50007,Published,
has founding family of corporate body,rdaao:foundingFamilyOfCorporateBody.en,rdaao:P50020,property,rdac:C10005,rdac:C10008,rdaa:P50020,rdaao:P50335,rdaao:P51107,rdaao:P50062,Published,
has sponsoring family of corporate body,rdaao:sponsoringFamilyOfCorporateBody.en,rdaao:P50021,property,rdac:C10005,rdac:C10008,rdaa:P50021,rdaao:P50335,rdaao:P51097,rdaao:P50063,Published,
has place of conference,rdaao:placeOfConference.en,rdaao:P50024,property,rdac:C10005,rdac:C10009,rdaa:P50024,rdaao:P50350,,rdapo:P70028,Published,
has variant name of corporate body,rdaao:variantNameOfCorporateBody.en,rdaao:P50025,property,rdac:C10005,rdac:C10012,rdaa:P50025,rdaao:P50032,rdaao:P50416,rdano:P80147,Published,
has employee,rdaao:employee.en,rdaao:P50026,property,rdac:C10005,rdac:C10004,rdaa:P50026,rdaao:P50030,,rdaao:P50096,Published,
