*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type,See Also[0]
has content type,rdae:contentType.en,Relates an expression to a categorization that reflects the fundamental form of communication in which the content is expressed and the human sense through which it is intended to be perceived.,Content type also reflects the number of spatial dimensions and the presence or absence of movement in which content expressed in the form of an image or images is intended to be perceived.,type of content,,,content type,A categorization that reflects the fundamental form of communication in which the content is expressed and the human sense through which it is intended to be perceived.,rdae:P20001,property,rdac:C10006,,,,Published,6.9,4,
has identifier for expression,rdae:identifierForExpression.en,"Relates an expression to a nomen that is an appellation of expression that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an expression.",,,,,identifier for expression,"A nomen that is an appellation of expression that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an expression.",rdae:P20002,property,rdac:C10006,rdae:P20311,rdax:P00018,,Published,6.13,3,
has other distinguishing characteristic of expression (Deprecated),rdae:otherDistinguishingCharacteristicOfExpression.en,"Relates an expression to a characteristic, other than content type, language of expression, or date of expression, that serves to differentiate an expression from another expression of the same work. (Deprecated)",,,,,other distinguishing characteristic of expression (Deprecated),"A characteristic, other than content type, language of expression, or date of expression, that serves to differentiate an expression from another expression of the same work. (Deprecated)",rdae:P20003,property,rdac:C10006,,,,Deprecated,6.12,6,
has date of capture,rdae:dateOfCapture.en,"Relates an expression to a timespan that is associated with recording, filming, etc., the content of an expression.",,,,,date of capture,"A timespan that is associated with recording, filming, etc., the content of an expression.",rdae:P20004,property,rdac:C10006,rdae:P20214,rdae:P20217,,Published,7.11.3,3,
has award,rdae:award.en,"Relates an expression to a formal recognition of excellence or other merit given by an award- or prize-granting body, for the content of an expression.",,,,,award,"A formal recognition of excellence or other merit given by an award- or prize-granting body, for the content of an expression.",rdae:P20005,property,rdac:C10006,,,,Published,7.28,6,
has language of expression,rdae:languageOfExpression.en,Relates an expression to a language used for the content of an expression.,,language of content,,,language of expression,A language used for the content of an expression.,rdae:P20006,property,rdac:C10006,,,,Published,6.11,5,
has language of content (Deprecated),rdae:languageOfContent.en,Relates an expression to a language used to express the content of an expression. (Deprecated),,,,,language of content (Deprecated),A language used to express the content of an expression. (Deprecated),rdae:P20007,property,rdac:C10006,,,,Deprecated,7.12,6,
has artistic and/or technical credit (Deprecated),rdae:artisticAndOrTechnicalCredit.en,"Relates an expression to a statement of persons, families, or corporate bodies making contributions to the artistic and/or technical production of a resource. (Deprecated)",,,,,artistic and/or technical credit (Deprecated),"A statement of persons, families, or corporate bodies making contributions to the artistic and/or technical production of a resource. (Deprecated)",rdae:P20008,property,rdac:C10006,,,,Deprecated,7.24,,
is adapted as motion picture expression,rdae:adaptedAsMotionPictureExpression.en,Relates an expression to an expression of a moving image work that is based on an expression of another work.,,,,,adapted as motion picture expression,An expression of a moving image work that is based on an expression of another work.,rdae:P20009,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
has note on changes in content characteristics,rdae:noteOnChangesInContentCharacteristics.en,"Relates an expression to a note on expression that provides information on variations in the content characteristics of expressions of parts, issues, or iterations of a diachronic work.",,,,,note on changes in content characteristics,"A note on expression that provides information on variations in the content characteristics of expressions of parts, issues, or iterations of a diachronic work.",rdae:P20010,property,rdac:C10006,rdae:P20071,,,Published,7.29.2,6,
