*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has identifier for expression,rdaeo:identifierForExpression.en,rdaeo:P20002,property,rdac:C10006,rdac:C10012,rdae:P20002,rdaeo:P20311,rdaxo:P00018,rdano:P80046,Published,
has date of capture,rdaeo:dateOfCapture.en,rdaeo:P20004,property,rdac:C10006,rdac:C10010,rdae:P20004,rdaeo:P20214,,rdato:P70023,Published,
is adapted as motion picture expression,rdaeo:adaptedAsMotionPictureExpression.en,rdaeo:P20009,property,rdac:C10006,rdac:C10006,rdae:P20009,rdaeo:P20153,,rdaeo:P20125,Published,( rdaeo:P20231 rdawo:P10025 rdawo:P10078 )
has conductor agent,rdaeo:conductorAgent.en,rdaeo:P20011,property,rdac:C10006,rdac:C10002,rdae:P20011,rdaeo:P20039,,rdaao:P50070,Published,
has actor agent,rdaeo:actorAgent.en,rdaeo:P20012,property,rdac:C10006,rdac:C10002,rdae:P20012,rdaeo:P20039,,rdaao:P50071,Published,
has onscreen presenter agent,rdaeo:onscreenPresenterAgent.en,rdaeo:P20013,property,rdac:C10006,rdac:C10002,rdae:P20013,rdaeo:P20039,,rdaao:P50072,Published,
has dancer agent,rdaeo:dancerAgent.en,rdaeo:P20014,property,rdac:C10006,rdac:C10002,rdae:P20014,rdaeo:P20039,,rdaao:P50073,Published,
has instructor agent,rdaeo:instructorAgent.en,rdaeo:P20015,property,rdac:C10006,rdac:C10002,rdae:P20015,rdaeo:P20039,,rdaao:P50074,Published,
has host agent,rdaeo:hostAgent.en,rdaeo:P20016,property,rdac:C10006,rdac:C10002,rdae:P20016,rdaeo:P20039,,rdaao:P50075,Published,
has moderator agent,rdaeo:moderatorAgent.en,rdaeo:P20017,property,rdac:C10006,rdac:C10002,rdae:P20017,rdaeo:P20039,,rdaao:P50076,Published,
has puppeteer agent,rdaeo:puppeteerAgent.en,rdaeo:P20018,property,rdac:C10006,rdac:C10002,rdae:P20018,rdaeo:P20039,,rdaao:P50077,Published,
has panelist agent,rdaeo:panelistAgent.en,rdaeo:P20019,property,rdac:C10006,rdac:C10002,rdae:P20019,rdaeo:P20039,,rdaao:P50078,Published,
has instrumentalist agent,rdaeo:instrumentalistAgent.en,rdaeo:P20020,property,rdac:C10006,rdac:C10002,rdae:P20020,rdaeo:P20039,,rdaao:P50079,Published,
has commentator agent,rdaeo:commentatorAgent.en,rdaeo:P20021,property,rdac:C10006,rdac:C10002,rdae:P20021,rdaeo:P20039,,rdaao:P50080,Published,
has narrator agent,rdaeo:narratorAgent.en,rdaeo:P20022,property,rdac:C10006,rdac:C10002,rdae:P20022,rdaeo:P20039,,rdaao:P50081,Published,
has storyteller agent,rdaeo:storytellerAgent.en,rdaeo:P20023,property,rdac:C10006,rdac:C10002,rdae:P20023,rdaeo:P20039,,rdaao:P50082,Published,
has speaker agent,rdaeo:speakerAgent.en,rdaeo:P20024,property,rdac:C10006,rdac:C10002,rdae:P20024,rdaeo:P20039,,rdaao:P50083,Published,
has singer agent,rdaeo:singerAgent.en,rdaeo:P20025,property,rdac:C10006,rdac:C10002,rdae:P20025,rdaeo:P20039,,rdaao:P50084,Published,
has composer of expression (Deprecated),rdaeo:composerOfExpression.en,rdaeo:P20026,property,rdac:C10006,rdac:C10002,rdae:P20026,rdaeo:P20053,,rdaao:P50134,Deprecated,
has surveyor (Deprecated),rdaeo:surveyor.en,rdaeo:P20027,property,rdac:C10006,rdac:C10002,rdae:P20027,rdaeo:P20053,,rdaao:P50135,Deprecated,
has animator agent,rdaeo:animatorAgent.en,rdaeo:P20028,property,rdac:C10006,rdac:C10002,rdae:P20028,rdaeo:P20329,,rdaao:P50136,Published,
has arranger agent of music,rdaeo:arrangerAgentOfMusic.en,rdaeo:P20029,property,rdac:C10006,rdac:C10002,rdae:P20029,rdaeo:P20327,,rdaao:P50137,Published,
has writer of added text (Deprecated),rdaeo:writerOfAddedText.en,rdaeo:P20030,property,rdac:C10006,rdac:C10002,rdae:P20030,rdaeo:P20046,,rdaao:P50138,Deprecated,
has stage director agent,rdaeo:stageDirectorAgent.en,rdaeo:P20031,property,rdac:C10006,rdac:C10002,rdae:P20031,rdaeo:P20329,,rdaao:P50139,Published,
has interviewer agent of expression,rdaeo:interviewerAgentOfExpression.en,rdaeo:P20032,property,rdac:C10006,rdac:C10002,rdae:P20032,rdaeo:P20329,,rdaao:P50140,Published,
has draftsman agent,rdaeo:draftsmanAgent.en,rdaeo:P20033,property,rdac:C10006,rdac:C10002,rdae:P20033,rdaeo:P20328,,rdaao:P50141,Published,
has transcriber agent,rdaeo:transcriberAgent.en,rdaeo:P20034,property,rdac:C10006,rdac:C10002,rdae:P20034,rdaeo:P20327,,rdaao:P50142,Published,
has musical director agent,rdaeo:musicalDirectorAgent.en,rdaeo:P20035,property,rdac:C10006,rdac:C10002,rdae:P20035,rdaeo:P20329,,rdaao:P50143,Published,
has costume designer agent,rdaeo:costumeDesignerAgent.en,rdaeo:P20036,property,rdac:C10006,rdac:C10002,rdae:P20036,rdaeo:P20329,,rdaao:P50144,Published,
has translator agent,rdaeo:translatorAgent.en,rdaeo:P20037,property,rdac:C10006,rdac:C10002,rdae:P20037,rdaeo:P20053,,rdaao:P50145,Published,
has art director agent,rdaeo:artDirectorAgent.en,rdaeo:P20038,property,rdac:C10006,rdac:C10002,rdae:P20038,rdaeo:P20329,,rdaao:P50146,Published,
has performer agent,rdaeo:performerAgent.en,rdaeo:P20039,property,rdac:C10006,rdac:C10002,rdae:P20039,rdaeo:P20329,,rdaao:P50147,Published,
has court reporter agent,rdaeo:courtReporterAgent.en,rdaeo:P20040,property,rdac:C10006,rdac:C10002,rdae:P20040,rdaeo:P20328,,rdaao:P50148,Published,
has writer of preface (Deprecated),rdaeo:writerOfPreface.en,rdaeo:P20041,property,rdac:C10006,rdac:C10002,rdae:P20041,rdaeo:P20046,,rdaao:P50149,Deprecated,
has cartographer of expression (Deprecated),rdaeo:cartographerOfExpression.en,rdaeo:P20042,property,rdac:C10006,rdac:C10002,rdae:P20042,rdaeo:P20053,,rdaao:P50150,Deprecated,
has choreographer of expression (Deprecated),rdaeo:choreographerOfExpression.en,rdaeo:P20043,property,rdac:C10006,rdac:C10002,rdae:P20043,rdaeo:P20053,,rdaao:P50151,Deprecated,
has writer of added commentary (Deprecated),rdaeo:writerOfAddedCommentary.en,rdaeo:P20044,property,rdac:C10006,rdac:C10002,rdae:P20044,rdaeo:P20046,,rdaao:P50152,Deprecated,
has writer of introduction (Deprecated),rdaeo:writerOfIntroduction.en,rdaeo:P20045,property,rdac:C10006,rdac:C10002,rdae:P20045,rdaeo:P20046,,rdaao:P50153,Deprecated,
has writer of supplementary textual content (Deprecated),rdaeo:writerOfSupplementaryTextualContent.en,rdaeo:P20046,property,rdac:C10006,rdac:C10002,rdae:P20046,rdaeo:P20053,,rdaao:P50154,Deprecated,
