*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type
has note on item,rdai:noteOnItem.en,Relates an item to a broad unstructured description of one or more attributes of an item.,,,,note on item,A broad unstructured description of one or more attributes of an item.,rdai:P40028,property,rdac:C10003,rdau:P60470,rdax:P00015,,,Published,2.21,6
has dedicatee collective agent of item,rdai:dedicateeCollectiveAgentOfItem.en,Relates an item to a collective agent to whom an item is dedicated.,,,,dedicatee collective agent of item,A collective agent to whom an item is dedicated.,rdai:P40113,property,rdac:C10003,rdau:P60455,rdai:P40076,rdai:P40025,,Published,,2
has binder collective agent,rdai:binderCollectiveAgent.en,Relates an item to a collective agent who binds an item.,,,,binder collective agent,A collective agent who binds an item.,rdai:P40114,property,rdac:C10003,rdau:P60458,rdai:P40128,rdai:P40013,,Published,,2
has curator collective agent,rdai:curatorCollectiveAgent.en,Relates an item to a collective agent who conceives or manages the aggregation of an item in an exhibition or collection.,,,,curator collective agent,A collective agent who conceives or manages the aggregation of an item in an exhibition or collection.,rdai:P40115,property,rdac:C10003,rdau:P60376,rdai:P40076,rdai:P40017,,Published,,2
has illuminator collective agent,rdai:illuminatorCollectiveAgent.en,"Relates an item to a collective agent who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,,,illuminator collective agent,"A collective agent who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40116,property,rdac:C10003,rdau:P60421,rdai:P40128,rdai:P40012,,Published,,2
has current owner collective agent,rdai:currentOwnerCollectiveAgent.en,Relates an item to a collective agent who has current legal possession of an item.,,,,current owner collective agent,A collective agent who has current legal possession of an item.,rdai:P40117,property,rdac:C10003,rdau:P60400,rdai:P40120,rdai:P40018,,Published,,2
has owner collective agent,rdai:ownerCollectiveAgent.en,Relates an item to a collective agent who has current or former legal possession of an item.,,,,owner collective agent,A collective agent who has current or former legal possession of an item.,rdai:P40120,property,rdac:C10003,rdau:P60404,rdai:P40076,rdai:P40021,,Published,,2
has former owner collective agent,rdai:formerOwnerCollectiveAgent.en,Relates an item to a collective agent who has former legal possession of an item.,,,,former owner collective agent,A collective agent who has former legal possession of an item.,rdai:P40118,property,rdac:C10003,rdau:P60401,rdai:P40120,rdai:P40019,,Published,,2
has custodian collective agent,rdai:custodianCollectiveAgent.en,Relates an item to a collective agent who has legal custody of an item.,,,,custodian collective agent,A collective agent who has legal custody of an item.,rdai:P40119,property,rdac:C10003,rdau:P60402,rdai:P40076,rdai:P40020,,Published,,2
has collector collective agent,rdai:collectorCollectiveAgent.en,"Relates an item to a collective agent who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",,,,collector collective agent,"A collective agent who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",rdai:P40121,property,rdac:C10003,rdau:P60066,rdai:P40115,rdai:P40004,,Published,,2
