*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has identifier for item,rdaio:identifierForItem.en,rdaio:P40001,property,rdac:C10003,rdac:C10012,rdai:P40001,rdaio:P40081,rdaxo:P00018,rdano:P80047,Published,
has collector agent (Deprecated),rdaio:collectorAgent.en,rdaio:P40004,property,rdac:C10003,rdac:C10002,rdai:P40004,rdaio:P40017,,rdaao:P50045,Deprecated,
has collection registrar agent (Deprecated),rdaio:collectionRegistrarAgent.en,rdaio:P40005,property,rdac:C10003,rdac:C10002,rdai:P40005,rdaio:P40017,,rdaao:P50046,Deprecated,
has depositor agent,rdaio:depositorAgent.en,rdaio:P40006,property,rdac:C10003,rdac:C10002,rdai:P40006,rdaio:P40018,,rdaao:P50047,Published,
has donor agent,rdaio:donorAgent.en,rdaio:P40007,property,rdac:C10003,rdac:C10002,rdai:P40007,rdaio:P40019,,rdaao:P50066,Published,
has seller agent,rdaio:sellerAgent.en,rdaio:P40008,property,rdac:C10003,rdac:C10002,rdai:P40008,rdaio:P40019,,rdaao:P50067,Published,
is contained in item,rdaio:containedInItem.en,rdaio:P40009,property,rdac:C10003,rdac:C10003,rdai:P40009,rdaio:P40046,,rdaio:P40034,Published,( rdaio:P40049 rdamo:P30020 rdamo:P30103 )
has illuminator agent,rdaio:illuminatorAgent.en,rdaio:P40012,property,rdac:C10003,rdac:C10002,rdai:P40012,rdaio:P40093,,rdaao:P50092,Published,
has binder agent,rdaio:binderAgent.en,rdaio:P40013,property,rdac:C10003,rdac:C10002,rdai:P40013,rdaio:P40093,,rdaao:P50123,Published,
has inscriber,rdaio:inscriber.en,rdaio:P40014,property,rdac:C10003,rdac:C10004,rdai:P40014,rdaio:P40112,,rdaao:P50125,Published,
has annotator,rdaio:annotator.en,rdaio:P40015,property,rdac:C10003,rdac:C10004,rdai:P40015,rdaio:P40112,,rdaao:P50128,Published,
has autographer,rdaio:autographer.en,rdaio:P40016,property,rdac:C10003,rdac:C10004,rdai:P40016,rdaio:P40112,,rdaao:P50129,Published,
has curator agent (Deprecated),rdaio:curatorAgent.en,rdaio:P40017,property,rdac:C10003,rdac:C10002,rdai:P40017,rdaio:P40072,,rdaao:P50133,Deprecated,
has current owner agent,rdaio:currentOwnerAgent.en,rdaio:P40018,property,rdac:C10003,rdac:C10002,rdai:P40018,rdaio:P40021,,rdaao:P50162,Published,
has former owner agent,rdaio:formerOwnerAgent.en,rdaio:P40019,property,rdac:C10003,rdac:C10002,rdai:P40019,rdaio:P40021,,rdaao:P50163,Published,
has custodian agent,rdaio:custodianAgent.en,rdaio:P40020,property,rdac:C10003,rdac:C10002,rdai:P40020,rdaio:P40072,,rdaao:P50164,Published,
has owner agent,rdaio:ownerAgent.en,rdaio:P40021,property,rdac:C10003,rdac:C10002,rdai:P40021,rdaio:P40072,,rdaao:P50165,Published,
has honouree agent of item,rdaio:honoureeAgentOfItem.en,rdaio:P40022,property,rdac:C10003,rdac:C10002,rdai:P40022,rdaio:P40072,,rdaao:P50167,Published,
has other agent associated with item (Deprecated),rdaio:otherAgentItem.en,rdaio:P40023,property,rdac:C10003,rdac:C10002,rdai:P40023,rdaio:P40072,,rdaao:P50182,Deprecated,
has restorationist agent of item,rdaio:restorationistAgentOfItem.en,rdaio:P40024,property,rdac:C10003,rdac:C10002,rdai:P40024,rdaio:P40093,,rdaao:P50206,Published,
has dedicatee agent of item,rdaio:dedicateeAgentOfItem.en,rdaio:P40025,property,rdac:C10003,rdac:C10002,rdai:P40025,rdaio:P40072,,rdaao:P50210,Published,
is electronic reproduction of (item) (Deprecated),rdaio:electronicReproductionOfItem.en,rdaio:P40027,property,rdac:C10003,rdac:C10003,rdai:P40027,rdaio:P40042,,rdaio:P40057,Deprecated,
is held with,rdaio:heldWith,rdaio:P40029,property,rdac:C10003,rdac:C10003,rdai:P40029,rdaio:P40046,,rdaio:P40029,Published,( rdaio:P40161 rdamo:P30460 )
has equivalent item,rdaio:equivalentItem.en,rdaio:P40031,property,rdac:C10003,rdac:C10003,rdai:P40031,rdaio:P40046,,rdaio:P40031,Published,
is bound with,rdaio:boundWith.en,rdaio:P40032,property,rdac:C10003,rdac:C10003,rdai:P40032,rdaio:P40029,,rdaio:P40032,Published,( rdaio:P40161 rdamo:P30460 )
is container of item,rdaio:containerOfItem.en,rdaio:P40034,property,rdac:C10003,rdac:C10003,rdai:P40034,rdaio:P40046,,rdaio:P40009,Published,
is on disc with item,rdaio:onDiscWithItem.en,rdaio:P40035,property,rdac:C10003,rdac:C10003,rdai:P40035,rdaio:P40029,,rdaio:P40035,Published,
is filmed with item,rdaio:filmedWithItem.en,rdaio:P40036,property,rdac:C10003,rdac:C10003,rdai:P40036,rdaio:P40029,,rdaio:P40036,Published,
is reprint of (item) (Deprecated),rdaio:reprintOfItem.en,rdaio:P40038,property,rdac:C10003,rdac:C10003,rdai:P40038,rdaio:P40042,,rdaio:P40060,Deprecated,
is digital transfer of (item) (Deprecated),rdaio:digitalTransferOfItem.en,rdaio:P40039,property,rdac:C10003,rdac:C10003,rdai:P40039,rdaio:P40042,,rdaio:P40056,Deprecated,
is reproduction of (item) (Deprecated),rdaio:reproductionOfItem.en,rdaio:P40042,property,rdac:C10003,rdac:C10003,rdai:P40042,rdaio:P40031,,rdaio:P40055,Deprecated,
is preservation facsimile of (item) (Deprecated),rdaio:preservationFacsimileOfItem.en,rdaio:P40044,property,rdac:C10003,rdac:C10003,rdai:P40044,rdaio:P40045,,rdaio:P40059,Deprecated,
is facsimile of (item) (Deprecated),rdaio:facsimileOfItem.en,rdaio:P40045,property,rdac:C10003,rdac:C10003,rdai:P40045,rdaio:P40042,,rdaio:P40058,Deprecated,
has related item of item,rdaio:relatedItemOfItem.en,rdaio:P40046,property,rdac:C10003,rdac:C10003,rdai:P40046,rdaio:P40068,rdaxo:P00005,rdaio:P40046,Published,
