*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type
has abbreviated title,rdam:abbreviatedTitle.en,Relates a manifestation to nomen that is a title that has been abbreviated for purposes of indexing or identification.,,,,,,,,,,,abbreviated title,A nomen that is a title that has been abbreviated for purposes of indexing or identification.,rdam:P30131,property,rdac:C10007,rdam:P30134,,,Published,2.3.10,3
has access point for manifestation,rdam:accessPointForManifestation.en,Relates a manifestation to a nomen that is an appellation of manifestation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,,,,,,,,,access point for manifestation,A nomen that is an appellation of manifestation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdam:P30276,property,rdac:C10007,rdam:P30277,rdax:P00016,,Published,,3
has accessibility content,rdam:accessibilityContent.en,Relates a manifestation to an indication of the kinds of expression that provide alternative sensory modes to perceive the main expressions that are embodied by an augmentation aggregate.,"Accessibility content includes accessible labels, an audio description, captioning, image descriptions, sign language, and subtitles. Accessibility content does not include subtitles in a language different from the spoken content.",,,,,,,,,,accessibility content,An indication of the kinds of expression that provide alternative sensory modes to perceive the main expressions that are embodied by an augmentation aggregate.,rdam:P30452,property,rdac:C10007,rdam:P30455,,,Published,7.14,6
is accompanied by manifestation,rdam:accompaniedByManifestation.en,"Relates a manifestation to a manifestation that is issued with another manifestation, without any relationship to its content.",,accompanying manifestation relationship,accompanying expression relationship,accompanying work relationship,,,,,,,accompanied by manifestation,"A manifestation that is issued with another manifestation, without any relationship to its content.",rdam:P30027,property,rdac:C10007,rdam:P30048,,,Published,24.5,2
has accompanying manifestation relationship with (Deprecated),rdam:accompanyingManifestationRelationship.en,Relates a manifestation to a manifestation that accompanies or is accompanied by another manifestation. (Deprecated),,,,,,,,,,,accompanying manifestation relationship (Deprecated),A manifestation that accompanies or is accompanied by another manifestation. (Deprecated),rdam:P30210,property,rdac:C10007,rdam:P30048,,,Deprecated,24.5,
is also issued as,rdam:alsoIssuedAs.en,Relates a manifestation to a manifestation that embodies the same expression of a work in a different format.,,,,,,,,,,,also issued as,A manifestation that embodies the same expression of a work in a different format.,rdam:P30026,property,rdac:C10007,rdam:P30024,,,Published,24.5,2
is analysis of (manifestation) (Deprecated),rdam:analysisOfManifestation.en,Relates a work to a manifestation that has been examined to identify its components and their relations. (Deprecated),,,,,,,,,,,analysis of (manifestation) (Deprecated),A manifestation that has been examined to identify its components and their relations. (Deprecated),rdam:P30032,property,rdac:C10001,rdam:P30023,,,Deprecated,,
has appellation of manifestation,rdam:appellationOfManifestation.en,Relates a manifestation to a nomen that is used within a given scheme or context to refer to a manifestation.,,,,,,,,,,,appellation of manifestation,A nomen that is used within a given scheme or context to refer to a manifestation.,rdam:P30277,property,rdac:C10007,rdam:P30274,rdax:P00017,,Published,,3
has applied material,rdam:appliedMaterial.en,Relates a manifestation to a physical or chemical substance applied to a base material of a manifestation.,,,,,,,,,,,applied material,A physical or chemical substance applied to a base material of a manifestation.,rdam:P30084,property,rdac:C10007,rdam:P30304,,,Published,3.7,4
has authorized access point for manifestation,rdam:authorizedAccessPointForManifestation.en,Relates a manifestation to a nomen that is an access point of manifestation that is selected for preference in a specific vocabulary encoding scheme.,,,,,,,,,,,authorized access point for manifestation,A nomen that is an access point of manifestation that is selected for preference in a specific vocabulary encoding scheme.,rdam:P30294,property,rdac:C10007,rdam:P30276,rdax:P00020,,Published,,3
has base material,rdam:baseMaterial.en,Relates a manifestation to an underlying physical material of a manifestation.,,,,,,,,,,,base material,An underlying physical material of a manifestation.,rdam:P30208,property,rdac:C10007,rdam:P30304,,,Published,3.6,4
"has base material for microfilm, microfiche, photographic film, and motion picture film (Deprecated)",rdam:baseMaterialForMicrofilmMicrofichePhotographicFilmAndMotionPictureFilm.en,"Relates a manifestation to the underlying physical material of a microfilm, microfiche, photographic film, or motion picture film resource. (Deprecated)",,,,,,,,,,,"base material for microfilm, microfiche, photographic film, and motion picture film (Deprecated)","The underlying physical material of a microfilm, microfiche, photographic film, or motion picture film resource. (Deprecated)",rdam:P30207,property,rdac:C10007,rdam:P30208,,,Deprecated,3.6.2,
has bibliographic format,rdam:bibliographicFormat.en,"Relates a manifestation to a proportional relationship between a whole sheet in a printed or manuscript resource, and the individual leaves that result if that sheet is left full, cut, or folded.",,,,,,,,,,,bibliographic format,"A proportional relationship between a whole sheet in a printed or manuscript resource, and the individual leaves that result if that sheet is left full, cut, or folded.",rdam:P30197,property,rdac:C10007,,,,Published,3.12,4
has binding of manifestation,rdam:bindingOfManifestation.en,Relates a manifestation to a work that is a binding of a manifestation.,,,,,,,,,,,binding of manifestation,A work that is a binding of a manifestation.,rdam:P30310,property,rdac:C10007,rdam:P30265,,,Published,,2
has book designer agent,rdam:bookDesignerAgent.en,"Relates a manifestation to an agent who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",,book designer,,,,,,,,,book designer agent,"An agent who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",rdam:P30069,property,rdac:C10007,rdam:P30082,,,Published,18.5,2
has book designer collective agent,rdam:bookDesignerCollectiveAgent.en,"Relates a manifestation to a collective agent who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",,,,,,,,,,,book designer collective agent,"A collective agent who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",rdam:P30378,property,rdac:C10007,rdam:P30390,rdam:P30069,,Published,,2
has book designer corporate body,rdam:bookDesignerCorporateBody.en,"Relates a manifestation to a corporate body who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",,,,,,,,,,,book designer corporate body,"A corporate body who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",rdam:P30407,property,rdac:C10007,rdam:P30419,rdam:P30378,,Published,,2
has book designer family,rdam:bookDesignerFamily.en,"Relates a manifestation to a family who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",,,,,,,,,,,book designer family,"A family who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",rdam:P30436,property,rdac:C10007,rdam:P30448,rdam:P30378,,Published,,2
has book designer person,rdam:bookDesignerPerson.en,"Relates a manifestation to a person who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",,,,,,,,,,,book designer person,"A person who is responsible for manufacturing a manifestation by being responsible for the entire graphic design of a book, including arrangement of type and illustration, choice of materials, and process used.",rdam:P30349,property,rdac:C10007,rdam:P30361,rdam:P30069,,Published,,2
has braille embosser agent,rdam:brailleEmbosserAgent.en,"Relates a manifestation to an agent who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",,braille embosser,,,,,,,,,braille embosser agent,"An agent who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",rdam:P30071,property,rdac:C10007,rdam:P30082,,,Published,18.5,2
has braille embosser collective agent,rdam:brailleEmbosserCollectiveAgent.en,"Relates a manifestation to a collective agent who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",,,,,,,,,,,braille embosser collective agent,"A collective agent who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",rdam:P30380,property,rdac:C10007,rdam:P30390,rdam:P30071,,Published,,2
has braille embosser corporate body,rdam:brailleEmbosserCorporateBody.en,"Relates a manifestation to a corporate body who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",,,,,,,,,,,braille embosser corporate body,"A corporate body who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",rdam:P30409,property,rdac:C10007,rdam:P30419,rdam:P30380,,Published,,2
has braille embosser family,rdam:brailleEmbosserFamily.en,"Relates a manifestation to a family who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",,,,,,,,,,,braille embosser family,"A family who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",rdam:P30438,property,rdac:C10007,rdam:P30448,rdam:P30380,,Published,,2
has braille embosser person,rdam:brailleEmbosserPerson.en,"Relates a manifestation to a person who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",,,,,,,,,,,braille embosser person,"A person who is responsible for manufacturing a manifestation by embossing braille cells using a stylus, special embossing printer, or other device.",rdam:P30351,property,rdac:C10007,rdam:P30361,rdam:P30071,,Published,,2
has broadcast standard,rdam:broadcastStandard.en,Relates a manifestation to a system used to format a manifestation of a video for television broadcast.,,,,,,,,,,,broadcast standard,A system used to format a manifestation of a video for television broadcast.,rdam:P30123,property,rdac:C10007,rdam:P30126,,,Published,3.18.3,4
