*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has abbreviated title,rdamd:abbreviatedTitle.en,rdamd:P30131,property,rdac:C10007,rdam:P30131,rdamd:P30134,,Published
has accessibility content,rdamd:accessibilityContent.en,rdamd:P30452,property,rdac:C10007,rdam:P30452,rdamd:P30455,,Published
has access point for manifestation,rdamd:accessPointForManifestation.en,rdamd:P30276,property,rdac:C10007,rdam:P30276,rdamd:P30277,rdaxd:P00016,Published
is accompanied by manifestation,rdamd:accompaniedByManifestation.en,rdamd:P30027,property,rdac:C10007,rdam:P30027,rdamd:P30048,,Published
is also issued as,rdamd:alsoIssuedAs.en,rdamd:P30026,property,rdac:C10007,rdam:P30026,rdamd:P30024,,Published
has appellation of manifestation,rdamd:appellationOfManifestation.en,rdamd:P30277,property,rdac:C10007,rdam:P30277,rdamd:P30274,rdaxd:P00017,Published
has applied material,rdamd:appliedMaterial.en,rdamd:P30084,property,rdac:C10007,rdam:P30084,rdamd:P30304,,Published
has authorized access point for manifestation,rdamd:authorizedAccessPointForManifestation.en,rdamd:P30294,property,rdac:C10007,rdam:P30294,rdamd:P30276,rdaxd:P00020,Published
has base material,rdamd:baseMaterial.en,rdamd:P30208,property,rdac:C10007,rdam:P30208,rdamd:P30304,,Published
has bibliographic format,rdamd:bibliographicFormat.en,rdamd:P30197,property,rdac:C10007,rdam:P30197,,,Published
has binding of manifestation,rdamd:bindingOfManifestation.en,rdamd:P30310,property,rdac:C10007,rdam:P30310,rdamd:P30265,,Published
has book designer agent,rdamd:bookDesignerAgent.en,rdamd:P30069,property,rdac:C10007,rdam:P30069,rdamd:P30082,,Published
has book designer collective agent,rdamd:bookDesignerCollectiveAgent.en,rdamd:P30378,property,rdac:C10007,rdam:P30378,rdamd:P30390,rdamd:P30069,Published
has book designer corporate body,rdamd:bookDesignerCorporateBody.en,rdamd:P30407,property,rdac:C10007,rdam:P30407,rdamd:P30419,rdamd:P30378,Published
has book designer family,rdamd:bookDesignerFamily.en,rdamd:P30436,property,rdac:C10007,rdam:P30436,rdamd:P30448,rdamd:P30378,Published
has book designer person,rdamd:bookDesignerPerson.en,rdamd:P30349,property,rdac:C10007,rdam:P30349,rdamd:P30361,rdamd:P30069,Published
has braille embosser agent,rdamd:brailleEmbosserAgent.en,rdamd:P30071,property,rdac:C10007,rdam:P30071,rdamd:P30082,,Published
has braille embosser collective agent,rdamd:brailleEmbosserCollectiveAgent.en,rdamd:P30380,property,rdac:C10007,rdam:P30380,rdamd:P30390,rdamd:P30071,Published
has braille embosser corporate body,rdamd:brailleEmbosserCorporateBody.en,rdamd:P30409,property,rdac:C10007,rdam:P30409,rdamd:P30419,rdamd:P30380,Published
has braille embosser family,rdamd:brailleEmbosserFamily.en,rdamd:P30438,property,rdac:C10007,rdam:P30438,rdamd:P30448,rdamd:P30380,Published
has braille embosser person,rdamd:brailleEmbosserPerson.en,rdamd:P30351,property,rdac:C10007,rdam:P30351,rdamd:P30361,rdamd:P30071,Published
has broadcaster agent,rdamd:broadcasterAgent.en,rdamd:P30067,property,rdac:C10007,rdam:P30067,rdamd:P30083,,Published
has broadcaster collective agent,rdamd:broadcasterCollectiveAgent.en,rdamd:P30376,property,rdac:C10007,rdam:P30376,rdamd:P30391,rdamd:P30067,Published
has broadcaster corporate body,rdamd:broadcasterCorporateBody.en,rdamd:P30405,property,rdac:C10007,rdam:P30405,rdamd:P30420,rdamd:P30376,Published
has broadcaster family,rdamd:broadcasterFamily.en,rdamd:P30434,property,rdac:C10007,rdam:P30434,rdamd:P30449,rdamd:P30376,Published
has broadcaster person,rdamd:broadcasterPerson.en,rdamd:P30347,property,rdac:C10007,rdam:P30347,rdamd:P30362,rdamd:P30067,Published
has broadcast standard,rdamd:broadcastStandard.en,rdamd:P30123,property,rdac:C10007,rdam:P30123,rdamd:P30126,,Published
has carrier type,rdamd:carrierType.en,rdamd:P30001,property,rdac:C10007,rdam:P30001,,,Published
has cartographic data type,rdamd:cartographicDataType.en,rdamd:P30261,property,rdac:C10007,rdam:P30261,,,Published
has caster agent,rdamd:casterAgent.en,rdamd:P30073,property,rdac:C10007,rdam:P30073,rdamd:P30082,,Published
has caster collective agent,rdamd:casterCollectiveAgent.en,rdamd:P30382,property,rdac:C10007,rdam:P30382,rdamd:P30390,rdamd:P30073,Published
has caster corporate body,rdamd:casterCorporateBody.en,rdamd:P30411,property,rdac:C10007,rdam:P30411,rdamd:P30419,rdamd:P30382,Published
has caster family,rdamd:casterFamily.en,rdamd:P30440,property,rdac:C10007,rdam:P30440,rdamd:P30448,rdamd:P30382,Published
has caster person,rdamd:casterPerson.en,rdamd:P30353,property,rdac:C10007,rdam:P30353,rdamd:P30361,rdamd:P30073,Published
has category of manifestation,rdamd:categoryOfManifestation,rdamd:P30335,property,rdac:C10007,rdam:P30335,rdaxd:P00029,,Published
has collotyper agent,rdamd:collotyperAgent.en,rdamd:P30077,property,rdac:C10007,rdam:P30077,rdamd:P30082,,Published
has collotyper collective agent,rdamd:collotyperCollectiveAgent.en,rdamd:P30386,property,rdac:C10007,rdam:P30386,rdamd:P30390,rdamd:P30077,Published
has collotyper corporate body,rdamd:collotyperCorporateBody.en,rdamd:P30415,property,rdac:C10007,rdam:P30415,rdamd:P30419,rdamd:P30386,Published
has collotyper family,rdamd:collotyperFamily.en,rdamd:P30444,property,rdac:C10007,rdam:P30444,rdamd:P30448,rdamd:P30386,Published
has collotyper person,rdamd:collotyperPerson.en,rdamd:P30357,property,rdac:C10007,rdam:P30357,rdamd:P30361,rdamd:P30077,Published
has colour content,rdamd:colourContent.en,rdamd:P30456,property,rdac:C10007,rdam:P30456,,,Published
has configuration of playback channels,rdamd:configurationOfPlaybackChannels.en,rdamd:P30184,property,rdac:C10007,rdam:P30184,rdamd:P30125,,Published
has contact information,rdamd:contactInformation.en,rdamd:P30141,property,rdac:C10007,rdam:P30141,,,Published
