*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has identifier for manifestation,rdamo:identifierForManifestation.en,rdamo:P30004,property,rdac:C10007,rdac:C10012,rdam:P30004,rdamo:P30277,rdaxo:P00018,rdano:P80048,Published,
has copyright date,rdamo:copyrightDate.en,rdamo:P30007,property,rdac:C10007,rdac:C10010,rdam:P30007,rdamo:P30278,,rdato:P70019,Published,
has date of distribution,rdamo:dateOfDistribution.en,rdamo:P30008,property,rdac:C10007,rdac:C10010,rdam:P30008,rdamo:P30278,,rdato:P70025,Published,
has date of production,rdamo:dateOfProduction.en,rdamo:P30009,property,rdac:C10007,rdac:C10010,rdam:P30009,rdamo:P30278,,rdato:P70027,Published,
has date of manufacture,rdamo:dateOfManufacture.en,rdamo:P30010,property,rdac:C10007,rdac:C10010,rdam:P30010,rdamo:P30278,,rdato:P70026,Published,
has date of publication,rdamo:dateOfPublication.en,rdamo:P30011,property,rdac:C10007,rdac:C10010,rdam:P30011,rdamo:P30278,,rdato:P70028,Published,
has numbering within sequence,rdamo:numberingWithinSequence.en,rdamo:P30014,property,rdac:C10007,rdac:C10012,rdam:P30014,rdamo:P30274,,rdano:P80179,Published,
has electronic reproduction of manifestation,rdamo:electronicReproductionOfManifestation.en,rdamo:P30016,property,rdac:C10007,rdac:C10007,rdam:P30016,rdamo:P30039,,rdamo:P30136,Published,
has parallel name of distributor,rdamo:parallelNameOfDistributor.en,rdamo:P30017,property,rdac:C10007,rdac:C10012,rdam:P30017,rdamo:P30173,,rdano:P80127,Published,
is facsimile part of,rdamo:facsimilePartOf.en,rdamo:P30019,property,rdac:C10007,rdac:C10007,rdam:P30019,rdamo:P30020,,rdamo:P30046,Published,
is part of manifestation,rdamo:partOfManifestation.en,rdamo:P30020,property,rdac:C10007,rdac:C10007,rdam:P30020,rdamo:P30048,,rdamo:P30033,Published,
has preservation facsimile of manifestation,rdamo:preservationFacsimileOfManifestation.en,rdamo:P30021,property,rdac:C10007,rdac:C10007,rdam:P30021,rdamo:P30031,,rdamo:P30045,Published,
has insert,rdamo:insert.en,rdamo:P30022,property,rdac:C10007,rdac:C10007,rdam:P30022,rdamo:P30033,,rdamo:P30025,Published,
has equivalent manifestation,rdamo:equivalentManifestation.en,rdamo:P30024,property,rdac:C10007,rdac:C10007,rdam:P30024,rdamo:P30048,,rdamo:P30024,Published,
is inserted in,rdamo:insertedIn.en,rdamo:P30025,property,rdac:C10007,rdac:C10007,rdam:P30025,rdamo:P30020,,rdamo:P30022,Published,
is also issued as,rdamo:alsoIssuedAs.en,rdamo:P30026,property,rdac:C10007,rdac:C10007,rdam:P30026,rdamo:P30024,,rdamo:P30026,Published,
is accompanied by manifestation,rdamo:accompaniedByManifestation.en,rdamo:P30027,property,rdac:C10007,rdac:C10007,rdam:P30027,rdamo:P30048,,rdamo:P30027,Published,( rdamo:P30020 rdamo:P30033 )
has mirror site,rdamo:mirrorSite.en,rdamo:P30028,property,rdac:C10007,rdac:C10007,rdam:P30028,rdamo:P30024,,rdamo:P30028,Published,
has digital transfer of manifestation,rdamo:digitalTransferOfManifestation.en,rdamo:P30029,property,rdac:C10007,rdac:C10007,rdam:P30029,rdamo:P30039,,rdamo:P30040,Published,
has special issue (Deprecated),rdamo:specialIssue.en,rdamo:P30030,property,rdac:C10007,rdac:C10007,rdam:P30030,rdamo:P30033,,rdamo:P30101,Deprecated,
has facsimile of manifestation,rdamo:facsimileOfManifestation.en,rdamo:P30031,property,rdac:C10007,rdac:C10007,rdam:P30031,rdamo:P30039,,rdamo:P30047,Published,
has part manifestation,rdamo:partManifestation.en,rdamo:P30033,property,rdac:C10007,rdac:C10007,rdam:P30033,rdamo:P30048,,rdamo:P30020,Published,
is on carrier unit with,rdamo:onCarrierUnitWith.en,rdamo:P30035,property,rdac:C10007,rdac:C10007,rdam:P30035,rdamo:P30027,,rdamo:P30035,Published,( rdamo:P30020 rdamo:P30033 )
is on disc with manifestation,rdamo:onDiscWithManifestation.en,rdamo:P30036,property,rdac:C10007,rdac:C10007,rdam:P30036,rdamo:P30035,,rdamo:P30036,Published,
is filmed with manifestation,rdamo:filmedWithManifestation.en,rdamo:P30037,property,rdac:C10007,rdac:C10007,rdam:P30037,rdamo:P30035,,rdamo:P30037,Published,
is reprinted as manifestation,rdamo:reprintedAsManifestation.en,rdamo:P30038,property,rdac:C10007,rdac:C10007,rdam:P30038,rdamo:P30039,,rdamo:P30093,Published,
is reproduced as manifestation,rdamo:reproducedAsManifestation.en,rdamo:P30039,property,rdac:C10007,rdac:C10007,rdam:P30039,rdamo:P30024,,rdamo:P30043,Published,
is digital transfer of manifestation of,rdamo:digitalTransferOfManifestationOf.en,rdamo:P30040,property,rdac:C10007,rdac:C10007,rdam:P30040,rdamo:P30043,,rdamo:P30029,Published,
