*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
is abbreviated title of,rdand:abbreviatedTitleOf.en,rdand:P80057,property,rdac:C10012,rdan:P80057,rdand:P80111,,Published
is access point for agent of,rdand:accessPointForAgentOf.en,rdand:P80018,property,rdac:C10012,rdan:P80018,rdand:P80028,rdand:P80159,Published
is access point for collective agent of,rdand:accessPointForCollectiveAgentOf.en,rdand:P80019,property,rdac:C10012,rdan:P80019,rdand:P80029,rdand:P80018,Published
is access point for corporate body of,rdand:accessPointForCorporateBodyOf.en,rdand:P80020,property,rdac:C10012,rdan:P80020,rdand:P80030,rdand:P80019,Published
is access point for expression of,rdand:accessPointForExpressionOf.en,rdand:P80023,property,rdac:C10012,rdan:P80023,rdand:P80038,rdand:P80159,Published
is access point for family of,rdand:accessPointForFamilyOf.en,rdand:P80021,property,rdac:C10012,rdan:P80021,rdand:P80031,rdand:P80019,Published
is access point for item of,rdand:accessPointForItemOf.en,rdand:P80015,property,rdac:C10012,rdan:P80015,rdand:P80016,rdand:P80159,Published
is access point for manifestation of,rdand:accessPointForManifestationOf.en,rdand:P80024,property,rdac:C10012,rdan:P80024,rdand:P80040,rdand:P80159,Published
is access point for person of,rdand:accessPointForPersonOf.en,rdand:P80022,property,rdac:C10012,rdan:P80022,rdand:P80032,rdand:P80018,Published
is access point for place of,rdand:accessPointForPlaceOf.en,rdand:P80025,property,rdac:C10012,rdan:P80025,rdand:P80041,rdand:P80159,Published
is access point for RDA entity of,rdand:accessPointForRDAEntityOf.en,rdand:P80159,property,rdac:C10012,rdan:P80159,rdand:P80112,,Published
is access point for timespan of,rdand:accessPointForTimespanOf.en,rdand:P80026,property,rdac:C10012,rdan:P80026,rdand:P80043,rdand:P80159,Published
is access point for work of,rdand:accessPointForWorkOf.en,rdand:P80027,property,rdac:C10012,rdan:P80027,rdand:P80045,rdand:P80159,Published
is alternate identity of person of,rdand:alternateIdentityOfPersonOf.en,rdand:P80157,property,rdac:C10012,rdan:P80157,rdand:P80032,,Published
is appellation of agent of,rdand:appellationOfAgent.en,rdand:P80028,property,rdac:C10012,rdan:P80028,rdand:P80005,rdand:P80112,Published
is appellation of collective agent of,rdand:appellationOfCollectiveAgent.en,rdand:P80029,property,rdac:C10012,rdan:P80029,rdand:P80006,rdand:P80028,Published
is appellation of corporate body of,rdand:appellationOfCorporateBody.en,rdand:P80030,property,rdac:C10012,rdan:P80030,rdand:P80013,rdand:P80029,Published
is appellation of expression of,rdand:appellationOfExpression.en,rdand:P80038,property,rdac:C10012,rdan:P80038,rdand:P80002,rdand:P80112,Published
is appellation of family of,rdand:appellationOfFamily.en,rdand:P80031,property,rdac:C10012,rdan:P80031,rdand:P80012,rdand:P80029,Published
is appellation of item of,rdand:appellationOfItem.en,rdand:P80016,property,rdac:C10012,rdan:P80016,rdand:P80004,rdand:P80112,Published
is appellation of manifestation of,rdand:appellationOfManifestation.en,rdand:P80040,property,rdac:C10012,rdan:P80040,rdand:P80003,rdand:P80112,Published
is appellation of person of,rdand:appellationOfPerson.en,rdand:P80032,property,rdac:C10012,rdan:P80032,rdand:P80011,rdand:P80028,Published
is appellation of place of,rdand:appellationOfPlace.en,rdand:P80041,property,rdac:C10012,rdan:P80041,rdand:P80007,rdand:P80112,Published
is appellation of timespan of,rdand:appellationOfTimespan.en,rdand:P80043,property,rdac:C10012,rdan:P80043,rdand:P80008,rdand:P80112,Published
is appellation of work of,rdand:appellationOfWork.en,rdand:P80045,property,rdac:C10012,rdan:P80045,rdand:P80001,rdand:P80112,Published
is appellation of work group of,rdand:appellationOfWorkGroup.en,rdand:P80171,property,rdac:C10012,rdan:P80171,rdand:P80045,,Published
is appellation of RDA entity of,rdand:appellatonOfRDAEntityOf.en,rdand:P80112,property,rdac:C10012,rdan:P80112,rdand:P80010,rdand:P80112,Published
is assigned by agent,rdand:assignedByAgent.en,rdand:P80073,property,rdac:C10012,rdan:P80073,rdand:P80005,,Published
is assigned by collective agent,rdand:assignedByCollectiveAgent.en,rdand:P80074,property,rdac:C10012,rdan:P80074,rdand:P80006,rdand:P80073,Published
is assigned by corporate body,rdand:assignedByCorporateBody.en,rdand:P80075,property,rdac:C10012,rdan:P80075,rdand:P80013,rdand:P80074,Published
is assigned by family,rdand:assignedByFamily.en,rdand:P80076,property,rdac:C10012,rdan:P80076,rdand:P80012,rdand:P80074,Published
is assigned by person,rdand:assignedByPerson.en,rdand:P80077,property,rdac:C10012,rdan:P80077,rdand:P80011,rdand:P80073,Published
is authorized access point for agent of,rdand:authorizedAccessPointForAgentOf.en,rdand:P80099,property,rdac:C10012,rdan:P80099,rdand:P80018,rdand:P80162,Published
is authorized access point for collective agent of,rdand:authorizedAccessPointForCollectiveAgentOf.en,rdand:P80101,property,rdac:C10012,rdan:P80101,rdand:P80019,rdand:P80099,Published
