*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has related work of nomen,rdano:relatedWorkOfNomen.en,rdano:P80001,property,rdac:C10012,rdac:C10001,rdan:P80001,rdano:P80010,rdaxo:P00002,rdawo:P10318,Published,
has related expression of nomen,rdano:relatedExpressionOfNomen.en,rdano:P80002,property,rdac:C10012,rdac:C10006,rdan:P80002,rdano:P80010,rdaxo:P00003,rdaeo:P20308,Published,
has related manifestation of nomen,rdano:relatedManifestationOfNomen.en,rdano:P80003,property,rdac:C10012,rdac:C10007,rdan:P80003,rdano:P80010,rdaxo:P00004,rdamo:P30274,Published,
has related item of nomen,rdano:relatedItemOfNomen.en,rdano:P80004,property,rdac:C10012,rdac:C10003,rdan:P80004,rdano:P80010,rdaxo:P00005,rdaio:P40079,Published,
has related agent of nomen,rdano:relatedAgentOfNomen.en,rdano:P80005,property,rdac:C10012,rdac:C10002,rdan:P80005,rdano:P80010,rdaxo:P00006,rdaao:P50340,Published,
has related collective agent of nomen,rdano:relatedCollectiveAgentOfNomen.en,rdano:P80006,property,rdac:C10012,rdac:C10011,rdan:P80006,rdano:P80005,rdaxo:P00012,rdaao:P50344,Published,
has related place of nomen,rdano:relatedPlaceOfNomen.en,rdano:P80007,property,rdac:C10012,rdac:C10009,rdan:P80007,rdano:P80010,rdaxo:P00010,rdapo:P70012,Published,
has related timespan of nomen,rdano:relatedTimespanOfNomen.en,rdano:P80008,property,rdac:C10012,rdac:C10010,rdan:P80008,rdano:P80010,rdaxo:P00011,rdato:P70009,Published,
has related nomen of nomen,rdano:relatedNomenOfNomen.en,rdano:P80009,property,rdac:C10012,rdac:C10012,rdan:P80009,rdano:P80010,rdaxo:P00013,rdano:P80009,Published,
has related RDA entity of nomen,rdano:relatedRDAEntityOfNomen.en,rdano:P80010,property,rdac:C10012,rdac:C10013,rdan:P80010,rdano:P80174,rdaxo:P00001,rdaxo:P00013,Published,
has related person of nomen,rdano:relatedPersonOfNomen.en,rdano:P80011,property,rdac:C10012,rdac:C10004,rdan:P80011,rdano:P80005,rdaxo:P00007,rdaao:P50348,Published,
has related family of nomen,rdano:relatedFamilyOfNomen.en,rdano:P80012,property,rdac:C10012,rdac:C10008,rdan:P80012,rdano:P80006,rdaxo:P00008,rdaao:P50356,Published,
has related corporate body of nomen,rdano:relatedCorporateBodyOfNomen.en,rdano:P80013,property,rdac:C10012,rdac:C10005,rdan:P80013,rdano:P80006,rdaxo:P00009,rdaao:P50352,Published,
