*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has name of place,rdapo:nameOfPlace.en,rdapo:P70001,property,rdac:C10009,rdac:C10012,rdap:P70001,rdapo:P70019,rdaxo:P00019,rdano:P80051,Published,
has preferred name of place,rdapo:preferredNameOfPlace.en,rdapo:P70002,property,rdac:C10009,rdac:C10012,rdap:P70002,rdapo:P70001,rdaxo:P00021,rdano:P80087,Published,
has variant name of place,rdapo:variantNameOfPlace.en,rdapo:P70003,property,rdac:C10009,rdac:C10012,rdap:P70003,rdapo:P70001,rdaxo:P00023,rdano:P80088,Published,
has related work of place,rdapo:relatedWorkOfPlace.en,rdapo:P70004,property,rdac:C10009,rdac:C10001,rdap:P70004,rdapo:P70013,rdaxo:P00002,rdawo:P10316,Published,
has related expression of place,rdapo:relatedExpressionOfPlace.en,rdapo:P70005,property,rdac:C10009,rdac:C10006,rdap:P70005,rdapo:P70013,rdaxo:P00003,rdaeo:P20306,Published,
has related manifestation of place,rdapo:relatedManifestationOfPlace.en,rdapo:P70006,property,rdac:C10009,rdac:C10007,rdap:P70006,rdapo:P70013,rdaxo:P00004,rdamo:P30272,Published,
has related item of place,rdapo:relatedItemOfPlace.en,rdapo:P70007,property,rdac:C10009,rdac:C10003,rdap:P70007,rdapo:P70013,rdaxo:P00005,rdaio:P40077,Published,
has related agent of place,rdapo:relatedAgentOfPlace.en,rdapo:P70008,property,rdac:C10009,rdac:C10002,rdap:P70008,rdapo:P70013,rdaxo:P00006,rdaao:P50338,Published,
has related collective agent of place,rdapo:relatedCollectiveAgentOfPlace.en,rdapo:P70009,property,rdac:C10009,rdac:C10011,rdap:P70009,rdapo:P70008,rdaxo:P00012,rdaao:P50342,Published,
has related place of place,rdapo:relatedPlaceOfPlace.en,rdapo:P70010,property,rdac:C10009,rdac:C10009,rdap:P70010,rdapo:P70013,rdaxo:P00010,rdapo:P70010,Published,
has related timespan of place,rdapo:relatedTimespanOfPlace.en,rdapo:P70011,property,rdac:C10009,rdac:C10010,rdap:P70011,rdapo:P70013,rdaxo:P00011,rdato:P70007,Published,
has related nomen of place,rdapo:relatedNomenOfPlace.en,rdapo:P70012,property,rdac:C10009,rdac:C10012,rdap:P70012,rdapo:P70013,rdaxo:P00013,rdano:P80007,Published,
has related RDA entity of place,rdapo:relatedRDAEntityOfPlace.en,rdapo:P70013,property,rdac:C10009,rdac:C10013,rdap:P70013,rdaxo:P00001,,rdaxo:P00010,Published,
has related person of place,rdapo:relatedPersonOfPlace.en,rdapo:P70014,property,rdac:C10009,rdac:C10004,rdap:P70014,rdapo:P70008,rdaxo:P00007,rdaao:P50346,Published,
has related family of place,rdapo:relatedFamilyOfPlace.en,rdapo:P70015,property,rdac:C10009,rdac:C10008,rdap:P70015,rdapo:P70009,rdaxo:P00008,rdaao:P50354,Published,
has related corporate body of place,rdapo:relatedCorporateBodyOfPlace.en,rdapo:P70016,property,rdac:C10009,rdac:C10005,rdap:P70016,rdapo:P70009,rdaxo:P00009,rdaao:P50350,Published,
is subject place of,rdapo:subjecfPlaceOf.en,rdapo:P70017,property,rdac:C10009,rdac:C10001,rdap:P70017,rdapo:P70004,rdaxo:P00014,rdawo:P10321,Published,
has access point for place,rdapo:accessPointForPlace.en,rdapo:P70018,property,rdac:C10009,rdac:C10012,rdap:P70018,rdapo:P70019,rdaxo:P00016,rdano:P80025,Published,
has appellation of place,rdapo:appellationOfPlace.en,rdapo:P70019,property,rdac:C10009,rdac:C10012,rdap:P70019,rdapo:P70012,rdaxo:P00017,rdano:P80041,Published,
has identifier for place,rdapo:identifierForPlace.en,rdapo:P70020,property,rdac:C10009,rdac:C10012,rdap:P70020,rdapo:P70019,rdaxo:P00018,rdano:P80042,Published,
is place of manifestation of,rdapo:placeOfManifestationOf.en,rdapo:P70021,property,rdac:C10009,rdac:C10007,rdap:P70021,rdapo:P70006,,rdamo:P30279,Published,
is coordinates of cartographic content of,rdapo:coordinatesOfCartographicContentOf.en,rdapo:P70023,property,rdac:C10009,rdac:C10001,rdap:P70023,rdapo:P70004,,rdawo:P10024,Published,
is country associated with person of,rdapo:countryAssociatedWithPersonOf.en,rdapo:P70024,property,rdac:C10009,rdac:C10004,rdap:P70024,rdapo:P70014,,rdaao:P50097,Published,
is place of birth of,rdapo:placeOfBirthOf.en,rdapo:P70025,property,rdac:C10009,rdac:C10004,rdap:P70025,rdapo:P70014,,rdaao:P50119,Published,
is place of death of,rdapo:placeOfDeathOf.en,rdapo:P70026,property,rdac:C10009,rdac:C10004,rdap:P70026,rdapo:P70014,,rdaao:P50118,Published,
is place of residence of,rdapo:placeOfResidenceOf.en,rdapo:P70027,property,rdac:C10009,rdac:C10004,rdap:P70027,rdapo:P70014,,rdaao:P50109,Published,
is place of conference of,rdapo:placeOfConferenceOf.en,rdapo:P70028,property,rdac:C10009,rdac:C10005,rdap:P70028,rdapo:P70016,,rdaao:P50024,Published,
is other place associated with corporate body of (Deprecated),rdapo:otherPlaceAssociatedWithCorporateBodyOf.en,rdapo:P70029,property,rdac:C10009,rdac:C10005,rdap:P70029,rdapo:P70030,,rdaao:P50260,Deprecated,
is place associated with corporate body of (Deprecated),rdapo:placeAssociatedWithCorporateBodyOf.en,rdapo:P70030,property,rdac:C10009,rdac:C10005,rdap:P70030,rdapo:P70016,,rdaao:P50031,Deprecated,
is place associated with family of (Deprecated),rdapo:placeAssociatedWithFamilyOf.en,rdapo:P70031,property,rdac:C10009,rdac:C10008,rdap:P70031,rdapo:P70015,,rdaao:P50057,Deprecated,
