*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],*status,has element type
has access point for timespan,rdat:accessPointForTimespan.en,Relates a timespan to an appellation of timespan in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,access point for timespan,A nomen that is an appellation of timespan in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdat:P70015,property,rdac:C10010,rdau:P61168,rdat:P70016,rdax:P00016,Published,3
has appellation of timespan,rdat:appellationOfTimespan.en,Relates a timespan to a nomen that is used within a given scheme or context to refer to a timespan.,,,appellation of timespan,A nomen that is used within a given scheme or context to refer to a timespan.,rdat:P70016,property,rdac:C10010,rdau:P60909,rdat:P70009,rdax:P00017,Published,3
has authorized access point for timespan,rdat:authorizedAccessPointForTimespan.en,Relates a timespan to a nomen that is an access point for timespan that is selected for preference in a specific vocabulary encoding scheme.,,,authorized access point for timespan,A nomen that is an access point for timespan that is selected for preference in a specific vocabulary encoding scheme.,rdat:P70047,property,rdac:C10010,rdau:P61173,rdat:P70015,rdax:P00020,Published,3
has beginning,rdat:beginning.en,Relates a timespan to a timespan that is the time at which a timespan starts.,A time may be represented at different levels of granularity by a calendrical timespan.,,beginning,A timespan that is the time at which a timespan starts.,rdat:P70039,property,rdac:C10010,rdau:P60998,rdat:P70035,,Published,3
is beginning of,rdat:beginningOf.en,Relates a timespan to a timespan that starts at the time that is a timespan.,,,beginning of,A timespan that starts at the time that is a timespan.,rdat:P70061,property,rdac:C10010,rdau:P61207,rdat:P70034,,Published,3
has category of timespan,rdat:categoryOfTimespan.en,Relates a timespan to a type to which a timespan belongs.,,,category of timespan,A type to which a timespan belongs.,rdat:P70059,property,rdac:C10010,rdau:P60944,rdax:P00029,,Published,5
is copyright date of,rdat:copyrightDateOf.en,Relates a timespan to a manifestation that is associated with a claim of protection under copyright or a similar regime during a timespan.,,,copyright date of,A manifestation that is associated with a claim of protection under copyright or a similar regime during a timespan.,rdat:P70019,property,rdac:C10010,rdau:P61108,rdat:P70020,,Published,2
is date associated with person of (Deprecated),rdat:dateAssociatedWithPersonOf.en,Relates a timespan to a person who has a significant association with a timespan. (Deprecated),,,date associated with person of (Deprecated),A person who has a significant association with a timespan. (Deprecated),rdat:P70038,property,rdac:C10010,rdau:P60974,rdat:P70011,,Deprecated,2
is date of birth of,rdat:dateOfBirthOf.en,Relates a timespan to a person who was born during a timespan.,,,date of birth of,A person who was born during a timespan.,rdat:P70029,property,rdac:C10010,rdau:P60975,rdat:P70011,,Published,2
is date of capture of,rdat:dateOfCaptureOf.en,"Relates a timespan to an expression that is recorded, filmed, etc., during a timespan.",,,date of capture of,"An expression that is recorded, filmed, etc., during a timespan.",rdat:P70023,property,rdac:C10010,rdau:P60976,rdat:P70024,,Published,2
is date of capture of representative expression of,rdat:dateOfCaptureOfRepresentativeExpressionOf.en,"Relates a timespan to a work that is associated with a representative expression that is recorded, filmed, etc., during a timespan.",,,date of capture of representative expression of,"A work that is associated with a representative expression that is recorded, filmed, etc., during a timespan.",rdat:P70054,property,rdac:C10010,rdau:P60976,rdat:P70001,,Published,2
is date of conference of,rdat:dateOfConferenceOf.en,"Relates a timespan to a corporate body who is a conference, exhibition, or other formally named and convened event that gives rise to a work and that is held during a timespan.",,,date of conference of,"A corporate body who is a conference, exhibition, or other formally named and convened event that gives rise to a work and that is held during a timespan.",rdat:P70031,property,rdac:C10010,rdau:P60977,rdat:P70013,,Published,2
