*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has related work of timespan,rdatd:relatedWorkOfTimespan.en,rdatd:P70001,property,rdac:C10010,rdat:P70001,rdatd:P70010,rdaxd:P00002,Published
has related expression of timespan,rdatd:relatedExpressionOfTimespan.en,rdatd:P70002,property,rdac:C10010,rdat:P70002,rdatd:P70010,rdaxd:P00003,Published
has related manifestation of timespan,rdatd:relatedManifestationOfTimespan.en,rdatd:P70003,property,rdac:C10010,rdat:P70003,rdatd:P70010,rdaxd:P00004,Published
has related item of timespan,rdatd:relatedItemOfTimespan.en,rdatd:P70004,property,rdac:C10010,rdat:P70004,rdatd:P70010,rdaxd:P00005,Published
has related agent of timespan,rdatd:relatedAgentOfTimespan.en,rdatd:P70005,property,rdac:C10010,rdat:P70005,rdatd:P70010,rdaxd:P00006,Published
has related collective agent of timespan,rdatd:relatedCollectiveAgentOfTimespan.en,rdatd:P70006,property,rdac:C10010,rdat:P70006,rdatd:P70005,rdaxd:P00012,Published
has related place of timespan,rdatd:relatedPlaceOfTimespan.en,rdatd:P70007,property,rdac:C10010,rdat:P70007,rdatd:P70010,rdaxd:P00010,Published
has related timespan of timespan,rdatd:relatedTimespanOfTimespan.en,rdatd:P70008,property,rdac:C10010,rdat:P70008,rdatd:P70010,rdaxd:P00011,Published
has related nomen of timespan,rdatd:relatedNomenOfTimespan.en,rdatd:P70009,property,rdac:C10010,rdat:P70009,rdatd:P70010,rdaxd:P00013,Published
has related RDA entity of timespan,rdatd:relatedRDAEntityOfTimespan.en,rdatd:P70010,property,rdac:C10010,rdat:P70010,rdatd:P70058,rdaxd:P00001,Published
has related person of timespan,rdatd:relatedPersonOfTimespan.en,rdatd:P70011,property,rdac:C10010,rdat:P70011,rdatd:P70005,rdaxd:P00007,Published
has related family of timespan,rdatd:relatedFamilyOfTimespan.en,rdatd:P70012,property,rdac:C10010,rdat:P70012,rdatd:P70006,rdaxd:P00008,Published
has related corporate body of timespan,rdatd:relatedCorporateBodyOfTimespan.en,rdatd:P70013,property,rdac:C10010,rdat:P70013,rdatd:P70006,rdaxd:P00009,Published
is subject timespan of,rdatd:subjectTimespanOf.en,rdatd:P70014,property,rdac:C10010,rdat:P70014,rdatd:P70001,rdaxd:P00014,Published
has access point for timespan,rdatd:accessPointForTimespan.en,rdatd:P70015,property,rdac:C10010,rdat:P70015,rdatd:P70016,rdaxd:P00016,Published
has appellation of timespan,rdatd:appellationOfTimespan.en,rdatd:P70016,property,rdac:C10010,rdat:P70016,rdatd:P70009,rdaxd:P00017,Published
has name of timespan,rdatd:nameOfTimespan.en,rdatd:P70017,property,rdac:C10010,rdat:P70017,rdatd:P70016,rdaxd:P00019,Published
has identifier for timespan,rdatd:identifierForTimespan.en,rdatd:P70018,property,rdac:C10010,rdat:P70018,rdatd:P70016,rdaxd:P00018,Published
is copyright date of,rdatd:copyrightDateOf.en,rdatd:P70019,property,rdac:C10010,rdat:P70019,rdatd:P70020,,Published
is date of manifestation of,rdatd:dateOfManifestationOf.en,rdatd:P70020,property,rdac:C10010,rdat:P70020,rdatd:P70003,,Published
is epoch of,rdatd:epochOf.en,rdatd:P70021,property,rdac:C10010,rdat:P70021,rdatd:P70001,,Published
is date of work of,rdatd:dateOfWorkOf.en,rdatd:P70022,property,rdac:C10010,rdat:P70022,rdatd:P70001,,Published
is date of capture of,rdatd:dateOfCaptureOf.en,rdatd:P70023,property,rdac:C10010,rdat:P70023,rdatd:P70024,,Published
is date of expression of,rdatd:dateOfExpressionOf.en,rdatd:P70024,property,rdac:C10010,rdat:P70024,rdatd:P70002,,Published
is date of distribution of,rdatd:dateOfDistributionOf.en,rdatd:P70025,property,rdac:C10010,rdat:P70025,rdatd:P70020,,Published
is date of manufacture of,rdatd:dateOfManufactureOf.en,rdatd:P70026,property,rdac:C10010,rdat:P70026,rdatd:P70020,,Published
is date of production of,rdatd:dateOfProductionOf.en,rdatd:P70027,property,rdac:C10010,rdat:P70027,rdatd:P70020,,Published
is date of publication of,rdatd:dateOfPublicationOf.en,rdatd:P70028,property,rdac:C10010,rdat:P70028,rdatd:P70020,,Published
is date of birth of,rdatd:dateOfBirthOf.en,rdatd:P70029,property,rdac:C10010,rdat:P70029,rdatd:P70011,,Published
is date of death of,rdatd:dateOfDeathOf.en,rdatd:P70030,property,rdac:C10010,rdat:P70030,rdatd:P70011,,Published
is date of conference of,rdatd:dateOfConferenceOf.en,rdatd:P70031,property,rdac:C10010,rdat:P70031,rdatd:P70013,,Published
is date of establishment of,rdatd:dateOfEstablishmentOf.en,rdatd:P70032,property,rdac:C10010,rdat:P70032,rdatd:P70013,,Published
is date of termination of,rdatd:dateOfTerminationOf.en,rdatd:P70033,property,rdac:C10010,rdat:P70033,rdatd:P70013,,Published
is part of timespan,rdatd:partOfTimespan.en,rdatd:P70034,property,rdac:C10010,rdat:P70034,rdatd:P70008,,Published
has part timespan,rdatd:partTimespan.en,rdatd:P70035,property,rdac:C10010,rdat:P70035,rdatd:P70008,,Published
is date associated with corporate body of (Deprecated),,rdatd:P70036,property,,rdat:P70036,,,Deprecated
is date associated with family of (Deprecated),,rdatd:P70037,property,,rdat:P70037,,,Deprecated
is date associated with person of (Deprecated),rdatd:dateAssociatedWithPersonOf.en,rdatd:P70038,property,rdac:C10010,rdat:P70038,rdatd:P70011,,Deprecated
has beginning,rdatd:beginning.en,rdatd:P70039,property,rdac:C10010,rdat:P70039,rdatd:P70035,,Published
has ending,rdatd:ending.en,rdatd:P70040,property,rdac:C10010,rdat:P70040,rdatd:P70035,,Published
is duration of (Deprecated),rdatd:durationOf.en,rdatd:P70041,property,rdac:C10010,rdat:P70041,rdatd:P70002,,Deprecated
is equinox of,rdatd:equinoxOf.en,rdatd:P70042,property,rdac:C10010,rdat:P70042,rdatd:P70001,,Published
is period of activity of corporate body of,rdatd:periodOfActivityOfCorporateBodyOf.en,rdatd:P70043,property,rdac:C10010,rdat:P70043,rdatd:P70013,rdatd:P70052,Published
is period of activity of person of,rdatd:periodOfActivityOfPersonOf.en,rdatd:P70044,property,rdac:C10010,rdat:P70044,rdatd:P70011,rdatd:P70051,Published
has note on timespan,rdatd:noteOnTimespan.en,rdatd:P70045,property,rdac:C10010,rdat:P70045,rdaxd:P00015,,Published
is year degree granted of,rdatd:yearDegreeGrantedOf.en,rdatd:P70046,property,rdac:C10010,rdat:P70046,rdatd:P70022,,Published
has authorized access point for timespan,rdatd:authorizedAccessPointForTimespan.en,rdatd:P70047,property,rdac:C10010,rdat:P70047,rdatd:P70015,rdaxd:P00020,Published
has variant access point for timespan,rdatd:variantAccessPointForTimespan.en,rdatd:P70048,property,rdac:C10010,rdat:P70048,rdatd:P70015,rdaxd:P00022,Published
has preferred name of timespan,rdatd:preferredNameOfTimespan.en,rdatd:P70049,property,rdac:C10010,rdat:P70049,rdatd:P70017,rdaxd:P00021,Published
has variant name of timespan,rdatd:variantNameOfTimespan.en,rdatd:P70050,property,rdac:C10010,rdat:P70050,rdatd:P70017,rdaxd:P00023,Published
is period of activity of agent of,rdatd:periodOfActivityOfAgentOf.en,rdatd:P70051,property,rdac:C10010,rdat:P70051,rdatd:P70005,,Published
is period of activity of collective agent of,rdatd:periodOfActivityOfCollectiveAgentOf.en,rdatd:P70052,property,rdac:C10010,rdat:P70052,rdatd:P70006,rdatd:P70051,Published
is period of activity of family of,rdatd:periodOfActivityOfFamilyOf.en,rdatd:P70053,property,rdac:C10010,rdat:P70053,rdatd:P70012,rdatd:P70052,Published
is date of capture of representative expression of,rdatd:dateOfCaptureOfRepresentativeExpressionOf.en,rdatd:P70054,property,rdac:C10010,rdat:P70054,rdatd:P70001,,Published
is duration of representative expression of (Deprecated),rdatd:durationOfRepresentativeExpressionOf.en,rdatd:P70055,property,rdac:C10010,rdat:P70055,rdatd:P70001,,Deprecated
is date of usage of,rdatd:dateOfUsageOf.en,rdatd:P70056,property,rdac:C10010,rdat:P70056,rdatd:P70009,,Published
is date of representative expression of,rdatd:dateOfRepresentativeExpressionOf.en,rdatd:P70057,property,rdac:C10010,rdat:P70057,rdatd:P70001,,Published
has related entity of timespan,rdatd:relatedEntityOfTimespan.en,rdatd:P70058,property,rdac:C10010,rdat:P70058,rdaxd:P00028,,Published
has category of timespan,rdatd:categoryOfTimespan.en,rdatd:P70059,property,rdac:C10010,rdat:P70059,rdaxd:P00029,,Published
is beginning of,rdatd:beginningOf.en,rdatd:P70061,property,rdac:C10010,rdat:P70061,rdatd:P70034,,Published
is ending of,rdatd:endingOf.en,rdatd:P70062,property,rdac:C10010,rdat:P70062,rdatd:P70034,,Published
is timespan described by,rdatd:timespanDescribedBy.en,rdatd:P70060,property,rdac:C10010,rdat:P70060,rdatd:P70014,,Published
is timespan described with metadata by,rdatd:timespanDescribedWithMetadataBy.en,rdatd:P70063,property,rdac:C10010,rdat:P70063,rdatd:P70060,,Published
