*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has related work of timespan,rdato:relatedWorkOfTimespan.en,rdato:P70001,property,rdac:C10010,rdac:C10001,rdat:P70001,rdato:P70010,rdaxo:P00002,rdawo:P10317,Published,
has related expression of timespan,rdato:relatedExpressionOfTimespan.en,rdato:P70002,property,rdac:C10010,rdac:C10006,rdat:P70002,rdato:P70010,rdaxo:P00003,rdaeo:P20307,Published,
has related manifestation of timespan,rdato:relatedManifestationOfTimespan.en,rdato:P70003,property,rdac:C10010,rdac:C10007,rdat:P70003,rdato:P70010,rdaxo:P00004,rdamo:P30273,Published,
has related item of timespan,rdato:relatedItemOfTimespan.en,rdato:P70004,property,rdac:C10010,rdac:C10003,rdat:P70004,rdato:P70010,rdaxo:P00005,rdaio:P40078,Published,
has related agent of timespan,rdato:relatedAgentOfTimespan.en,rdato:P70005,property,rdac:C10010,rdac:C10002,rdat:P70005,rdato:P70010,rdaxo:P00006,rdaao:P50339,Published,
has related collective agent of timespan,rdato:relatedCollectiveAgentOfTimespan.en,rdato:P70006,property,rdac:C10010,rdac:C10011,rdat:P70006,rdato:P70005,rdaxo:P00012,rdaao:P50343,Published,
has related place of timespan,rdato:relatedPlaceOfTimespan.en,rdato:P70007,property,rdac:C10010,rdac:C10009,rdat:P70007,rdato:P70010,rdaxo:P00010,rdapo:P70011,Published,
has related timespan of timespan,rdato:relatedTimespanOfTimespan.en,rdato:P70008,property,rdac:C10010,rdac:C10010,rdat:P70008,rdato:P70010,rdaxo:P00011,rdato:P70008,Published,
has related nomen of timespan,rdato:relatedNomenOfTimespan.en,rdato:P70009,property,rdac:C10010,rdac:C10012,rdat:P70009,rdato:P70010,rdaxo:P00013,rdano:P80008,Published,
has related RDA entity of timespan,rdato:relatedRDAEntityOfTimespan.en,rdato:P70010,property,rdac:C10010,rdac:C10013,rdat:P70010,rdaxo:P00001,rdaxo:P00001,rdaxo:P00011,Published,
has related person of timespan,rdato:relatedPersonOfTimespan.en,rdato:P70011,property,rdac:C10010,rdac:C10004,rdat:P70011,rdato:P70005,rdaxo:P00007,rdaao:P50347,Published,
has related family of timespan,rdato:relatedFamilyOfTimespan.en,rdato:P70012,property,rdac:C10010,rdac:C10008,rdat:P70012,rdato:P70006,rdaxo:P00008,rdaao:P50355,Published,
has related corporate body of timespan,rdato:relatedCorporateBodyOfTimespan.en,rdato:P70013,property,rdac:C10010,rdac:C10005,rdat:P70013,rdato:P70006,rdaxo:P00009,rdaao:P50351,Published,
is subject timespan of,rdato:subjectTimespanOf.en,rdato:P70014,property,rdac:C10010,rdac:C10001,rdat:P70014,rdato:P70001,rdaxo:P00014,rdawo:P10322,Published,
has access point for timespan,rdato:accessPointForTimespan.en,rdato:P70015,property,rdac:C10010,rdac:C10012,rdat:P70015,rdato:P70016,rdaxo:P00016,rdano:P80026,Published,
has appellation of timespan,rdato:appellationOfTimespan.en,rdato:P70016,property,rdac:C10010,rdac:C10012,rdat:P70016,rdato:P70009,rdaxo:P00017,rdano:P80043,Published,
has name of timespan,rdato:nameOfTimespan.en,rdato:P70017,property,rdac:C10010,rdac:C10012,rdat:P70017,rdato:P70016,rdaxo:P00019,rdano:P80044,Published,
has identifier for timespan,rdato:identifierForTimespan.en,rdato:P70018,property,rdac:C10010,rdac:C10012,rdat:P70018,rdato:P70016,rdaxo:P00018,rdano:P80050,Published,
is copyright date of,rdato:copyrightDateOf.en,rdato:P70019,property,rdac:C10010,rdac:C10007,rdat:P70019,rdato:P70020,,rdamo:P30007,Published,
is date of manifestation of,rdato:dateOfManifestationOf.en,rdato:P70020,property,rdac:C10010,rdac:C10007,rdat:P70020,rdato:P70003,,rdamo:P30278,Published,
is epoch of,rdato:epochOf.en,rdato:P70021,property,rdac:C10010,rdac:C10001,rdat:P70021,rdato:P70001,,rdawo:P10199,Published,
is date of work of,rdato:dateOfWorkOf.en,rdato:P70022,property,rdac:C10010,rdac:C10001,rdat:P70022,rdato:P70001,,rdawo:P10219,Published,
is date of capture of,rdato:dateOfCaptureOf.en,rdato:P70023,property,rdac:C10010,rdac:C10006,rdat:P70023,rdato:P70024,,rdaeo:P20004,Published,
is date of expression of,rdato:dateOfExpressionOf.en,rdato:P70024,property,rdac:C10010,rdac:C10006,rdat:P70024,rdato:P70002,,rdaeo:P20214,Published,
is date of distribution of,rdato:dateOfDistributionOf.en,rdato:P70025,property,rdac:C10010,rdac:C10007,rdat:P70025,rdato:P70020,,rdamo:P30008,Published,
is date of manufacture of,rdato:dateOfManufactureOf.en,rdato:P70026,property,rdac:C10010,rdac:C10007,rdat:P70026,rdato:P70020,,rdamo:P30010,Published,
is date of production of,rdato:dateOfProductionOf.en,rdato:P70027,property,rdac:C10010,rdac:C10007,rdat:P70027,rdato:P70020,,rdamo:P30009,Published,
is date of publication of,rdato:dateOfPublicationOf.en,rdato:P70028,property,rdac:C10010,rdac:C10007,rdat:P70028,rdato:P70020,,rdamo:P30011,Published,
is date of birth of,rdato:dateOfBirthOf.en,rdato:P70029,property,rdac:C10010,rdac:C10004,rdat:P70029,rdato:P70011,,rdaao:P50121,Published,
is date of death of,rdato:dateOfDeathOf.en,rdato:P70030,property,rdac:C10010,rdac:C10004,rdat:P70030,rdato:P70011,,rdaao:P50120,Published,
is date of conference of,rdato:dateOfConferenceOf.en,rdato:P70031,property,rdac:C10010,rdac:C10005,rdat:P70031,rdato:P70013,,rdaao:P50039,Published,
is date of establishment of,rdato:dateOfEstablishmentOf.en,rdato:P70032,property,rdac:C10010,rdac:C10005,rdat:P70032,rdato:P70013,,rdaao:P50037,Published,
is date of termination of,rdato:dateOfTerminationOf.en,rdato:P70033,property,rdac:C10010,rdac:C10005,rdat:P70033,rdato:P70013,,rdaao:P50038,Published,
is part of timespan,rdato:partOfTimespan.en,rdato:P70034,property,rdac:C10010,rdac:C10010,rdat:P70034,rdato:P70008,,rdato:P70035,Published,
has part timespan,rdato:partTimespan.en,rdato:P70035,property,rdac:C10010,rdac:C10010,rdat:P70035,rdato:P70008,,rdato:P70034,Published,
has beginning,rdato:beginning.en,rdato:P70039,property,rdac:C10010,rdac:C10010,rdat:P70039,rdato:P70035,,rdato:P70061,Published,
has ending,rdato:ending.en,rdato:P70040,property,rdac:C10010,rdac:C10010,rdat:P70040,rdato:P70035,,rdato:P70062,Published,
is equinox of,rdato:equinoxOf.en,rdato:P70042,property,rdac:C10010,rdac:C10001,rdat:P70042,rdato:P70001,,rdawo:P10214,Published,
is period of activity of corporate body of,rdato:periodOfActivityOfCorporateBodyOf.en,rdato:P70043,property,rdac:C10010,rdac:C10005,rdat:P70043,rdato:P70013,rdato:P70052,rdaao:P50236,Published,
is period of activity of person of,rdato:periodOfActivityOfPersonOf.en,rdato:P70044,property,rdac:C10010,rdac:C10004,rdat:P70044,rdato:P70011,rdato:P70051,rdaao:P50098,Published,
is year degree granted of,rdato:yearDegreeGrantedOf.en,rdato:P70046,property,rdac:C10010,rdac:C10001,rdat:P70046,rdato:P70022,,rdawo:P10215,Published,
