*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,*uri,*type,subPropertyOf[0],inverseOf,*status,See Also[0]
has abbreviated title,rdau:abbreviatedTitle.en,Relates a resource to a title that is abbreviated for purposes of indexing or identification.,,,rdau:P60359,property,rdau:P60369,rdau:P61111,Published,
is abbreviated title of,rdau:abbreviatedTitleOf.en,Relates a nomen to a resource that has a title of resource that has been abbreviated for purposes of indexing or identification.,,,rdau:P61111,property,,rdau:P60359,Published,
is abridged as,rdau:abridgedAs.en,Relates a resource to a resource that shortens a related resource without changing the general meaning or manner of presentation.,,,rdau:P60275,property,rdau:P60250,rdau:P60223,Published,
is abridgement of,rdau:abridgementOf.en,Relates a resource to a resource that is shortened as a related resoure without changing the general meaning or manner of presentation.,,,rdau:P60223,property,rdau:P60305,rdau:P60275,Published,
has abridger,rdau:abridger.en,Relates a resource to an agent who contributes to a resource by shortening an a related resource without changing the general meaning or manner of presentation.,Substantial modification that results in the creation of a new resource is excluded.,,rdau:P60394,property,rdau:P60398,rdau:P60622,Published,rdau:P60434
is abridger of,rdau:abridgerOf.en,Relates an agent to a resource that includes a contribution by an agent of shortening another resource without changing the general meaning or manner of presentation.,,,rdau:P60622,property,rdau:P60626,rdau:P60394,Published,rdau:P60663
has absorbed agent,rdau:absorbedAgent.en,Relates an agent to an agent who was absorbed by another agent.,,,rdau:P60901,property,,rdau:P60902,Published,
is absorbed by,rdau:absorbedBy.en,Relates a resource to a resource whose content incorporates the content of another resource.,,,rdau:P60247,property,rdau:P60278,rdau:P60574,Published,
is absorbed in part by,rdau:absorbedInPartBy.en,Relates a resource to a resource whose content incorporates the partial content of another resource.,,,rdau:P60248,property,rdau:P60278,rdau:P60575,Published,
has absorbing agent,rdau:absorbingAgent.en,Relates an agent to an agent who absorbed another agent.,,,rdau:P60902,property,,rdau:P60901,Published,
is absorption in part of,rdau:absorptionInPartOf.en,Relates a resource to a resource whose partial content is incorporated in the content of another resource.,,,rdau:P60575,property,rdau:P60261,rdau:P60248,Published,
is absorption of,rdau:absorptionOf.en,Relates a resource to a resource whose content is incorporated in the content of another resource.,,,rdau:P60574,property,rdau:P60261,rdau:P60247,Published,
is abstracted as,rdau:abstractedAs.en,"Relates a resource to a resource that abbreviates another resource in a brief, objective manner.",,,rdau:P60203,property,rdau:P60250,rdau:P60224,Published,
is abstracted in,rdau:abstractedIn.en,Relates a resource to a resource that abstracts the contents of another resource.,,,rdau:P60177,property,rdau:P60250,rdau:P60308,Published,
is abstract of,rdau:abstractOf.en,"Relates a resource to a resource that is abbreviated in a brief, objective manner.",,,rdau:P60224,property,rdau:P60305,rdau:P60203,Published,
is abstracts for,rdau:abstractsFor.en,Relates a resource to a resource that is abstracted by another resource.,,,rdau:P60308,property,rdau:P60305,rdau:P60177,Published,
has academic degree,rdau:academicDegree.en,Relates a resource to a rank conferred as a guarantee of academic proficiency.,,,rdau:P60175,property,,,Published,
has academic supervisor,rdau:academicSupervisor.en,"Relates a resource to an agent who is responsible for overseeing academic activity of any kind that results in a resource, including theses, research, and projects.",,,rdau:P61096,property,,,Published,
has accessibility content,rdau:accessibilityContent.en,Relates a resource to an indication of the kinds of resource that provide alternative sensory modes to perceive the main resources that are embodied by an augmentation aggregate.,"Accessibility content includes accessible labels, audio description, captioning, image description, sign language, and subtitles. Accessibility content does not include subtitles in a language different from the spoken content.",,rdau:P60487,property,,,Published,
has access point for agent,rdau:accessPointForAgent.en,Relates an agent to an appellation of agent in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,rdau:P61162,property,rdau:P60906,rdau:P61163,Published,
is access point for agent of,rdau:accessPointForAgentOf.en,Relates a nomen to an agent who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,rdau:P61163,property,rdau:P60910,rdau:P61162,Published,
has access point for entity,rdau:accessPointForEntity.en,Relates an entity to an appellation of entity in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,rdau:P60906,property,rdau:P60909,rdau:P60910,Published,
