*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
has respondent,rdaw:respondent.en,Relates a work to a person who is a candidate for a degree who defends or opposes a thesis provided by the praeses in an academic disputation.,,,,,,respondent,A person who is a candidate for a degree who defends or opposes a thesis provided by the praeses in an academic disputation.,rdaw:P10001,property,rdac:C10001,rdaw:P10437,,Published,18.5,2,
has identifier for work,rdaw:identifierForWork.en,"Relates a work to a nomen that is an appellation of work that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a work.",,,,,,identifier for work,"A nomen that is an appellation of work that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a work.",rdaw:P10002,property,rdac:C10001,rdaw:P10329,rdax:P00018,Published,6.8,3,
has other distinguishing characteristic of work (Deprecated),rdaw:otherDistinguishingCharacteristicOfWork.en,"Relates a work to a characteristic, other than form of work, date of work, or place of origin of the work, that serves to differentiate a work from another work with the same preferred title of work. (Deprecated)",,,,,,other distinguishing characteristic of work (Deprecated),"A characteristic, other than form of work, date of work, or place of origin of the work, that serves to differentiate a work from another work with the same preferred title of work. (Deprecated)",rdaw:P10003,property,rdac:C10001,,,Deprecated,6.6,3,
has category of work,rdaw:categoryOfWork.en,Relates a work to a type to which a work belongs.,Includes a class or genre.,form of work,,,,category of work,A type to which a work belongs.,rdaw:P10004,property,rdac:C10001,rdax:P00029,,Published,6.3,5,
has appellee corporate body,rdaw:appelleeCorporateBody.en,Relates a work to a corporate body against whom an appeal is taken on a decision of a lower court recorded in a legal work of a higher court.,,,,,,appellee corporate body,A corporate body against whom an appeal is taken on a decision of a lower court recorded in a legal work of a higher court.,rdaw:P10005,property,rdac:C10001,rdaw:P10531,,Published,18.5,2,
has degree granting institution,rdaw:degreeGrantingInstitution.en,Relates a work to a corporate body who approves a work that is a thesis or dissertation associated with an academic degree.,,granting institution or faculty,,,,degree granting institution,A corporate body who approves a work that is a thesis or dissertation associated with an academic degree.,rdaw:P10006,property,rdac:C10001,rdaw:P10531,,Published,18.5,2,
has hosting institution,rdaw:hostingInstitution.en,"Relates a work to a corporate body who hosts a conference, exhibition, or other event that gives rise to a work, but has little or no responsibility for the content.",,host institution,,,,hosting institution,"A corporate body who hosts a conference, exhibition, or other event that gives rise to a work, but has little or no responsibility for the content.",rdaw:P10007,property,rdac:C10001,rdaw:P10314,,Published,18.5,2,
has production company,rdaw:productionCompany.en,"Relates a work to a corporate body who is responsible for managing the financial, technical, and organizational aspects of a production for stage, screen, sound recording, television, webcast, etc.",,,,,,production company,"A corporate body who is responsible for managing the financial, technical, and organizational aspects of a production for stage, screen, sound recording, television, webcast, etc.",rdaw:P10008,property,rdac:C10001,rdaw:P10531,,Published,18.5,2,
has appellant corporate body,rdaw:appellantCorporateBody.en,Relates a work to a corporate body who appeals a decision of a lower court recorded in a legal work of a higher court.,,,,,,appellant corporate body,A corporate body who appeals a decision of a lower court recorded in a legal work of a higher court.,rdaw:P10009,property,rdac:C10001,rdaw:P10531,,Published,18.5,2,
has plaintiff corporate body,rdaw:plaintiffCorporateBody.en,Relates a work to a corporate body who brings a suit in a civil proceeding.,,,,,,plaintiff corporate body,A corporate body who brings a suit in a civil proceeding.,rdaw:P10010,property,rdac:C10001,rdaw:P10531,,Published,18.5,2,
has court governed,rdaw:courtGoverned.en,"Relates a work to a corporate body that is a court governed by court rules, regardless of their official nature.",,,,,,court governed,"A corporate body that is a court governed by court rules, regardless of their official nature.",rdaw:P10011,property,rdac:C10001,rdaw:P10531,,Published,18.5,2,
has numbering of part,rdaw:numberingOfPart.en,Relates a work to a designation that is assigned to a work to identify its position in a sequence of individual parts of a larger work.,"Numbering may include dates or other timespans, and alphanumeric or other characters.",,,,,numbering of part,A designation that is assigned to a work to identify its position in a sequence of individual parts of a larger work.,rdaw:P10012,property,rdac:C10001,,,Published,24.6,6,
has film director agent,rdaw:filmDirectorAgent.en,Relates a work to an agent who is a director who is responsible for the general management and supervision of a filmed performance.,,film director,,,,film director agent,An agent who is a director who is responsible for the general management and supervision of a filmed performance.,rdaw:P10013,property,rdac:C10001,rdaw:P10066,,Published,18.5,2,
has radio director agent,rdaw:radioDirectorAgent.en,Relates a work to an agent who is a director who is responsible for the general management and supervision of a radio program.,,radio director,,,,radio director agent,An agent who is a director who is responsible for the general management and supervision of a radio program.,rdaw:P10014,property,rdac:C10001,rdaw:P10066,,Published,18.5,2,
has television director agent,rdaw:televisionDirectorAgent.en,Relates a work to an agent who is a director who is responsible for the general management and supervision of a television program.,,television director,,,,television director agent,An agent who is a director who is responsible for the general management and supervision of a television program.,rdaw:P10015,property,rdac:C10001,rdaw:P10066,,Published,18.5,2,
is dramatized as work,rdaw:dramatizedAsWork.en,Relates a work to a work that is a dramatic work that is adapted from another work.,,,,,,dramatized as work,A work that is a dramatic work that is adapted from another work.,rdaw:P10016,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
has enacting government,rdaw:enactingGovernment.en,"Relates a work to a corporate body who is a government enacting a work that is a law, regulation, constitution, court rule, or other legislation.",,enacting jurisdiction,,,,enacting government,"A corporate body who is a government enacting a work that is a law, regulation, constitution, court rule, or other legislation.",rdaw:P10017,property,rdac:C10001,rdaw:P10531,,Published,18.5,2,
has jurisdiction governed (Deprecated),rdaw:jurisdictionGoverned.en,"Relates a work to a jurisdiction governed by a law, regulation, etc., that was enacted by another jurisdiction. (Deprecated)",,,,,,jurisdiction governed (Deprecated),"A jurisdiction governed by a law, regulation, etc., that was enacted by another jurisdiction. (Deprecated)",rdaw:P10018,property,rdac:C10001,rdaw:P10047,,Deprecated,18.5,,
is part of work,rdaw:partOfWork.en,Relates a work to a work that has another work as a discrete component.,A part work is considered to be essential to the whole work.,contained in (work),,,,part of work,A work that has another work as a discrete component.,rdaw:P10019,property,rdac:C10001,rdaw:P10198,,Published,24.5,2,
has sequel work,rdaw:sequelWork.en,Relates a work to a work that extends the narrative of another work forwards in time.,,prequel to,sequel,,,sequel work,A work that extends the narrative of another work forwards in time.,rdaw:P10020,property,rdac:C10001,rdaw:P10198,,Published,24.5,2,
is replaced in part by work,rdaw:replacedInPartByWork.en,Relates a work to a work whose content partially supersedes and renders obsolete the content of another work.,This element applies in general to a static work or an integrating work.,,,,,replaced in part by work,A work whose content partially supersedes and renders obsolete the content of another work.,rdaw:P10021,property,rdac:C10001,rdaw:P10170,,Published,24.5,2,
is replaced by work,rdaw:replacedByWork.en,Relates a work to a work whose content supersedes and renders obsolete the content of another work.,This element applies in general to a static work or an integrating work.,,,,,replaced by work,A work whose content supersedes and renders obsolete the content of another work.,rdaw:P10022,property,rdac:C10001,rdaw:P10170,,Published,24.5,2,
is adapted in verse as work,rdaw:adaptedInVerseAsWork.en,Relates a work to a work that is a literary composition in verse form adapted from another work.,,,,,,adapted in verse as work,A work that is a literary composition in verse form adapted from another work.,rdaw:P10023,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
