*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has respondent,rdawd:respondent.en,rdawd:P10001,property,rdac:C10001,rdaw:P10001,rdawd:P10437,,Published
has identifier for work,rdawd:identifierForWork.en,rdawd:P10002,property,rdac:C10001,rdaw:P10002,rdawd:P10329,rdaxd:P00018,Published
has other distinguishing characteristic of work (Deprecated),rdawd:otherDistinguishingCharacteristicOfWork.en,rdawd:P10003,property,rdac:C10001,rdaw:P10003,,,Deprecated
has category of work,rdawd:categoryOfWork.en,rdawd:P10004,property,rdac:C10001,rdaw:P10004,rdaxd:P00029,,Published
has appellee corporate body,rdawd:appelleeCorporateBody.en,rdawd:P10005,property,rdac:C10001,rdaw:P10005,rdawd:P10531,,Published
has degree granting institution,rdawd:degreeGrantingInstitution.en,rdawd:P10006,property,rdac:C10001,rdaw:P10006,rdawd:P10531,,Published
has hosting institution,rdawd:hostingInstitution.en,rdawd:P10007,property,rdac:C10001,rdaw:P10007,rdawd:P10314,,Published
has production company,rdawd:productionCompany.en,rdawd:P10008,property,rdac:C10001,rdaw:P10008,rdawd:P10531,,Published
has appellant corporate body,rdawd:appellantCorporateBody.en,rdawd:P10009,property,rdac:C10001,rdaw:P10009,rdawd:P10531,,Published
has plaintiff corporate body,rdawd:plaintiffCorporateBody.en,rdawd:P10010,property,rdac:C10001,rdaw:P10010,rdawd:P10531,,Published
has court governed,rdawd:courtGoverned.en,rdawd:P10011,property,rdac:C10001,rdaw:P10011,rdawd:P10531,,Published
has numbering of part,rdawd:numberingOfPart.en,rdawd:P10012,property,rdac:C10001,rdaw:P10012,,,Published
has film director agent,rdawd:filmDirectorAgent.en,rdawd:P10013,property,rdac:C10001,rdaw:P10013,rdawd:P10066,,Published
has radio director agent,rdawd:radioDirectorAgent.en,rdawd:P10014,property,rdac:C10001,rdaw:P10014,rdawd:P10066,,Published
has television director agent,rdawd:televisionDirectorAgent.en,rdawd:P10015,property,rdac:C10001,rdaw:P10015,rdawd:P10066,,Published
is dramatized as work,rdawd:dramatizedAsWork.en,rdawd:P10016,property,rdac:C10001,rdaw:P10016,rdawd:P10155,,Published
has enacting jurisdiction,rdawd:enactingJurisdiction.en,rdawd:P10017,property,rdac:C10001,rdaw:P10017,rdawd:P10065,,Published
has jurisdiction governed (Deprecated),rdawd:jurisdictionGoverned.en,rdawd:P10018,property,rdac:C10001,rdaw:P10018,,,Deprecated
is part of work,rdawd:partOfWork.en,rdawd:P10019,property,rdac:C10001,rdaw:P10019,rdawd:P10198,,Published
has sequel work,rdawd:sequelWork.en,rdawd:P10020,property,rdac:C10001,rdaw:P10020,rdawd:P10198,,Published
is replaced in part by work,rdawd:replacedInPartByWork.en,rdawd:P10021,property,rdac:C10001,rdaw:P10021,rdawd:P10170,,Published
is replaced by work,rdawd:replacedByWork.en,rdawd:P10022,property,rdac:C10001,rdaw:P10022,rdawd:P10170,,Published
is adapted in verse as work,rdawd:adaptedInVerseAsWork.en,rdawd:P10023,property,rdac:C10001,rdaw:P10023,rdawd:P10155,,Published
has coordinates of cartographic content,rdawd:coordinatesOfCartographicContent.en,rdawd:P10024,property,rdac:C10001,rdaw:P10024,rdawd:P10316,,Published
is adapted as motion picture work,rdawd:adaptedAsMotionPictureWork.en,rdawd:P10025,property,rdac:C10001,rdaw:P10025,rdawd:P10155,,Published
has cadenza work,rdawd:cadenzaWork.en,rdawd:P10026,property,rdac:C10001,rdaw:P10026,rdawd:P10108,,Published
is variations based on work,rdawd:variationsBasedOnWork.en,rdawd:P10027,property,rdac:C10001,rdaw:P10027,rdawd:P10190,,Published
is modified by variation as work,rdawd:modifiedByVariationAsWork.en,rdawd:P10028,property,rdac:C10001,rdaw:P10028,rdawd:P10148,,Published
is cadenza composed for work,rdawd:cadenzaComposedForWork.en,rdawd:P10029,property,rdac:C10001,rdaw:P10029,rdawd:P10192,,Published
is libretto for work,rdawd:librettoForWork.en,rdawd:P10030,property,rdac:C10001,rdaw:P10030,rdawd:P10372,,Published
has incidental music work,rdawd:incidentalMusicWork.en,rdawd:P10031,property,rdac:C10001,rdaw:P10031,rdawd:P10237,,Published
is remade as work,rdawd:remadeAsWork.en,rdawd:P10032,property,rdac:C10001,rdaw:P10032,rdawd:P10340,,Published
is set to music as work,rdawd:setToMusicAsWork.en,rdawd:P10033,property,rdac:C10001,rdaw:P10033,rdawd:P10148,,Published
is adapted as novel work,rdawd:adaptedAsNovelWork.en,rdawd:P10034,property,rdac:C10001,rdaw:P10034,rdawd:P10155,,Published
has appellee person,rdawd:appelleePerson.en,rdawd:P10035,property,rdac:C10001,rdaw:P10035,rdawd:P10437,,Published
has medium,rdawd:medium.en,rdawd:P10036,property,rdac:C10001,rdaw:P10036,rdawd:P10437,,Published
has degree supervisor,rdawd:degreeSupervisor.en,rdawd:P10041,property,rdac:C10001,rdaw:P10041,rdawd:P10407,,Published
has appellant person,rdawd:appellantPerson.en,rdawd:P10042,property,rdac:C10001,rdaw:P10042,rdawd:P10437,,Published
has plaintiff person,rdawd:plaintiffPerson.en,rdawd:P10043,property,rdac:C10001,rdaw:P10043,rdawd:P10437,,Published
has judge,rdawd:judge.en,rdawd:P10044,property,rdac:C10001,rdaw:P10044,rdawd:P10437,,Published
has praeses,rdawd:praeses.en,rdawd:P10045,property,rdac:C10001,rdaw:P10045,rdawd:P10437,,Published
has issuing body agent,rdawd:issuingBodyAgent.en,rdawd:P10046,property,rdac:C10001,rdaw:P10046,rdawd:P10311,,Published
has other agent associated with work (Deprecated),rdawd:otherAgentWork.en,rdawd:P10047,property,rdac:C10001,rdaw:P10047,rdawd:P10311,,Deprecated
has dedicator agent,rdawd:dedicatorAgent.en,rdawd:P10048,property,rdac:C10001,rdaw:P10048,rdawd:P10065,,Published
has honouree agent of work,rdawd:honoureeAgentOfWork.en,rdawd:P10049,property,rdac:C10001,rdaw:P10049,rdawd:P10311,,Published
has programmer agent,rdawd:programmerAgent.en,rdawd:P10050,property,rdac:C10001,rdaw:P10050,rdawd:P10065,,Published
has designer agent,rdawd:designerAgent.en,rdawd:P10051,property,rdac:C10001,rdaw:P10051,rdawd:P10065,,Published
has cartographer agent of work,rdawd:cartographerAgentOfWork.en,rdawd:P10052,property,rdac:C10001,rdaw:P10052,rdawd:P10065,,Published
has composer agent of work,rdawd:composerAgentOfWork.en,rdawd:P10053,property,rdac:C10001,rdaw:P10053,rdawd:P10065,,Published
has inventor agent,rdawd:inventorAgent.en,rdawd:P10054,property,rdac:C10001,rdaw:P10054,rdawd:P10065,,Published
has compiler agent,rdawd:compilerAgent.en,rdawd:P10055,property,rdac:C10001,rdaw:P10055,rdawd:P10065,,Published
has photographer agent of work,rdawd:photographerOfWorkAgent.en,rdawd:P10056,property,rdac:C10001,rdaw:P10056,rdawd:P10065,,Published
has interviewer agent of work,rdawd:interviewerAgentOfWork.en,rdawd:P10057,property,rdac:C10001,rdaw:P10057,rdawd:P10065,,Published
has artist agent,rdawd:artistAgent.en,rdawd:P10058,property,rdac:C10001,rdaw:P10058,rdawd:P10065,,Published
has interviewee agent of work,rdawd:intervieweeAgentOfWork.en,rdawd:P10059,property,rdac:C10001,rdaw:P10059,rdawd:P10065,,Published
has choreographer agent,rdawd:choreographerAgent.en,rdawd:P10060,property,rdac:C10001,rdaw:P10060,rdawd:P10065,,Published
has author agent,rdawd:authorAgent.en,rdawd:P10061,property,rdac:C10001,rdaw:P10061,rdawd:P10065,,Published
has architect agent,rdawd:architectAgent.en,rdawd:P10062,property,rdac:C10001,rdaw:P10062,rdawd:P10065,,Published
has filmmaker agent,rdawd:filmmakerAgent.en,rdawd:P10063,property,rdac:C10001,rdaw:P10063,rdawd:P10065,,Published
has producer agent,rdawd:producerAgent.en,rdawd:P10064,property,rdac:C10001,rdaw:P10064,rdawd:P10065,,Published
has creator agent of work,rdawd:creatorAgentOfWork.en,rdawd:P10065,property,rdac:C10001,rdaw:P10065,rdawd:P10311,,Published
has director agent,rdawd:directorAgent.en,rdawd:P10066,property,rdac:C10001,rdaw:P10066,rdawd:P10065,,Published
has sponsoring agent of work,rdawd:sponsoringAgentOfWork.en,rdawd:P10067,property,rdac:C10001,rdaw:P10067,rdawd:P10311,,Published
