*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has respondent,rdawo:respondent.en,rdawo:P10001,property,rdac:C10001,rdac:C10004,rdaw:P10001,rdawo:P10437,,rdaao:P50001,Published,
has identifier for work,rdawo:identifierForWork.en,rdawo:P10002,property,rdac:C10001,rdac:C10012,rdaw:P10002,rdawo:P10329,rdaxo:P00018,rdano:P80049,Published,
has appellee corporate body,rdawo:appelleeCorporateBody.en,rdawo:P10005,property,rdac:C10001,rdac:C10005,rdaw:P10005,rdawo:P10531,,rdaao:P50002,Published,
has degree granting institution,rdawo:degreeGrantingInstitution.en,rdawo:P10006,property,rdac:C10001,rdac:C10005,rdaw:P10006,rdawo:P10531,,rdaao:P50003,Published,
has hosting institution,rdawo:hostingInstitution.en,rdawo:P10007,property,rdac:C10001,rdac:C10005,rdaw:P10007,rdawo:P10314,,rdaao:P50004,Published,
has production company,rdawo:productionCompany.en,rdawo:P10008,property,rdac:C10001,rdac:C10005,rdaw:P10008,rdawo:P10531,,rdaao:P50005,Published,
has appellant corporate body,rdawo:appellantCorporateBody.en,rdawo:P10009,property,rdac:C10001,rdac:C10005,rdaw:P10009,rdawo:P10531,,rdaao:P50042,Published,
has plaintiff corporate body,rdawo:plaintiffCorporateBody.en,rdawo:P10010,property,rdac:C10001,rdac:C10005,rdaw:P10010,rdawo:P10531,,rdaao:P50043,Published,
has court governed,rdawo:courtGoverned.en,rdawo:P10011,property,rdac:C10001,rdac:C10005,rdaw:P10011,rdawo:P10531,,rdaao:P50044,Published,
has film director agent,rdawo:filmDirectorAgent.en,rdawo:P10013,property,rdac:C10001,rdac:C10002,rdaw:P10013,rdawo:P10066,,rdaao:P50048,Published,
has radio director agent,rdawo:radioDirectorAgent.en,rdawo:P10014,property,rdac:C10001,rdac:C10002,rdaw:P10014,rdawo:P10066,,rdaao:P50049,Published,
has television director agent,rdawo:televisionDirectorAgent.en,rdawo:P10015,property,rdac:C10001,rdac:C10002,rdaw:P10015,rdawo:P10066,,rdaao:P50050,Published,
is dramatized as work,rdawo:dramatizedAsWork.en,rdawo:P10016,property,rdac:C10001,rdac:C10001,rdaw:P10016,rdawo:P10155,,rdawo:P10127,Published,
has enacting jurisdiction,rdawo:enactingJurisdiction.en,rdawo:P10017,property,rdac:C10001,rdac:C10005,rdaw:P10017,rdawo:P10531,,rdaao:P50068,Published,
has jurisdiction governed (Deprecated),rdawo:jurisdictionGoverned.en,rdawo:P10018,property,rdac:C10001,rdac:C10005,rdaw:P10018,rdawo:P10047,,rdaao:P50069,Deprecated,
is part of work,rdawo:partOfWork.en,rdawo:P10019,property,rdac:C10001,rdac:C10001,rdaw:P10019,rdawo:P10198,,rdawo:P10147,Published,
has sequel work,rdawo:sequelWork.en,rdawo:P10020,property,rdac:C10001,rdac:C10001,rdaw:P10020,rdawo:P10198,,rdawo:P10122,Published,
is replaced in part by work,rdawo:replacedInPartByWork.en,rdawo:P10021,property,rdac:C10001,rdac:C10001,rdaw:P10021,rdawo:P10170,,rdawo:P10206,Published,
is replaced by work,rdawo:replacedByWork.en,rdawo:P10022,property,rdac:C10001,rdac:C10001,rdaw:P10022,rdawo:P10170,,rdawo:P10207,Published,
is adapted in verse as work,rdawo:adaptedInVerseAsWork.en,rdawo:P10023,property,rdac:C10001,rdac:C10001,rdaw:P10023,rdawo:P10155,,rdawo:P10128,Published,
has coordinates of cartographic content,rdawo:coordinatesOfCartographicContent.en,rdawo:P10024,property,rdac:C10001,rdac:C10009,rdaw:P10024,rdawo:P10316,,rdapo:P70023,Published,
is adapted as motion picture work,rdawo:adaptedAsMotionPictureWork.en,rdawo:P10025,property,rdac:C10001,rdac:C10001,rdaw:P10025,rdawo:P10155,,rdawo:P10129,Published,
has cadenza work,rdawo:cadenzaWork.en,rdawo:P10026,property,rdac:C10001,rdac:C10001,rdaw:P10026,rdawo:P10108,,rdawo:P10029,Published,
is variations based on work,rdawo:variationsBasedOnWork.en,rdawo:P10027,property,rdac:C10001,rdac:C10001,rdaw:P10027,rdawo:P10190,,rdawo:P10028,Published,
is modified by variation as work,rdawo:modifiedByVariationAsWork.en,rdawo:P10028,property,rdac:C10001,rdac:C10001,rdaw:P10028,rdawo:P10148,,rdawo:P10027,Published,
is cadenza composed for work,rdawo:cadenzaComposedForWork.en,rdawo:P10029,property,rdac:C10001,rdac:C10001,rdaw:P10029,rdawo:P10192,,rdawo:P10026,Published,
is libretto for work,rdawo:librettoForWork.en,rdawo:P10030,property,rdac:C10001,rdac:C10001,rdaw:P10030,rdawo:P10372,,rdawo:P10165,Published,
has incidental music work,rdawo:incidentalMusicWork.en,rdawo:P10031,property,rdac:C10001,rdac:C10001,rdaw:P10031,rdawo:P10237,,rdawo:P10106,Published,
is remade as work,rdawo:remadeAsWork.en,rdawo:P10032,property,rdac:C10001,rdac:C10001,rdaw:P10032,rdawo:P10340,,rdawo:P10185,Published,
is set to music as work,rdawo:setToMusicAsWork.en,rdawo:P10033,property,rdac:C10001,rdac:C10001,rdaw:P10033,rdawo:P10148,,rdawo:P10161,Published,
is adapted as novel work,rdawo:adaptedAsNovelWork.en,rdawo:P10034,property,rdac:C10001,rdac:C10001,rdaw:P10034,rdawo:P10155,,rdawo:P10130,Published,
has appellee person,rdawo:appelleePerson.en,rdawo:P10035,property,rdac:C10001,rdac:C10004,rdaw:P10035,rdawo:P10437,,rdaao:P50085,Published,
has medium,rdawo:medium.en,rdawo:P10036,property,rdac:C10001,rdac:C10004,rdaw:P10036,rdawo:P10437,,rdaao:P50086,Published,
has degree supervisor,rdawo:degreeSupervisor.en,rdawo:P10041,property,rdac:C10001,rdac:C10004,rdaw:P10041,rdawo:P10407,,rdaao:P50091,Published,
has appellant person,rdawo:appellantPerson.en,rdawo:P10042,property,rdac:C10001,rdac:C10004,rdaw:P10042,rdawo:P10437,,rdaao:P50122,Published,
has plaintiff person,rdawo:plaintiffPerson.en,rdawo:P10043,property,rdac:C10001,rdac:C10004,rdaw:P10043,rdawo:P10437,,rdaao:P50124,Published,
has judge,rdawo:judge.en,rdawo:P10044,property,rdac:C10001,rdac:C10004,rdaw:P10044,rdawo:P10437,,rdaao:P50126,Published,
has praeses,rdawo:praeses.en,rdawo:P10045,property,rdac:C10001,rdac:C10004,rdaw:P10045,rdawo:P10437,,rdaao:P50127,Published,
has issuing agent,rdawo:issuingAgent.en,rdawo:P10046,property,rdac:C10001,rdac:C10002,rdaw:P10046,rdawo:P10311,,rdaao:P50130,Published,
has other agent associated with work (Deprecated),rdawo:otherAgentWork.en,rdawo:P10047,property,rdac:C10001,rdac:C10002,rdaw:P10047,rdawo:P10311,,rdaao:P50131,Deprecated,
has dedicator agent,rdawo:dedicatorAgent.en,rdawo:P10048,property,rdac:C10001,rdac:C10002,rdaw:P10048,rdawo:P10065,,rdaao:P50132,Published,
has honouree agent of work,rdawo:honoureeAgentOfWork.en,rdawo:P10049,property,rdac:C10001,rdac:C10002,rdaw:P10049,rdawo:P10311,,rdaao:P50166,Published,
has programmer agent,rdawo:programmerAgent.en,rdawo:P10050,property,rdac:C10001,rdac:C10002,rdaw:P10050,rdawo:P10065,,rdaao:P50184,Published,
has designer agent,rdawo:designerAgent.en,rdawo:P10051,property,rdac:C10001,rdac:C10002,rdaw:P10051,rdawo:P10065,,rdaao:P50185,Published,
has cartographer agent of work,rdawo:cartographerAgentOfWork.en,rdawo:P10052,property,rdac:C10001,rdac:C10002,rdaw:P10052,rdawo:P10065,,rdaao:P50186,Published,
