*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status
has related RDA entity of RDA entity,rdaxd:relatedRDAEntityOfRDAEntity.en,rdaxd:P00001,property,rdac:C10013,rdax:P00001,rdaxd:P00028,Published
has related work of RDA entity,rdaxd:relatedWorkOfRDAEntity.en,rdaxd:P00002,property,rdac:C10013,rdax:P00002,rdaxd:P00001,Published
has related expression of RDA entity,rdaxd:relatedExpressionOfRDAEntity.en,rdaxd:P00003,property,rdac:C10013,rdax:P00003,rdaxd:P00001,Published
has related manifestation of RDA entity,rdaxd:relatedManifestationOfRDAEntity.en,rdaxd:P00004,property,rdac:C10013,rdax:P00004,rdaxd:P00001,Published
has related item of RDA entity,rdaxd:relatedItemOfRDAEntity.en,rdaxd:P00005,property,rdac:C10013,rdax:P00005,rdaxd:P00001,Published
has related agent of RDA entity,rdaxd:relatedAgentOfRDAEntity.en,rdaxd:P00006,property,rdac:C10013,rdax:P00006,rdaxd:P00001,Published
has related person of RDA entity,rdaxd:relatedPersonOfRDAEntity.en,rdaxd:P00007,property,rdac:C10013,rdax:P00007,rdaxd:P00006,Published
has related family of RDA entity,rdaxd:relatedFamilyOfRDAEntity.en,rdaxd:P00008,property,rdac:C10013,rdax:P00008,rdaxd:P00012,Published
has related corporate body of RDA entity,rdaxd:relatedCorporateBodyOfRDAEntity.en,rdaxd:P00009,property,rdac:C10013,rdax:P00009,rdaxd:P00012,Published
has related place of RDA entity,rdaxd:relatedPlaceOfRDAEntity.en,rdaxd:P00010,property,rdac:C10013,rdax:P00010,rdaxd:P00001,Published
has related timespan of RDA entity,rdaxd:relatedTimespanOfRDAEntity.en,rdaxd:P00011,property,rdac:C10013,rdax:P00011,rdaxd:P00001,Published
has related collective agent of RDA entity,rdaxd:relatedCollectiveAgentOfRDAEntity.en,rdaxd:P00012,property,rdac:C10013,rdax:P00012,rdaxd:P00006,Published
has related nomen of RDA entity,rdaxd:relatedNomenOfRDAEntity.en,rdaxd:P00013,property,rdac:C10013,rdax:P00013,rdaxd:P00001,Published
is subject RDA entity of,rdaxd:subjectRDAEntityOf.en,rdaxd:P00014,property,rdac:C10013,rdax:P00014,rdaxd:P00002,Published
has note on RDA entity,rdaxd:noteOnRDAEntity.en,rdaxd:P00015,property,rdac:C10013,rdax:P00015,,Published
has access point for RDA entity,rdaxd:accessPointForRDAEntity.en,rdaxd:P00016,property,rdac:C10013,rdax:P00016,rdaxd:P00017,Published
has appellation of RDA entity,rdaxd:appellationOfRDAEntity.en,rdaxd:P00017,property,rdac:C10013,rdax:P00017,rdaxd:P00013,Published
has identifier for RDA entity,rdaxd:identifierForRDAEntity.en,rdaxd:P00018,property,rdac:C10013,rdax:P00018,rdaxd:P00017,Published
has name of RDA entity,rdaxd:nameOfRDAEntity.en,rdaxd:P00019,property,rdac:C10013,rdax:P00019,rdaxd:P00017,Published
has authorized access point for RDA entity,rdaxd:authorizedAccessPointForRDAEntity.en,rdaxd:P00020,property,rdac:C10013,rdax:P00020,rdaxd:P00016,Published
has preferred name of RDA entity,rdaxd:preferredNameOfRDAEntity.en,rdaxd:P00021,property,rdac:C10013,rdax:P00021,rdaxd:P00019,Published
has variant access point for RDA entity,rdaxd:variantAccessPointForRDAEntity.en,rdaxd:P00022,property,rdac:C10013,rdax:P00022,rdaxd:P00016,Published
has variant name of RDA entity,rdaxd:variantNameOfRDAEntity.en,rdaxd:P00023,property,rdac:C10013,rdax:P00023,rdaxd:P00019,Published
is RDA entity critiqued by,rdaxd:rdaEntityCritiquedBy.en,rdaxd:P00024,property,rdac:C10013,rdax:P00024,rdaxd:P00026,Published
is RDA entity described by,rdaxd:rdaEntityDescribedBy.en,rdaxd:P00025,property,rdac:C10013,rdax:P00025,rdaxd:P00014,Published
is RDA entity evaluated by,rdaxd:rdaEntityEvaluatedBy.en,rdaxd:P00026,property,rdac:C10013,rdax:P00026,rdaxd:P00014,Published
is RDA entity reviewed by,rdaxd:rdaEntityReviewedBy.en,rdaxd:P00027,property,rdac:C10013,rdax:P00027,rdaxd:P00026,Published
has related entity of RDA entity,rdaxd:relatedEntityOfRDAEntity.en,rdaxd:P00028,property,rdac:C10013,rdax:P00028,,Published
has category of RDA entity,rdaxd:categoryOfRDAEntity.en,rdaxd:P00029,property,rdac:C10013,rdax:P00029,,Published
is RDA entity described with metadata by,rdaxd:rdaEntityDescribedWithMetadataBy.en,rdaxd:P00030,property,rdac:C10013,rdax:P00030,rdaxd:P00025,Published
