reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,comment[0]_en,altLabel[0]_en,*uri,*type,*name,subPropertyOf[0],inverseOf,sameAs[0],disjointWith[0],broadMatch[0],closeMatch[0],narrowMatch[0],*status,"See Also[0]"
14603,"is respondent of",rdau:respondentOf.en,"Relates a candidate for a degree who defends or opposes a thesis provided by a praeses in an academic disputation to a resource.",,,,rdau:P60001,property,respondentOf,rdau:P60672,rdau:P60045,,,,,,Published,
14604,"is degree granting institution of",rdau:degreeGrantingInstitutionOf.en,"Relates an agent granting an academic degree to a resource.",,,,rdau:P60002,property,degreeGrantingInstitutionOf,rdau:P60602,rdau:P60060,,,,,,Published,
14605,"is host institution of",rdau:hostInstitutionOf.en,"Relates an agent hosting an event, exhibit, conference, etc., which gave rise to a resource to a resource.",,,,rdau:P60003,property,hostInstitutionOf,rdau:P60602,rdau:P60061,,,,,,Published,
14606,"is production company of",rdau:productionCompanyOf.en,"Relates an agent to a resource that involves a responsibility of an agent for managing the financial, technical, and organizational aspects of a production for stage, screen, sound recording, television, webcast, etc.",,,,rdau:P60004,property,productionCompanyOf,rdau:P60602,rdau:P60062,,,,,,Published,
14607,"is court governed of",rdau:courtGovernedOf.en,"Relates an agent to a resource of a court governed by court rules, regardless of their official nature to a resource.",,,,rdau:P60005,property,courtGovernedOf,rdau:P60602,rdau:P60065,,,,,,Published,
14608,"is collector of",rdau:collectorOf.en,"Relates an agent to a resource brought together with resources from various sources that are arranged, described, and catalogued as a collection.",,,,rdau:P60006,property,collectorOf,rdau:P60604,rdau:P60066,,,,,,Published,
14609,"is collection registrar of",rdau:collectionRegistrarOf.en,"Relates a curator to a resource that is listed or inventoried in an aggregate resource such as a collection of resources.",,,,rdau:P60007,property,collectionRegistrarOf,rdau:P60604,rdau:P60067,,,,,,Published,
14610,"is depositor of",rdau:depositorOf.en,"Relates an agent to a resource that is deposited into the custody of another agent without transferring ownership.",,,,rdau:P60008,property,depositorOf,rdau:P60628,rdau:P60068,,,,,,Published,
14611,"is film director of",rdau:filmDirectorOf.en,"Relates an agent to a resource that involves a responsibility of an agent for the general management and supervision of a filmed performance.",,,,rdau:P60009,property,filmDirectorOf,rdau:P60673,rdau:P60084,,,,,,Published,
14612,"is radio director of",rdau:radioDirectorOf.en,"Relates an agent to a resource that involves a responsibility of an agent for the general management and supervision of a radio program.",,,,rdau:P60010,property,radioDirectorOf,rdau:P60673,rdau:P60085,,,,,,Published,
14613,"is television director of",rdau:televisionDirectorOf.en,"Relates an agent to a resource that involves a responsibility of an agent for the general management and supervision of a television program.",,,,rdau:P60011,property,televisionDirectorOf,rdau:P60673,rdau:P60086,,,,,,Published,
14614,"is donor of",rdau:donorOf.en,"Relates an agent to a resource donated to another owner.",,,,rdau:P60012,property,donorOf,rdau:P60630,rdau:P60091,,,,,,Published,
14615,"is seller of",rdau:sellerOf.en,"Relates an agent to a resource that is sold to another owner who is an agent.",,,,rdau:P60013,property,sellerOf,rdau:P60630,rdau:P60092,,,,,,Published,
14616,"is enacting jurisdiction of",rdau:enactingJurisdictionOf.en,"Relates an agent to a resource that is a law, regulation, constitution, court rule, etc. enacted by a government body.",,,,rdau:P60014,property,enactingJurisdictionOf,rdau:P60672,rdau:P60096,,,,,,Published,
14617,"is jurisdiction governed of",rdau:jurisdictionGovernedOf.en,"Relates an agent to a place that is a jurisdiction governed by a law, regulation, etc., that was enacted by another government.",,,,rdau:P60015,property,jurisdictionGovernedOf,,rdau:P60097,,,,,,Published,
14618,"is conductor of",rdau:conductorOf.en,"Relates an agent to a resource that includes a contribution by an agent of leading of a performing group in a musical or dramatic presentation, etc.",,,,rdau:P60016,property,conductorOf,rdau:P60615,rdau:P60141,,,,,,Published,
14619,"is actor of",rdau:actorOf.en,"Relates an agent to a resource that includes a contribution by an agent of acting as a cast member or player in a musical or dramatic presentation.",,,,rdau:P60017,property,actorOf,rdau:P60615,rdau:P60142,,,,,,Published,
14620,"is onscreen presenter of",rdau:onscreenPresenterOf.en,"Relates a performer who contributes to a resource by appearing on screen to provide contextual or background information. an on-screen presenter may appear in nonfiction moving image materials or in introductions to fiction moving image materials to a resource.","Appearance in nonfiction moving image materials or in introductions to fiction moving image materials is included. Appearance on screen in a non-performing role is excluded.",,,rdau:P60018,property,onscreenPresenterOf,rdau:P60615,rdau:P60143,,,,,,Published,rdau:P60825
14621,"is dancer of",rdau:dancerOf.en,"Relates a performer who contributes to a resource by dancing in a musical, dramatic, etc., presentation to a resource.",,,,rdau:P60019,property,dancerOf,rdau:P60615,rdau:P60144,,,,,,Published,
14622,"is instructor of",rdau:instructorOf.en,"Relates an agent to a resource that includes a contribution by an agent of teaching or providing a demonstration.",,,,rdau:P60020,property,instructorOf,rdau:P60615,rdau:P60145,,,,,,Published,
14623,"is host of",rdau:hostOf.en,"Relates an agent to a resource that includes a contribution by an agent of leading a program, often broadcast, that includes other guests, performers, and other agents.",,,,rdau:P60021,property,hostOf,rdau:P60615,rdau:P60146,,,,,,Published,
14624,"is moderator of",rdau:moderatorOf.en,"Relates an agent to a resource that includes a contribution by an agent of leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,,,rdau:P60022,property,moderatorOf,rdau:P60615,rdau:P60147,,,,,,Published,
14625,"is puppeteer of",rdau:puppeteerOf.en,"Relates an agent to a resource that includes a contribution by an agent of manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment",,,,rdau:P60023,property,puppeteerOf,rdau:P60615,rdau:P60148,,,,,,Published,
14626,"is panelist of",rdau:panelistOf.en,"Relates an agent to a resource that includes a contribution by an agent of participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,,,rdau:P60024,property,panelistOf,rdau:P60615,rdau:P60149,,,,,,Published,
14627,"is instrumentalist of",rdau:instrumentalistOf.en,"Relates an agent to a resource that includes a contribution by an agent of playing a musical instrument.",,,,rdau:P60025,property,instrumentalistOf,rdau:P60615,rdau:P60150,,,,,,Published,
14628,"is commentator of",rdau:commentatorOf.en,"Relates a performer who contributes to a resource by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium to a resource.",,,,rdau:P60026,property,commentatorOf,rdau:P60615,rdau:P60151,,,,,,Published,
14629,"is voice actor of",rdau:voiceActorOf.en,"Relates an agent to a resource that includes a contribution by an agent of providing the voice for characters in radio and audio productions and for animated characters in moving image resources, as well as voice-overs in radio and television commercials, dubbed expressions, etc.",,,,rdau:P60027,property,voiceActorOf,rdau:P60017,rdau:P60152,,,,,,Published,
14630,"is narrator of",rdau:narratorOf.en,"Relates a performer who contributes to a resource by reading aloud or giving an account of an act, occurrence, course of events, etc. to a resource.",,,,rdau:P60028,property,narratorOf,rdau:P60615,rdau:P60153,,,,,,Published,
14631,"is storyteller of",rdau:storytellerOf.en,"Relates an agent to a resource that includes a contribution by an agent of performance of relaying an original story with dramatic or theatrical interpretation.",,,,rdau:P60029,property,storytellerOf,rdau:P60615,rdau:P60154,,,,,,Published,
14632,"is speaker of",rdau:speakerOf.en,"Relates a performer who contributes to a resource by speaking words, such as a lecture, speech, etc. to a resource.",,,,rdau:P60030,property,speakerOf,rdau:P60615,rdau:P60155,,,,,,Published,
14633,"is singer of",rdau:singerOf.en,"Relates an agent to a resource that includes a contribution by an agent of performance of voice, with or without instrumental accompaniment, to produce music.",,,,rdau:P60031,property,singerOf,rdau:P60615,rdau:P60156,,,,,,Published,
14634,"is medium of",rdau:mediumOf.en,"Relates an agent held to be a channel of communication between the earthly world and a world of spirits to a resource.",,,,rdau:P60032,property,mediumOf,rdau:P60602,rdau:P60157,,,,,,Published,
