reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type","See Also[0]"
15304,"has respondent",rdaw:respondent.en,"Relates a work to a person who is a candidate for a degree who defends or opposes a thesis provided by the praeses in an academic disputation.",,,,respondent,"A person who is a candidate for a degree who defends or opposes a thesis provided by the praeses in an academic disputation.",rdaw:P10001,property,respondent,rdac:C10001,,rdau:P60045,rdaw:P10437,,,,Published,18.5,2,
15305,"has identifier for work",rdaw:identifierForWork.en,"Relates a work to an appellation of work that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a work.",,,,"identifier for work","An appellation of work that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a work.",rdaw:P10002,property,identifierForWork,rdac:C10001,,rdau:P60052,rdaw:P10329,rdax:P00018,,,Published,6.8,3,
15307,"has category of work",rdaw:categoryOfWork.en,"Relates a work to a type to which a work belongs.","Includes a class or genre.","form of work",,"category of work","A type to which a work belongs.",rdaw:P10004,property,categoryOfWork,rdac:C10001,,rdau:P60058,rdax:P00029,,,,Published,6.3,5,
15308,"has appellee corporate body",rdaw:appelleeCorporateBody.en,"Relates a work to a corporate body against whom an appeal is taken on a decision of a lower court recorded in a legal work of a higher court.",,,,"appellee corporate body","A corporate body against whom an appeal is taken on a decision of a lower court recorded in a legal work of a higher court.",rdaw:P10005,property,appelleeCorporateBody,rdac:C10001,,rdau:P60373,rdaw:P10531,,,,Published,18.5,2,
15309,"has degree granting institution",rdaw:degreeGrantingInstitution.en,"Relates a work to a corporate body who approves a work that is a thesis for an academic degree.",,,,"degree granting institution","A corporate body who approves a work that is a thesis for an academic degree.",rdaw:P10006,property,degreeGrantingInstitution,rdac:C10001,,rdau:P60060,rdaw:P10531,,,,Published,18.5,2,
15310,"has hosting institution",rdaw:hostingInstitution.en,"Relates a work to a corporate body who hosts a conference, exhibition, or other event that gives rise to a work, but has little or no responsibility for the content.",,"host institution",,"hosting institution","A corporate body who hosts a conference, exhibition, or other event that gives rise to a work, but has little or no responsibility for the content.",rdaw:P10007,property,hostingInstitution,rdac:C10001,,rdau:P60061,rdaw:P10314,,,,Published,18.5,2,
15311,"has production company",rdaw:productionCompany.en,"Relates a work to a corporate body who is responsible for managing the financial, technical, and organizational aspects of a production for stage, screen, sound recording, television, webcast, etc.",,,,"production company","A corporate body who is responsible for managing the financial, technical, and organizational aspects of a production for stage, screen, sound recording, television, webcast, etc.",rdaw:P10008,property,productionCompany,rdac:C10001,,rdau:P60062,rdaw:P10531,,,,Published,18.5,2,
15312,"has appellant corporate body",rdaw:appellantCorporateBody.en,"Relates a work to a corporate body who appeals a decision of a lower court recorded in a legal work of a higher court.",,,,"appellant corporate body","A corporate body who appeals a decision of a lower court recorded in a legal work of a higher court.",rdaw:P10009,property,appellantCorporateBody,rdac:C10001,,rdau:P60457,rdaw:P10531,,,,Published,18.5,2,
15313,"has plaintiff corporate body",rdaw:plaintiffCorporateBody.en,"Relates a work to a corporate body who brings a suit in a civil proceeding.",,,,"plaintiff corporate body","A corporate body who brings a suit in a civil proceeding.",rdaw:P10010,property,plaintiffCorporateBody,rdac:C10001,,rdau:P60459,rdaw:P10531,,,,Published,18.5,2,
15314,"has court governed",rdaw:courtGoverned.en,"Relates a work to a corporate body that is a court governed by court rules, regardless of their official nature.",,,,"court governed","A corporate body that is a court governed by court rules, regardless of their official nature.",rdaw:P10011,property,courtGoverned,rdac:C10001,,rdau:P60065,rdaw:P10531,,,,Published,18.5,2,
