RDA,mapping,DC term
rdaa:P50039,rdfs:subPropertyOf,dct:date
rdae:P20001,rdfs:subPropertyOf,dct:type
rdae:P20002,rdfs:subPropertyOf,dct:identifier
rdae:P20004,rdfs:subPropertyOf,dct:date
rdae:P20006,rdfs:subPropertyOf,dct:language
rdae:P20009,rdfs:subPropertyOf,dct:hasVersion
rdae:P20011,rdfs:subPropertyOf,dct:contributor
rdae:P20012,rdfs:subPropertyOf,dct:contributor
rdae:P20013,rdfs:subPropertyOf,dct:contributor
rdae:P20014,rdfs:subPropertyOf,dct:contributor
rdae:P20015,rdfs:subPropertyOf,dct:contributor
rdae:P20016,rdfs:subPropertyOf,dct:contributor
rdae:P20017,rdfs:subPropertyOf,dct:contributor
rdae:P20018,rdfs:subPropertyOf,dct:contributor
rdae:P20019,rdfs:subPropertyOf,dct:contributor
rdae:P20020,rdfs:subPropertyOf,dct:contributor
rdae:P20021,rdfs:subPropertyOf,dct:contributor
rdae:P20022,rdfs:subPropertyOf,dct:contributor
rdae:P20023,rdfs:subPropertyOf,dct:contributor
rdae:P20024,rdfs:subPropertyOf,dct:contributor
rdae:P20025,rdfs:subPropertyOf,dct:contributor
rdae:P20028,rdfs:subPropertyOf,dct:contributor
rdae:P20029,rdfs:subPropertyOf,dct:contributor
rdae:P20031,rdfs:subPropertyOf,dct:contributor
rdae:P20032,rdfs:subPropertyOf,dct:contributor
rdae:P20033,rdfs:subPropertyOf,dct:contributor
rdae:P20034,rdfs:subPropertyOf,dct:contributor
rdae:P20035,rdfs:subPropertyOf,dct:contributor
rdae:P20036,rdfs:subPropertyOf,dct:contributor
rdae:P20037,rdfs:subPropertyOf,dct:contributor
rdae:P20038,rdfs:subPropertyOf,dct:contributor
rdae:P20039,rdfs:subPropertyOf,dct:contributor
rdae:P20040,rdfs:subPropertyOf,dct:contributor
rdae:P20047,rdfs:subPropertyOf,dct:contributor
rdae:P20049,rdfs:subPropertyOf,dct:contributor
rdae:P20050,rdfs:subPropertyOf,dct:contributor
rdae:P20052,rdfs:subPropertyOf,dct:contributor
rdae:P20053,rdfs:subPropertyOf,dct:contributor
rdae:P20054,rdfs:subPropertyOf,dct:contributor
rdae:P20055,rdfs:subPropertyOf,dct:contributor
rdae:P20056,rdfs:subPropertyOf,dct:contributor
rdae:P20058,rdfs:subPropertyOf,dct:contributor
rdae:P20060,rdfs:subPropertyOf,dct:hasVersion
rdae:P20066,rdfs:subPropertyOf,dct:hasVersion
rdae:P20067,rdfs:subPropertyOf,dct:hasVersion
rdae:P20069,rdfs:subPropertyOf,dct:abstract
rdae:P20069,rdfs:subPropertyOf,dct:description
rdae:P20070,rdfs:subPropertyOf,dct:contributor
rdae:P20071,rdfs:subPropertyOf,dct:description
rdae:P20073,rdfs:subPropertyOf,dct:hasVersion
rdae:P20074,rdfs:subPropertyOf,dct:isPartOf
rdae:P20075,rdfs:subPropertyOf,dct:isReplacedBy
rdae:P20076,rdfs:subPropertyOf,dct:isReplacedBy
rdae:P20077,rdfs:subPropertyOf,dct:hasVersion
rdae:P20078,rdfs:subPropertyOf,dct:isVersionOf
rdae:P20079,rdfs:subPropertyOf,dct:hasVersion
rdae:P20081,rdfs:subPropertyOf,dct:hasVersion
