RDA,mapping,MARC 21 Authority encoding string and recording method
rdae:P20065,rdakit:hasM21,000/09  [identifier] (recording a script of description)
rdam:P30011,rdakit:hasM21,005 ** [structured description]
rdan:P80169,rdakit:hasM21,008/32 ** [identifier]
rdan:P80168,rdakit:hasM21,008/33 ** [identifier]
rdaa:P50383,rdakit:hasM21,010 ** $a [identifier]
rdaa:P50383,rdakit:hasM21,010 ** $a [identifier]
rdaa:P50006,rdakit:hasM21,010 ** $a [identifier]
rdae:P20002,rdakit:hasM21,010 ** $a [identifier]
rdaa:P50052,rdakit:hasM21,010 ** $a [identifier]
rdaa:P50094,rdakit:hasM21,010 ** $a [identifier]
rdap:P70020,rdakit:hasM21,010 ** $a [identifier]
rdaw:P10002,rdakit:hasM21,010 ** $a [identifier]
rdaa:P50383,rdakit:hasM21,010 ** $z [identifier]
rdaa:P50384,rdakit:hasM21,010 ** $z [identifier]
rdaa:P50006,rdakit:hasM21,010 ** $z [identifier]
rdae:P20002,rdakit:hasM21,010 ** $z [identifier]
rdaa:P50052,rdakit:hasM21,010 ** $z [identifier]
rdaa:P50094,rdakit:hasM21,010 ** $z [identifier]
rdap:P70020,rdakit:hasM21,010 ** $z [identifier]
rdaw:P10002,rdakit:hasM21,010 ** $z [identifier]
rdae:P20065,rdakit:hasM21,014 ** $6 [identifier] (recording a script of description)
rdaa:P50383,rdakit:hasM21,016 ** $a [identifier]
rdaa:P50384,rdakit:hasM21,016 ** $a [identifier]
rdaa:P50006,rdakit:hasM21,016 ** $a [identifier]
rdae:P20002,rdakit:hasM21,016 ** $a [identifier]
rdaa:P50052,rdakit:hasM21,016 ** $a [identifier]
rdaa:P50094,rdakit:hasM21,016 ** $a [identifier]
rdap:P70020,rdakit:hasM21,016 ** $a [identifier]
rdaw:P10002,rdakit:hasM21,016 ** $a [identifier]
rdaa:P50383,rdakit:hasM21,016 ** $z [identifier]
rdaa:P50384,rdakit:hasM21,016 ** $z [identifier]
rdaa:P50006,rdakit:hasM21,016 ** $z [identifier]
rdae:P20002,rdakit:hasM21,016 ** $z [identifier]
rdaa:P50052,rdakit:hasM21,016 ** $z [identifier]
rdaa:P50094,rdakit:hasM21,016 ** $z [identifier]
rdap:P70020,rdakit:hasM21,016 ** $z [identifier]
rdaw:P10002,rdakit:hasM21,016 ** $z [identifier]
rdae:P20065,rdakit:hasM21,020 ** $6 [identifier] (recording a script of description)
rdam:P30004,rdakit:hasM21,020 ** $a [identifier]
rdam:P30004,rdakit:hasM21,020 ** $z [identifier]
rdae:P20065,rdakit:hasM21,022 ** $6 [identifier] (recording a script of description)
rdam:P30004,rdakit:hasM21,022 ** $a [identifier]
rdaw:P10366,rdakit:hasM21,022 ** $a [identifier]
rdam:P30004,rdakit:hasM21,022 ** $m [identifier]
rdam:P30004,rdakit:hasM21,022 ** $y [identifier]
rdam:P30004,rdakit:hasM21,022 ** $z [identifier]
rdaw:P10406,rdakit:hasM21,024 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,024 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,024 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,024 ** $6 [identifier] (recording a script of description)
rdaa:P50383,rdakit:hasM21,024 ** $a [identifier]
rdaa:P50384,rdakit:hasM21,024 ** $a [identifier]
rdaa:P50006,rdakit:hasM21,024 ** $a [identifier]
rdae:P20002,rdakit:hasM21,024 ** $a [identifier]
rdaa:P50052,rdakit:hasM21,024 ** $a [identifier]
rdaa:P50094,rdakit:hasM21,024 ** $a [identifier]
rdap:P70020,rdakit:hasM21,024 ** $a [identifier]
rdaw:P10002,rdakit:hasM21,024 ** $a [identifier]
rdaa:P50383,rdakit:hasM21,024 ** $d [identifier]
rdaa:P50384,rdakit:hasM21,024 ** $d [identifier]
rdaa:P50006,rdakit:hasM21,024 ** $d [identifier]
rdae:P20002,rdakit:hasM21,024 ** $d [identifier]
rdaa:P50052,rdakit:hasM21,024 ** $d [identifier]
rdaa:P50094,rdakit:hasM21,024 ** $d [identifier]
rdap:P70020,rdakit:hasM21,024 ** $d [identifier]
rdaw:P10002,rdakit:hasM21,024 ** $d [identifier]
rdaa:P50383,rdakit:hasM21,024 ** $z [identifier]
rdaa:P50384,rdakit:hasM21,024 ** $z [identifier]
rdaa:P50006,rdakit:hasM21,024 ** $z [identifier]
rdae:P20002,rdakit:hasM21,024 ** $z [identifier]
rdaa:P50052,rdakit:hasM21,024 ** $z [identifier]
rdaa:P50094,rdakit:hasM21,024 ** $z [identifier]
rdap:P70020,rdakit:hasM21,024 ** $z [identifier]
rdaw:P10002,rdakit:hasM21,024 ** $z [identifier]
rdaw:P10406,rdakit:hasM21,031 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,031 ** $6 [identifier] (recording a script of description)
rdaw:P10406,rdakit:hasM21,034 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,034 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,034 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,034 ** $6 [identifier] (recording a script of description)
rdae:P20065,rdakit:hasM21,035 ** $6 [identifier] (recording a script of description)
rdaa:P50383,rdakit:hasM21,035 ** $a [identifier]
rdaa:P50006,rdakit:hasM21,035 ** $a [identifier]
rdae:P20002,rdakit:hasM21,035 ** $a [identifier]
rdaa:P50052,rdakit:hasM21,035 ** $a [identifier]
rdaa:P50094,rdakit:hasM21,035 ** $a [identifier]
