RDA element,mapping,MARC 21 Bibligraphic encoding string and recording method
rdaw:P10001,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10001,rdakit:hasM21,720 1* $a [unstructured description] .
rdaw:P10001,rdakit:hasM21,720 1* $a [unstructured description] .
rdaw:P10001,rdakit:hasM21,"100 0* $a, b, c, d, g, q, u [structured description] ."
rdaw:P10001,rdakit:hasM21,"100 1* $a, b, c, d, g, q, u [structured description] ."
rdaw:P10001,rdakit:hasM21,"700 0* $a, b, c, d, g, q, u [structured description] ."
rdaw:P10001,rdakit:hasM21,"700 1* $a, b, c, d, g, q, u [structured description] ."
rdaw:P10001,rdakit:hasM21,100 0* $0 [identifier] .
rdaw:P10001,rdakit:hasM21,100 1* $0 [identifier] .
rdaw:P10001,rdakit:hasM21,700 0* $0 [identifier] .
rdaw:P10001,rdakit:hasM21,700 1* $0 [identifier] .
rdaw:P10001,rdakit:hasM21,720 1* $0 [identifier] .
rdaw:P10001,rdakit:hasM21,720 1* $0 [identifier] .
rdaw:P10001,rdakit:hasM21,100 0* $1 [IRI] .
rdaw:P10001,rdakit:hasM21,100 1* $1 [IRI] .
rdaw:P10001,rdakit:hasM21,700 0* $1 [IRI] .
rdaw:P10001,rdakit:hasM21,700 1* $1 [IRI] .
rdaw:P10001,rdakit:hasM21,720 1* $1 [IRI] .
rdaw:P10001,rdakit:hasM21,720 1* $1 [IRI] .
rdaw:P10002,rdakit:hasM21,"024 7* $a, d [identifier] ."
rdaw:P10002,rdakit:hasM21,024 7* $z [identifier] .
rdaw:P10002,rdakit:hasM21,"024 8* $a, d [identifier] ."
rdaw:P10002,rdakit:hasM21,024 8* $z [identifier] .
rdaw:P10002,rdakit:hasM21,130 ** $0 [identifier] .
rdaw:P10002,rdakit:hasM21,240 ** $0 [identifier] .
rdaw:P10002,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10002,rdakit:hasM21,"730 ** $x, 0 [identifier] ."
rdaw:P10002,rdakit:hasM21,"758 ** $a, 0 [identifier] ."
rdaw:P10002,rdakit:hasM21,130 ** $1 [IRI] .
rdaw:P10002,rdakit:hasM21,240 ** $1 [IRI] .
rdaw:P10002,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10002,rdakit:hasM21,730 ** $1 [IRI] .
rdaw:P10002,rdakit:hasM21,758 ** $1 [IRI] .
rdaw:P10004,rdakit:hasM21,047 ** $a [structured description] .
rdaw:P10004,rdakit:hasM21,380 ** $a [structured description] .
rdaw:P10004,rdakit:hasM21,"655 ** $a, v [structured description] ."
rdaw:P10004,rdakit:hasM21,006/01-02 [identifier] (music) .
rdaw:P10004,rdakit:hasM21,"006/07-10 [identifier] (books, continuing resources) ."
rdaw:P10004,rdakit:hasM21,006/12 [identifier] (continuing resources) .
rdaw:P10004,rdakit:hasM21,006/12-13 [identifier] (books) .
rdaw:P10004,rdakit:hasM21,006/13-14 [identifier] (music) .
rdaw:P10004,rdakit:hasM21,006/17 [identifier] (books) .
rdaw:P10004,rdakit:hasM21,008/18-19 [identifier] (music) .
rdaw:P10004,rdakit:hasM21,"008/24-27 [identifier] (books, continuing resources) ."
rdaw:P10004,rdakit:hasM21,008/29 [identifier] (continuing resources) .
rdaw:P10004,rdakit:hasM21,008/29-30 [identifier] (books) .
rdaw:P10004,rdakit:hasM21,008/30-31 [identifier] (music) .
rdaw:P10004,rdakit:hasM21,008/33-34 [identifier] (books) .
rdaw:P10004,rdakit:hasM21,380 ** $0 [identifier] .
rdaw:P10004,rdakit:hasM21,655 ** $0 [identifier] .
rdaw:P10004,rdakit:hasM21,380 ** $1 [IRI] .
rdaw:P10004,rdakit:hasM21,655 ** $1 [IRI] .
rdaw:P10005,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10005,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10005,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10005,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10005,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10005,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10005,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10005,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10005,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10005,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10006,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10006,rdakit:hasM21,502 ** $a [unstructured description] .
rdaw:P10006,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10006,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10006,rdakit:hasM21,"502 ** $c, g [structured description] ."
rdaw:P10006,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10006,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10006,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10006,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10006,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10006,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10006,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10007,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10007,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10007,rdakit:hasM21,720 2* $a [unstructured description] .
