RDA,mapping,Unconstrained
rdaa:P50001,rdfs:subPropertyOf,rdau:P60001
rdaa:P50002,rdfs:subPropertyOf,rdau:P60601
rdaa:P50003,rdfs:subPropertyOf,rdau:P60002
rdaa:P50004,rdfs:subPropertyOf,rdau:P60003
rdaa:P50005,rdfs:subPropertyOf,rdau:P60004
rdaa:P50006,rdfs:subPropertyOf,rdau:P60053
rdaa:P50007,rdfs:subPropertyOf,rdau:P60694
rdaa:P50008,rdfs:subPropertyOf,rdau:P60680
rdaa:P50009,rdfs:subPropertyOf,rdau:P60688
rdaa:P50010,rdfs:subPropertyOf,rdau:P60681
rdaa:P50011,rdfs:subPropertyOf,rdau:P60682
rdaa:P50012,rdfs:subPropertyOf,rdau:P60683
rdaa:P50013,rdfs:subPropertyOf,rdau:P60684
rdaa:P50014,rdfs:subPropertyOf,rdau:P60685
rdaa:P50015,rdfs:subPropertyOf,rdau:P60676
rdaa:P50016,rdfs:subPropertyOf,rdau:P60686
rdaa:P50017,rdfs:subPropertyOf,rdau:P60687
rdaa:P50019,rdfs:subPropertyOf,rdau:P60079
rdaa:P50020,rdfs:subPropertyOf,rdau:P60694
rdaa:P50021,rdfs:subPropertyOf,rdau:P60676
rdaa:P50022,rdfs:subPropertyOf,rdau:P60089
rdaa:P50023,rdfs:subPropertyOf,rdau:P60098
rdaa:P50024,rdfs:subPropertyOf,rdau:P60107
rdaa:P50025,rdfs:subPropertyOf,rdau:P60119
rdaa:P50026,rdfs:subPropertyOf,rdau:P60629
rdaa:P50027,rdfs:subPropertyOf,rdau:P60633
rdaa:P50028,rdfs:subPropertyOf,rdau:P60676
rdaa:P50029,rdfs:subPropertyOf,rdau:P60694
rdaa:P50030,rdfs:subPropertyOf,rdau:P60697
rdaa:P50032,rdfs:subPropertyOf,rdau:P60368
rdaa:P50035,rdfs:subPropertyOf,rdau:P60484
rdaa:P50036,rdfs:subPropertyOf,rdau:P60512
rdaa:P50037,rdfs:subPropertyOf,rdau:P60524
rdaa:P50038,rdfs:subPropertyOf,rdau:P60525
rdaa:P50039,rdfs:subPropertyOf,rdau:P60526
rdaa:P50041,rdfs:subPropertyOf,rdau:P60549
rdaa:P50042,rdfs:subPropertyOf,rdau:P60691
rdaa:P50043,rdfs:subPropertyOf,rdau:P60693
rdaa:P50044,rdfs:subPropertyOf,rdau:P60005
