RDA,mapping,ROF
rdaco:1022,rof:P10012,rofch:T1003
rdaco:1022,rof:P10013,rofsm:T1001
rdaco:1022,rof:P10024,rofid:T1002
rdaco:1022,rof:P10025,rofim:T1002
rdaco:1022,rdf:type,rof:C10008
rdaco:1021,rof:P10012,rofch:T1003
rdaco:1021,rof:P10013,rofsm:T1001
rdaco:1021,rof:P10024,rofid:T1002
rdaco:1021,rof:P10025,rofim:T1001
rdaco:1021,rdf:type,rof:C10008
rdaco:1023,rof:P10012,rofch:T1003
rdaco:1023,rof:P10013,rofsm:T1001
rdaco:1023,rof:P10024,rofid:T1001
rdaco:1023,rof:P10025,rofim:T1002
rdaco:1023,rdf:type,rof:C10008
rdaco:1014,rof:P10012,rofch:T1003
rdaco:1014,rof:P10013,rofsm:T1001
rdaco:1014,rof:P10024,rofid:T1001
rdaco:1014,rof:P10025,rofim:T1001
rdaco:1014,rdf:type,rof:C10008
rdaco:1019,rof:P10012,rofch:T1003
rdaco:1019,rof:P10013,rofsm:T1003
rdaco:1019,rof:P10024,rofid:T1002
rdaco:1019,rof:P10025,rofim:T1001
rdaco:1019,rdf:type,rof:C10008
rdaco:1015,rof:P10012,rofch:T1003
rdaco:1015,rof:P10013,rofsm:T1003
rdaco:1015,rof:P10024,rofid:T1001
rdaco:1015,rof:P10025,rofim:T1001
rdaco:1015,rdf:type,rof:C10008
rdaco:1013,rof:P10012,rofch:T1001
rdaco:1013,rof:P10013,rofsm:T1002
rdaco:1013,rof:P10024,rofid:T1003
rdaco:1013,rof:P10025,rofim:T1003
rdaco:1013,rdf:type,rof:C10008
rdaco:1020,rof:P10012,rofch:T1001
rdaco:1020,rof:P10013,rofsm:T1001
rdaco:1020,rof:P10024,rofid:T1003
rdaco:1020,rof:P10025,rofim:T1003
rdaco:1020,rdf:type,rof:C10008
rdaco:1018,rof:P10012,rofch:T1001
rdaco:1018,rof:P10013,rofsm:T1003
rdaco:1018,rof:P10024,rofid:T1003
rdaco:1018,rof:P10025,rofim:T1003
rdaco:1018,rdf:type,rof:C10008
rdaco:1011,rof:P10012,rofch:T1002
rdaco:1011,rof:P10013,rofsm:T1002
rdaco:1011,rof:P10024,rofid:T1003
rdaco:1011,rof:P10025,rofim:T1003
rdaco:1011,rdf:type,rof:C10008
rdaco:1010,rof:P10012,rofch:T1002
rdaco:1010,rof:P10013,rofsm:T1001
rdaco:1010,rof:P10024,rofid:T1003
rdaco:1010,rof:P10025,rofim:T1003
rdaco:1010,rdf:type,rof:C10008
rdaco:1016,rof:P10012,rofch:T1002
rdaco:1016,rof:P10013,rofsm:T1003
rdaco:1016,rof:P10024,rofid:T1003
rdaco:1016,rof:P10025,rofim:T1003
rdaco:1016,rdf:type,rof:C10008
rdaco:1012,rof:P10012,rofch:T1004
rdaco:1012,rof:P10013,rofsm:T1002
rdaco:1012,rof:P10024,rofid:T1003
rdaco:1012,rof:P10025,rofim:T1003
rdaco:1012,rdf:type,rof:C10008
rdaco:1001,rof:P10012,rofch:T1004
rdaco:1001,rof:P10013,rofsm:T1006
rdaco:1001,rof:P10024,rofid:T1003
rdaco:1001,rof:P10025,rofim:T1003
rdaco:1001,rof:P10014,roffgrda:T1001
