RDA,mapping,ROF
rdact:1002,rdf:type,rof:C10009
rdact:1002,rof:P10005,rofit:T1005
rdact:1002,rof:P10008,rofsf:T1003
rdact:1002,rof:P10009,rofhf:T1004
rdact:1003,rdf:type,rof:C10009
rdact:1003,rof:P10005,rofit:T1005
rdact:1003,rof:P10008,rofsf:T1006
rdact:1003,rof:P10009,rofhf:T1006
rdact:1004,rdf:type,rof:C10009
rdact:1004,rof:P10005,rofit:T1005
rdact:1004,rof:P10008,rofsf:T1004
rdact:1004,rof:P10009,rofhf:T1006
rdact:1005,rdf:type,rof:C10009
rdact:1005,rof:P10005,rofit:T1005
rdact:1005,rof:P10008,rofsf:T1003
rdact:1005,rof:P10009,rofhf:T1003
rdact:1006,rdf:type,rof:C10009
rdact:1006,rof:P10005,rofit:T1005
rdact:1006,rof:P10008,rofsf:T1003
rdact:1006,rof:P10009,rofhf:T1006
rdact:1007,rdf:type,rof:C10009
rdact:1007,rof:P10005,rofit:T1005
rdact:1007,rof:P10008,rofsf:T1003
rdact:1007,rof:P10009,rofhf:T1005
rdact:1008,rdf:type,rof:C10009
rdact:1008,rof:P10005,rofit:T1005
rdact:1008,rof:P10008,rofsf:T1003
rdact:1008,rof:P10009,rofhf:T1003
rdact:1011,rdf:type,rof:C10009
rdact:1011,rof:P10005,rofit:T1007
rdact:1011,rof:P10008,rofsf:T1001
rdact:1011,rof:P10009,rofhf:T1006
rdact:1012,rdf:type,rof:C10009
rdact:1012,rof:P10005,rofit:T1007
rdact:1012,rof:P10008,rofsf:T1007
rdact:1012,rof:P10009,rofhf:T1004
rdact:1013,rdf:type,rof:C10009
rdact:1013,rof:P10005,rofit:T1007
rdact:1013,rof:P10008,rofsf:T1004
rdact:1013,rof:P10009,rofhf:T1006
rdact:1014,rdf:type,rof:C10009
rdact:1014,rof:P10005,rofit:T1007
rdact:1014,rof:P10008,rofsf:T1004
rdact:1014,rof:P10009,rofhf:T1004
rdact:1015,rdf:type,rof:C10009
rdact:1015,rof:P10005,rofit:T1007
rdact:1015,rof:P10008,rofsf:T1003
rdact:1015,rof:P10009,rofhf:T1004
rdact:1016,rdf:type,rof:C10009
rdact:1016,rof:P10005,rofit:T1007
rdact:1016,rof:P10008,rofsf:T1003
rdact:1016,rof:P10009,rofhf:T1005
rdact:1017,rdf:type,rof:C10009
rdact:1017,rof:P10005,rofit:T1007
rdact:1017,rof:P10008,rofsf:T1003
rdact:1017,rof:P10009,rofhf:T1003
rdact:1018,rdf:type,rof:C10009
rdact:1018,rof:P10005,rofit:T1007
rdact:1018,rof:P10008,rofsf:T1008
rdact:1018,rof:P10009,rofhf:T1006
rdact:1021,rdf:type,rof:C10002
rdact:1021,rof:P10005,rofitrda:T1001
rdact:1021,rof:P10008,rofsfrda:T1001
rdact:1021,rof:P10009,rofhf:T1006
rdact:1022,rdf:type,rof:C10002
rdact:1022,rof:P10005,rofitrda:T1002
rdact:1022,rof:P10008,rofsf:T1001
rdact:1022,rof:P10009,rofhf:T1006
rdact:1023,rdf:type,rof:C10002
rdact:1023,rof:P10005,rofitrda:T1002
rdact:1023,rof:P10008,rofsf:T1001
rdact:1023,rof:P10009,rofhf:T1005
rdact:1024,rdf:type,rof:C10002
rdact:1024,rof:P10005,rofitrda:T1004
rdact:1024,rof:P10008,rofsf:T1003
rdact:1024,rof:P10009,rofhf:T1004
rdact:1025,rdf:type,rof:C10002
rdact:1025,rof:P10005,rofitrda:T1004
rdact:1025,rof:P10008,rofsf:T1003
rdact:1025,rof:P10009,rofhf:T1005
rdact:1026,rdf:type,rof:C10002
rdact:1026,rof:P10005,rofitrda:T1004
rdact:1026,rof:P10008,rofsf:T1003
rdact:1026,rof:P10009,rofhf:T1003
rdact:1027,rdf:type,rof:C10002
rdact:1027,rof:P10005,rofitrda:T1004
rdact:1027,rof:P10008,rofsf:T1002
rdact:1027,rof:P10009,rofhf:T1006
