canonical uri,mapping,lexical uri
rdaa:P50001,owl:sameAs,rdaa:respondentOf.en
rdaa:P50002,owl:sameAs,rdaa:appelleeCorporateBodyOf.en
rdaa:P50003,owl:sameAs,rdaa:degreeGrantingInstitutionOf.en
rdaa:P50004,owl:sameAs,rdaa:hostingInstitutionOf.en
rdaa:P50005,owl:sameAs,rdaa:productionCompanyOf.en
rdaa:P50006,owl:sameAs,rdaa:identifierForCorporateBody.en
rdaa:P50007,owl:sameAs,rdaa:foundingCorporateBodyOfCorporateBody.en
rdaa:P50008,owl:sameAs,rdaa:hierarchicalSuperior.en
rdaa:P50009,owl:sameAs,rdaa:sponsoredCorporateBodyOfCorporateBody.en
rdaa:P50010,owl:sameAs,rdaa:hierarchicalSubordinate.en
rdaa:P50011,owl:sameAs,rdaa:mergee.en
rdaa:P50012,owl:sameAs,rdaa:predecessorOfCorporateBody.en
rdaa:P50013,owl:sameAs,rdaa:productOfMerger.en
rdaa:P50014,owl:sameAs,rdaa:productOfSplit.en
rdaa:P50015,owl:sameAs,rdaa:sponsoringCorporateBodyOfCorporateBody.en
rdaa:P50016,owl:sameAs,rdaa:successorOfCorporateBody.en
rdaa:P50017,owl:sameAs,rdaa:foundedCorporateBodyOfCorporateBody.en
rdaa:P50019,owl:sameAs,rdaa:numberOfConference.en
rdaa:P50020,owl:sameAs,rdaa:foundingFamilyOfCorporateBody.en
rdaa:P50021,owl:sameAs,rdaa:sponsoringFamilyOfCorporateBody.en
rdaa:P50022,owl:sameAs,rdaa:fieldOfActivityOfCorporateBody.en
rdaa:P50023,owl:sameAs,rdaa:languageOfCorporateBody.en
rdaa:P50024,owl:sameAs,rdaa:placeOfConference.en
rdaa:P50025,owl:sameAs,rdaa:variantNameOfCorporateBody.en
rdaa:P50026,owl:sameAs,rdaa:employee.en
rdaa:P50027,owl:sameAs,rdaa:officer.en
rdaa:P50028,owl:sameAs,rdaa:sponsoringPersonOfCorporateBody.en
rdaa:P50029,owl:sameAs,rdaa:foundingPersonOfCorporateBody.en
rdaa:P50030,owl:sameAs,rdaa:personMemberOfCorporateBody.en
rdaa:P50032,owl:sameAs,rdaa:nameOfCorporateBody.en
rdaa:P50035,owl:sameAs,rdaa:corporateHistory.en
rdaa:P50036,owl:sameAs,rdaa:addressOfCorporateBody.en
rdaa:P50037,owl:sameAs,rdaa:dateOfEstablishment.en
rdaa:P50038,owl:sameAs,rdaa:dateOfTermination.en
rdaa:P50039,owl:sameAs,rdaa:dateOfConference.en
rdaa:P50041,owl:sameAs,rdaa:preferredNameOfCorporateBody.en
rdaa:P50042,owl:sameAs,rdaa:appellantCorporateBodyOf.en
rdaa:P50043,owl:sameAs,rdaa:plaintiffCorporateBodyOf.en
rdaa:P50044,owl:sameAs,rdaa:courtGovernedOf.en
rdaa:P50045,owl:sameAs,rdaa:collectorAgentOf.en
rdaa:P50046,owl:sameAs,rdaa:collectionRegistrarAgentOf.en
rdaa:P50047,owl:sameAs,rdaa:depositorAgentOf.en
rdaa:P50048,owl:sameAs,rdaa:filmDirectorAgentOf.en
rdaa:P50049,owl:sameAs,rdaa:radioDirectorAgentOf.en
rdaa:P50050,owl:sameAs,rdaa:televisionDirectorAgentOf.en
rdaa:P50051,owl:sameAs,rdaa:categoryOfFamily.en
rdaa:P50052,owl:sameAs,rdaa:identifierForFamily.en
rdaa:P50053,owl:sameAs,rdaa:descendantFamilyOfFamily.en
rdaa:P50054,owl:sameAs,rdaa:variantNameOfFamily.en
rdaa:P50055,owl:sameAs,rdaa:descendantFamilyOfPersonOf.en
rdaa:P50056,owl:sameAs,rdaa:personMemberOfFamily.en
rdaa:P50059,owl:sameAs,rdaa:hereditaryTermOfHonour.en
rdaa:P50060,owl:sameAs,rdaa:prominentMemberOfFamily.en
rdaa:P50061,owl:sameAs,rdaa:nameOfFamily.en
rdaa:P50062,owl:sameAs,rdaa:foundedCorporateBodyOfFamily.en
rdaa:P50063,owl:sameAs,rdaa:sponsoredCorporateBodyOfFamily.en
rdaa:P50064,owl:sameAs,rdaa:familyHistory.en
rdaa:P50065,owl:sameAs,rdaa:preferredNameOfFamily.en
rdaa:P50066,owl:sameAs,rdaa:donorAgentOf.en
rdaa:P50067,owl:sameAs,rdaa:sellerAgentOf.en
rdaa:P50068,owl:sameAs,rdaa:enactingJurisdictionOf.en
rdaa:P50070,owl:sameAs,rdaa:conductorAgentOf.en
rdaa:P50071,owl:sameAs,rdaa:actorAgentOf.en
rdaa:P50072,owl:sameAs,rdaa:onscreenPresenterAgentOf.en
rdaa:P50073,owl:sameAs,rdaa:dancerAgentOf.en
rdaa:P50074,owl:sameAs,rdaa:instructorAgentOf.en
rdaa:P50075,owl:sameAs,rdaa:hostAgentOf.en
rdaa:P50076,owl:sameAs,rdaa:moderatorAgentOf.en
rdaa:P50077,owl:sameAs,rdaa:puppeteerAgentOf.en
rdaa:P50078,owl:sameAs,rdaa:panelistAgentOf.en
rdaa:P50079,owl:sameAs,rdaa:instrumentalistAgentOf.en
rdaa:P50080,owl:sameAs,rdaa:commentatorAgentOf.en
rdaa:P50081,owl:sameAs,rdaa:narratorAgentOf.en
rdaa:P50082,owl:sameAs,rdaa:storytellerAgentOf.en
rdaa:P50083,owl:sameAs,rdaa:speakerAgentOf.en
rdaa:P50084,owl:sameAs,rdaa:singerAgentOf.en
rdaa:P50085,owl:sameAs,rdaa:appelleePersonOf.en
rdaa:P50086,owl:sameAs,rdaa:mediumOf.en
rdaa:P50091,owl:sameAs,rdaa:degreeSupervisorOf.en
rdaa:P50092,owl:sameAs,rdaa:illuminatorAgentOf.en
rdaa:P50094,owl:sameAs,rdaa:identifierForPerson.en
rdaa:P50095,owl:sameAs,rdaa:personMemberOfCorporateBodyOf.en
rdaa:P50096,owl:sameAs,rdaa:employer.en
rdaa:P50097,owl:sameAs,rdaa:countryAssociatedWithPerson.en
rdaa:P50098,owl:sameAs,rdaa:periodOfActivityOfPerson.en
rdaa:P50099,owl:sameAs,rdaa:descendantFamilyOfPerson.en
rdaa:P50100,owl:sameAs,rdaa:fieldOfActivityOfPerson.en
rdaa:P50102,owl:sameAs,rdaa:languageOfPerson.en
rdaa:P50103,owl:sameAs,rdaa:variantNameOfPerson.en
rdaa:P50104,owl:sameAs,rdaa:professionOrOccupation.en
rdaa:P50109,owl:sameAs,rdaa:placeOfResidence.en
rdaa:P50110,owl:sameAs,rdaa:termOfRankHonourOrOffice.en
rdaa:P50111,owl:sameAs,rdaa:nameOfPerson.en
rdaa:P50112,owl:sameAs,rdaa:foundedCorporateBodyOfPerson.en
rdaa:P50113,owl:sameAs,rdaa:biographicalInformation.en
rdaa:P50114,owl:sameAs,rdaa:addressOfPerson.en
rdaa:P50115,owl:sameAs,rdaa:fullerFormOfName.en
rdaa:P50116,owl:sameAs,rdaa:gender.en
rdaa:P50117,owl:sameAs,rdaa:preferredNameOfPerson.en
rdaa:P50118,owl:sameAs,rdaa:placeOfDeath.en
rdaa:P50119,owl:sameAs,rdaa:placeOfBirth.en
rdaa:P50120,owl:sameAs,rdaa:dateOfDeath.en
rdaa:P50121,owl:sameAs,rdaa:dateOfBirth.en
rdaa:P50122,owl:sameAs,rdaa:appellantPersonOf.en
rdaa:P50123,owl:sameAs,rdaa:binderAgentOf.en
rdaa:P50124,owl:sameAs,rdaa:plaintiffPersonOf.en
rdaa:P50125,owl:sameAs,rdaa:inscriberOf.en
rdaa:P50126,owl:sameAs,rdaa:judgeOf.en
rdaa:P50127,owl:sameAs,rdaa:praesesOf.en
rdaa:P50128,owl:sameAs,rdaa:annotatorOf.en
rdaa:P50129,owl:sameAs,rdaa:autographerOf.en
rdaa:P50130,owl:sameAs,rdaa:issuingAgentOf.en
rdaa:P50132,owl:sameAs,rdaa:dedicatorAgentOf.en
rdaa:P50133,owl:sameAs,rdaa:curatorAgentOf.en
rdaa:P50136,owl:sameAs,rdaa:animatorAgentOf.en
rdaa:P50137,owl:sameAs,rdaa:arrangerAgentOfMusicOf.en
rdaa:P50139,owl:sameAs,rdaa:stageDirectorAgentOf.en
rdaa:P50140,owl:sameAs,rdaa:interviewerAgentOfExpressionOf.en
rdaa:P50141,owl:sameAs,rdaa:draftsmanAgentOf.en
rdaa:P50142,owl:sameAs,rdaa:transcriberAgentOf.en
rdaa:P50143,owl:sameAs,rdaa:musicalDirectorAgentOf.en
rdaa:P50144,owl:sameAs,rdaa:costumeDesignerAgentOf.en
rdaa:P50145,owl:sameAs,rdaa:translatorAgentOf.en
rdaa:P50146,owl:sameAs,rdaa:artDirectorAgentOf.en
rdaa:P50147,owl:sameAs,rdaa:performerAgentOf.en
rdaa:P50148,owl:sameAs,rdaa:courtReporterAgentOf.en
rdaa:P50155,owl:sameAs,rdaa:intervieweeAgentOfExpressionOf.en
rdaa:P50157,owl:sameAs,rdaa:abridgerAgentOf.en
rdaa:P50158,owl:sameAs,rdaa:recordingEngineerAgentOf.en
rdaa:P50160,owl:sameAs,rdaa:recordistAgentOf.en
rdaa:P50161,owl:sameAs,rdaa:creatorAgentOfExpressionOf.en
rdaa:P50162,owl:sameAs,rdaa:currentOwnerAgentOf.en
rdaa:P50163,owl:sameAs,rdaa:formerOwnerAgentOf.en
rdaa:P50164,owl:sameAs,rdaa:custodianAgentOf.en
rdaa:P50165,owl:sameAs,rdaa:ownerAgentOf.en
rdaa:P50166,owl:sameAs,rdaa:honoureeAgentOfWorkOf.en
rdaa:P50167,owl:sameAs,rdaa:honoureeAgentOfItemOf.en
rdaa:P50168,owl:sameAs,rdaa:broadcasterAgentOf.en
rdaa:P50169,owl:sameAs,rdaa:filmDistributorAgentOf.en
rdaa:P50170,owl:sameAs,rdaa:bookDesignerAgentOf.en
