RDA,Mapping,MRC
rdau:P60045,skos:closeMatch,mrc:rsp
rdau:P60060,skos:closeMatch,mrc:dgg
rdau:P60061,skos:closeMatch,mrc:his
rdau:P60061,skos:broadMatch,mrc:sht
rdau:P60062,skos:closeMatch,mrc:prn
rdau:P60065,skos:closeMatch,mrc:cou
rdau:P60066,skos:closeMatch,mrc:col
rdau:P60067,skos:closeMatch,mrc:cor
rdau:P60068,skos:closeMatch,mrc:dpt
rdau:P60084,skos:closeMatch,mrc:fmd
rdau:P60085,skos:closeMatch,mrc:rdd
rdau:P60086,skos:closeMatch,mrc:tld
rdau:P60091,skos:closeMatch,mrc:dnr
rdau:P60092,skos:closeMatch,mrc:sll
rdau:P60096,skos:closeMatch,mrc:enj
rdau:P60097,skos:closeMatch,mrc:jug
rdau:P60141,skos:closeMatch,mrc:cnd
rdau:P60142,skos:closeMatch,mrc:act
rdau:P60143,skos:closeMatch,mrc:osp
rdau:P60144,skos:closeMatch,mrc:dnc
rdau:P60145,skos:closeMatch,mrc:tch
rdau:P60146,skos:closeMatch,mrc:hst
rdau:P60147,skos:closeMatch,mrc:mod
rdau:P60148,skos:closeMatch,mrc:ppt
rdau:P60149,skos:closeMatch,mrc:pan
rdau:P60150,skos:closeMatch,mrc:itr
rdau:P60150,skos:broadMatch,mrc:mus
rdau:P60151,skos:closeMatch,mrc:cmm
rdau:P60152,skos:closeMatch,mrc:vac
rdau:P60153,skos:closeMatch,mrc:nrt
rdau:P60154,skos:closeMatch,mrc:stl
rdau:P60155,skos:closeMatch,mrc:spk
rdau:P60156,skos:closeMatch,mrc:sng
rdau:P60157,skos:closeMatch,mrc:med
rdau:P60160,skos:closeMatch,mrc:dbp
rdau:P60161,skos:narrowMatch,mrc:prp
rdau:P60162,skos:closeMatch,mrc:mfp
rdau:P60163,skos:closeMatch,mrc:pup
rdau:P60169,skos:closeMatch,mrc:fmp
rdau:P60170,skos:closeMatch,mrc:rpc
rdau:P60171,skos:closeMatch,mrc:tlp
rdau:P60373,skos:closeMatch,mrc:ape
rdau:P60373,skos:narrowMatch,mrc:coe
rdau:P60373,skos:narrowMatch,mrc:cpe
rdau:P60373,skos:narrowMatch,mrc:cte
rdau:P60373,skos:narrowMatch,mrc:dfe
rdau:P60373,skos:narrowMatch,mrc:lee
rdau:P60373,skos:narrowMatch,mrc:lie
