canonical uri,mapping,lexical uri
rdau:P60001,owl:sameAs,rdau:respondentOf.en
rdau:P60002,owl:sameAs,rdau:degreeGrantingInstitutionOf.en
rdau:P60003,owl:sameAs,rdau:hostInstitutionOf.en
rdau:P60004,owl:sameAs,rdau:productionCompanyOf.en
rdau:P60005,owl:sameAs,rdau:courtGovernedOf.en
rdau:P60006,owl:sameAs,rdau:collectorOf.en
rdau:P60007,owl:sameAs,rdau:collectionRegistrarOf.en
rdau:P60008,owl:sameAs,rdau:depositorOf.en
rdau:P60009,owl:sameAs,rdau:filmDirectorOf.en
rdau:P60010,owl:sameAs,rdau:radioDirectorOf.en
rdau:P60011,owl:sameAs,rdau:televisionDirectorOf.en
rdau:P60012,owl:sameAs,rdau:donorOf.en
rdau:P60013,owl:sameAs,rdau:sellerOf.en
rdau:P60014,owl:sameAs,rdau:enactingJurisdictionOf.en
rdau:P60015,owl:sameAs,rdau:jurisdictionGovernedOf.en
rdau:P60016,owl:sameAs,rdau:conductorOf.en
rdau:P60017,owl:sameAs,rdau:actorOf.en
rdau:P60018,owl:sameAs,rdau:onscreenPresenterOf.en
rdau:P60019,owl:sameAs,rdau:dancerOf.en
rdau:P60020,owl:sameAs,rdau:instructorOf.en
rdau:P60021,owl:sameAs,rdau:hostOf.en
rdau:P60022,owl:sameAs,rdau:moderatorOf.en
rdau:P60023,owl:sameAs,rdau:puppeteerOf.en
rdau:P60024,owl:sameAs,rdau:panelistOf.en
rdau:P60025,owl:sameAs,rdau:instrumentalistOf.en
rdau:P60026,owl:sameAs,rdau:commentatorOf.en
rdau:P60027,owl:sameAs,rdau:voiceActorOf.en
rdau:P60028,owl:sameAs,rdau:narratorOf.en
rdau:P60029,owl:sameAs,rdau:storytellerOf.en
rdau:P60030,owl:sameAs,rdau:speakerOf.en
rdau:P60031,owl:sameAs,rdau:singerOf.en
rdau:P60032,owl:sameAs,rdau:mediumOf.en
rdau:P60033,owl:sameAs,rdau:filmProducerOf.en
rdau:P60034,owl:sameAs,rdau:radioProducerOf.en
rdau:P60035,owl:sameAs,rdau:televisionProducerOf.en
rdau:P60036,owl:sameAs,rdau:alternateIdentity.en
rdau:P60037,owl:sameAs,rdau:realIdentity.en
rdau:P60045,owl:sameAs,rdau:respondent.en
rdau:P60046,owl:sameAs,rdau:undifferentiatedNameIndicator.en
rdau:P60047,owl:sameAs,rdau:categoryOfAgent.en
rdau:P60048,owl:sameAs,rdau:carrierType.en
rdau:P60049,owl:sameAs,rdau:contentType.en
rdau:P60050,owl:sameAs,rdau:mediaType.en
rdau:P60051,owl:sameAs,rdau:modeOfIssuance.en
rdau:P60052,owl:sameAs,rdau:identifierForResource.en
rdau:P60053,owl:sameAs,rdau:identifierForAgent.en
rdau:P60054,owl:sameAs,rdau:otherDistinguishingCharacteristicOfResource.en
rdau:P60055,owl:sameAs,rdau:itemSpecificCarrierCharacteristicOfEarlyPrintedResource.en
rdau:P60056,owl:sameAs,rdau:modificationOfResource.en
rdau:P60057,owl:sameAs,rdau:preferredCitation.en
rdau:P60058,owl:sameAs,rdau:categoryOfResource.en
rdau:P60059,owl:sameAs,rdau:regionalEncoding.en
rdau:P60060,owl:sameAs,rdau:degreeGrantingInstitution.en
rdau:P60061,owl:sameAs,rdau:hostInstitution.en
rdau:P60062,owl:sameAs,rdau:productionCompany.en
rdau:P60063,owl:sameAs,rdau:countryAssociatedWithPerson.en
rdau:P60064,owl:sameAs,rdau:locationOfHeadquarters.en
rdau:P60065,owl:sameAs,rdau:courtGoverned.en
rdau:P60066,owl:sameAs,rdau:collector.en
rdau:P60067,owl:sameAs,rdau:collectionRegistrar.en
rdau:P60068,owl:sameAs,rdau:depositor.en
rdau:P60069,owl:sameAs,rdau:copyrightDate.en
rdau:P60070,owl:sameAs,rdau:dateOfDistribution.en
rdau:P60071,owl:sameAs,rdau:dateOfProduction.en
rdau:P60072,owl:sameAs,rdau:dateOfManufacture.en
rdau:P60073,owl:sameAs,rdau:dateOfPublication.en
rdau:P60074,owl:sameAs,rdau:dateOfCapture.en
rdau:P60075,owl:sameAs,rdau:dateOfUsage.en
rdau:P60076,owl:sameAs,rdau:periodOfActivityOfAgent.en
rdau:P60077,owl:sameAs,rdau:parallelDesignationOfNamedRevisionOfEdition.en
rdau:P60078,owl:sameAs,rdau:parallelDesignationOfEdition.en
rdau:P60079,owl:sameAs,rdau:numberOfConference.en
rdau:P60080,owl:sameAs,rdau:numberingOfPart.en
rdau:P60081,owl:sameAs,rdau:numberingWithinSequence.en
rdau:P60082,owl:sameAs,rdau:numberingWithinSubseries.en
rdau:P60083,owl:sameAs,rdau:electronicReproduction.en
rdau:P60084,owl:sameAs,rdau:filmDirector.en
rdau:P60085,owl:sameAs,rdau:radioDirector.en
rdau:P60086,owl:sameAs,rdau:televisionDirector.en
rdau:P60087,owl:sameAs,rdau:parallelNameOfDistributor.en
rdau:P60088,owl:sameAs,rdau:dramatizedAs.en
rdau:P60089,owl:sameAs,rdau:fieldOfActivityOfAgent.en
rdau:P60090,owl:sameAs,rdau:award.en
rdau:P60091,owl:sameAs,rdau:donor.en
rdau:P60092,owl:sameAs,rdau:seller.en
rdau:P60093,owl:sameAs,rdau:fileType.en
rdau:P60095,owl:sameAs,rdau:affiliation.en
rdau:P60096,owl:sameAs,rdau:enactingJurisdiction.en
rdau:P60097,owl:sameAs,rdau:jurisdictionGoverned.en
rdau:P60098,owl:sameAs,rdau:languageOfAgent.en
rdau:P60099,owl:sameAs,rdau:languageOfResource.en
rdau:P60100,owl:sameAs,rdau:facsimilePartOf.en
rdau:P60101,owl:sameAs,rdau:partOfResource.en
rdau:P60102,owl:sameAs,rdau:sequel.en
rdau:P60103,owl:sameAs,rdau:replacedInPartBy.en
rdau:P60104,owl:sameAs,rdau:replacedBy.en
rdau:P60105,owl:sameAs,rdau:artisticAndOrTechnicalCredit.en
