,RDA,,,,,,,,LOCAL Policy,,ENCODING,,,,,,,
Label,CURIE,CURIE (full),Domain,Range,Min,Max,M/MA/O,Recording method,Transcription Method,VES,SES,Bib Mapping,Authority Mapping,Instruction Number,Element Type,Status,Notes,
has abridger corporate body,P20475,rdae:P20475,Expression,Corporate body,0,1,O,Unstructured,Normalised,,MARC21,500,,,2,Published,,
has abridger corporate body,P20475,rdae:P20475,Expression,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"710 $a, b, c","510 $a, b, c, d",,2,Published,,
has abridger family,P20534,rdae:P20534,Expression,Family,0,1,O,Unstructured,Normalised,,MARC21,500,,,2,Published,,
has abridger family,P20534,rdae:P20534,Expression,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,700 3,"500 3* $a, c",,2,Published,,
has abridger person,P20357,rdae:P20357,Expression,Person,0,1,O,Unstructured,Normalised,,MARC21,500,,,2,Published,,
has abridger person,P20357,rdae:P20357,Expression,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 0,1 $a, b, c","500 $a, b, c",,2,Published,,
has actor corporate body,P20487,rdae:P20487,Expression,Corporate body,0,1,O,Unstructured,Normalised,,MARC21,511,,,2,Published,,
has actor corporate body,P20487,rdae:P20487,Expression,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"710 $a, b, c","510 $a, b, c, d",,2,Published,,
has actor family,P20546,rdae:P20546,Expression,Family,0,1,O,Unstructured,Normalised,,MARC21,511,,,2,Published,,
has actor family,P20546,rdae:P20546,Expression,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 3* $a, b, c","500 3* $a, c",,2,Published,,
has actor person,P20369,rdae:P20369,Expression,Person,0,1,O,Unstructured,Normalised,,MARC21,511,,,2,Published,,
has actor person,P20369,rdae:P20369,Expression,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 0,1 $a, b, c","500 0*/1* $a, b, c",,2,Published,,
has animator corporate body,P20512,rdae:P20512,Expression,Corporate body,0,1,O,Unstructured,Normalised,,MARC21,508,,,2,Published,, 
has animator corporate body,P20512,rdae:P20512,Expression,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"710 $a, b, c","510 $a, b, c, d",,2,Published,,
has animator family,P20571,rdae:P20571,Expression,Family,0,1,O,Unstructured,Normalised,,MARC21,508,,,2,Published,,
has animator family,P20571,rdae:P20571,Expression,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 3* $a, b, c","500 3* $a, c",,2,Published,,
has animator person,P20394,rdae:P20394,Expression,Person,0,1,O,Unstructured,Normalised,,MARC21,508,,,2,Published,,
has animator person,P20394,rdae:P20394,Expression,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 0,1 $a, b, c","500 0*/1* $a, b, c",,2,Published,,
has arranger corporate body of music,P20483,rdae:P20483,Expression,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"710 $a, b, c","510 $a, b, c, d",,2,Published,,
has arranger corporate body of music,P20483,rdae:P20483,Expression,Corporate body,0,1,O,Unstructured,Normalised,,MARC21,500,,,2,Published,,
has arranger family of music,P20542,rdae:P20542,Expression,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 3* $a, b, c","500 3* $a, c",,2,Published,,
has arranger family of music,P20542,rdae:P20542,Expression,Family,0,1,O,Unstructured,Normalised,,MARC21,500,,,2,Published,,
has arranger person of music,P20365,rdae:P20365,Expression,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 0,1 $a, b, c","500 0*/1* $a, b, c",,2,Published,,
has arranger person of music,P20365,rdae:P20365,Expression,Person,0,1,O,Unstructured,Normalised,,MARC21,500,,,2,Published,,
has aspect ratio,P20229,rdae:P20229,Expression,N/A,0,1,O,Unstructured,Normalised,,MARC21,500,,7.19,3,Published,,
has authorized access point for expression,P20313,rdae:P20313,Expression,Nomen,0,1,MA,Structured,N/A,SCIS Authorities,MARC21,100 / 110/ 111 / 130,,,3,Published,,
has choral conductor person,P20336,rdae:P20336,Expression,Person,0,1,O,Unstructured,Normalised,,MARC21,511,,,2,Published,,
has choral conductor person,P20336,rdae:P20336,Expression,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 0,1 $a, b, c","500 0*/1* $a, b, c",,2,Published,,
has commentator corporate body,P20495,rdae:P20495,Expression,Corporate body,0,1,O,Unstructured,Normalised,,MARC21,511,,,2,Published,,
has commentator corporate body,P20495,rdae:P20495,Expression,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"710 ** $a, b, c, d","510 ** $a, b, c, d",,2,Published,,
has commentator family,P20554,rdae:P20554,Expression,Family,0,1,O,Unstructured,Normalised,,MARC21,511,,,2,Published,,
has commentator family,P20554,rdae:P20554,Expression,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 3* $a, b, c","500 3* $a, c",,2,Published,,
has commentator person,P20377,rdae:P20377,Expression,Person,0,1,O,Unstructured,Normalised,,MARC21,511,,,2,Published,,
has commentator person,P20377,rdae:P20377,Expression,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"700 0,1 $a, b, c","500 0*/1* $a, b, c",,2,Published,,
has conductor person,P20383,rdae:P20383,Expression,Person,0,,O,Unstructured,Normalised,,MARC21,511,,,2,Published,,
has conductor person,P20383,rdae:P20383,Expression,Person,0,,O,Structured,N/A,SCIS Authorities,MARC21,"700 0,1 $a, b, c","500 0*/1* $a, b, c",,2,Published,,
has content type,P20001,rdae:P20001,Expression,N/A,1,>1,M,Structured,N/A,RDA Content Type,MARC21,336 ** $a,,6.9,4,Published,,
has contributor corporate body to amalgamation,P20485,rdae:P20485,Expression,Corporate body,0,1,O,Unstructured,Normalised,,MARC21,500,,,2,Published,,
has contributor corporate body to amalgamation,P20485,rdae:P20485,Expression,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC21,"710 ** $a, b, c, d","510 ** $a, b, c, d",,2,Published,,
