Label,CURIE,CURIE (Full),Description,Domain,Range,Min,Max,M/MA/O,Recroding methid,Transcription method,VES,SES,Bib mapping,Authority mapping,Instruction number,Element type,Status,Notes on application,
has cartographic data type,,rdam:P30261,Relates a manifestation to a machine-readable representation of geospatial features.,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.19.8.5,,Published,Not in spreadsheet before importing the unused elements. LC has it as core for digital cartographic resources; however it is an option to record 'details of cartographic type' (P30262) instead - maybe this is why it was omitted?,
has distributor person,P30359,rdam:P30359,Relates a manifestation to a person who is responsible for distributing a published manifestation.,Manifestation,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,,2,Published,"Is this only ever used for films? In which case there is a narrower element, film distributor person, P30348. But see the application note at P30406",
has film distributor corporate body,P30406,rdam:P30406,Relates a manifestation to a corporate body who is responsible for distributing a moving image manifestation to theatres or other distribution channels.,Manifestation,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,,2,Published,Do we ever use these? Rarely. Change Standards to leave out.,
has distributor corporate body,P30417,rdam:P30417,Relates a manifestation to a corporate body who is responsible for distributing a published manifestation.,Manifestation,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,,2,Published,This is a broader element of film distributor corporate body. See also the note at P30406.,
has film distributor family,P30435,rdam:P30435,Relates a manifestation to a family who is responsible for distributing a moving image manifestation to theatres or other distribution channels.,Manifestation,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,,2,Published,,
has distributor family,P30446,rdam:P30446,Relates a manifestation to a family who is responsible for distributing a published manifestation.,Manifestation,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,,2,Published,Broader element of film distributor family,
has carrier type,P30001,rdam:P30001,"Relates a manifestation to a categorization reflecting the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",Manifestation,N/A,1,>1,M,Structured,N/A,RDA Carrier Type,MARC 21,338 $a,,3.3,4,Published,,O = Optional
has media type,P30002,rdam:P30002,"Relates a manifestation to a categorization that reflects the general type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",Manifestation,N/A,1,>1,M,Structured,N/A,RDA Media Type,MARC 21,337 $a,,3.2,4,Published,,
has mode of issuance,P30003,rdam:P30003,Relates a manifestation to a categorization that reflects whether a manifestation is issued in one or more units.,Manifestation,N/A,1,1,M,Structured,N/A,MARC 21,MARC 21,000 leader /07,,2.13,4,Published,,
has identifier for manifestation,P30004,rdam:P30004,"Relates a manifestation to a nomen that is a n appellation of manifestation that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify a manifestation.",Manifestation,Nomen,0,>1,MA,Identifier,Normalised,ISBN / ISSN ,MARC 21,020 $a /024 $a / 028 $a,,2.15,3,Published,,
has regional encoding,P30006,rdam:P30006,"Relates a manifestation to a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",Manifestation,N/A,0,1,O,Unstructured,Normalised,,MARC 21,538 $a,,,,Published,,
has regional encoding,P30006,rdam:P30006,"Relates a manifestation to a designation for one or more regions of the world for which a videodisc or video game carrier has been encoded, indicating that playback is restricted to a device configured to decode it.",Manifestation,N/A,0,1,O,Structured,N/A,,MARC 21,347 $e,,3.19.6,4,Published,Instruction number supplied,
has date of production,P30009,rdam:P30009,"Relates a manifestation to a timespan during which an unpublished manifestation is inscribed, fabricated, constructed, or otherwise produced.",Manifestation,Timespan,0,1,O ,Identifier,N/A,MARC 21,MARC 21,008 /07-14,,,,Published,,
has date of production,P30009,rdam:P30009,"Relates a manifestation to a timespan during which an unpublished manifestation is inscribed, fabricated, constructed, or otherwise produced.",Manifestation,Timespan,0,1,O ,Unstructured,Normalised,,MARC 21,264 $c,,2.7.6,3,Published,,
has date of publication,P30011,rdam:P30011,"Relates a manifestation to a timespan during which a published manifestation is published, released, or issued.",Manifestation,Timespan,1,1,M,Identifier,N/A,MARC 21,MARC 21,008 /07-14,,,,Published,,
has date of publication,P30011,rdam:P30011,"Relates a manifestation to a timespan during which a published manifestation is published, released, or issued.",Manifestation,Timespan,1,1,M,Unstructured,Normalised,,MARC 21,264 $c,,2.8.6,3,Published,,
has numbering within sequence,P30014,rdam:P30014,Relates a manifestation to a nomen that is a designation that is assigned to a manifestation to identify its position in a sequence of individual parts of a larger manifestation or parts or issues of a larger work.,Manifestation,N/A,0,>1,MA,Unstructured,Normalised,,MARC 21,490 $v,,2.12.9,6,Published,,
has numbering within sequence,P30014,rdam:P30014,Relates a manifestation to a nomen that is a designation that is assigned to a manifestation to identify its position in a sequence of individual parts of a larger manifestation or parts or issues of a larger work.,Manifestation,N/A,0,>1,MA,Unstructured,Normalised,,MARC 21,830 $v,,2.12.9,6,Published,,
has numbering within subseries (Deprecated),P30015,rdam:P30015,Relates a manifestation to a designation of the sequencing of a part or parts within a subseries. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has file type,P30018,rdam:P30018,Relates a manifestation to a general type of data content encoded in a computer file.,Manifestation,N/A,0,1,O ,Unstructured,Normalised,,MARC 21,500 $a,,3.19.2,4,Published,,
is facsimile part of,P30019,rdam:P30019,Relates a manifestation to a manifestation that is a part manifestation that exactly reproduces another manifestation.,Manifestation,Manifestation,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is part of manifestation,P30020,rdam:P30020,Relates a manifestation to a manifestation that has another manifestation as a discrete component.,Manifestation,Manifestation,0,1,O ,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,May also be unstructured 500 $a,
has insert,P30022,rdam:P30022,Relates a manifestation to a manifestation that is a separate part of another manifestation.,Manifestation,Manifestation,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is description of (manifestation) (Deprecated),P30023,rdam:P30023,Relates a work to a manifestation described by a describing work. (Deprecated),,,,,,,,,,,,,,Deprecated,,
is inserted in,P30025,rdam:P30025,Relates a manifestation to a manifestation that includes another manifestation as a separate part.,Manifestation,Manifestation,0,,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,May also be unstructured 500 $a,
is also issued as,P30026,rdam:P30026,Relates a manifestation to a manifestation that embodies the same expression of a work in a different format.,Manifestation,Manifestation,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is accompanied by manifestation,P30027,rdam:P30027,Relates a manifestation to a manifestation that is a part of the same manifestation as another part manifestation.,Manifestation,Manifestation,0,>1,MA,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
has mirror site,P30028,rdam:P30028,Relates a manifestation to a manifestation that is an exact copy of a website that is used to reduce network traffic or improve the availability of the content of the original site.,Manifestation,Manifestation,0,>1,O ,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
has special issue (Deprecated),P30030,rdam:P30030,"Relates a manifestation to a manifestation that consists of a single issue or a supplementary section of a periodical or newspaper devoted to a special subject, with or without serial numbering. (Deprecated)",,,,,,,,,,,,,,Deprecated,,
is analysis of (manifestation) (Deprecated),P30032,rdam:P30032,Relates a work to a manifestation that has been examined to identify its components and their relations. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has part manifestation,P30033,rdam:P30033,Relates a manifestation to a manifestation that is a discrete component of another manifestation.,Manifestation,Manifestation,0,>1,O ,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
is evaluation of (manifestation) (Deprecated),P30034,rdam:P30034,Relates a work to a manifestation that is examined or judged. (Deprecated),,,,,,,,,,,,,,Deprecated,,
is on disc with manifestation,P30036,rdam:P30036,Relates a manifestation to a manifestation that is issued on the same disc with a manifestation being described.,Manifestation,Manifestation,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,May also be unstructured 500 $a,
is review of (manifestation) (Deprecated),P30041,rdam:P30041,Relates a work to a manifestation used as the basis for a brief evaluation. (Deprecated),,,,,,,,,,,,,,Deprecated,,
is critique of (manifestation) (Deprecated),P30042,rdam:P30042,Relates a work to a manifestation used as the basis for a critical evaluation. (Deprecated),,,,,,,,,,,,,,Deprecated,,
is reproduction of manifestation of,P30043,rdam:P30043,Relates a manifestation to a manifestation that is used as the basis for a reproduction.,Manifestation,Manifestation,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,May also be unstructured 500 $a,
is commentary on (manifestation) (Deprecated),P30044,rdam:P30044,Relates a work to a manifestation used as the basis for a set of explanatory or critical notes. (Deprecated),,,,,,,,,,,,,,Deprecated,,
is facsimile of manifestation of,P30047,rdam:P30047,Relates a manifestation to a manifestation that is used as the basis for an exact reproduction.,Manifestation,Manifestation,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,May also be unstructured 500 $a (or 264 $b?),
has note on issue or part or iteration used as basis for identification of manifestation,P30050,rdam:P30050,Relates a manifestation to a note that identifies a part or iteration that is used for the base description of a multiunit or integrating manifestation.,Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,2.17.13,6,Published,,
has note on changes in carrier characteristics,P30051,rdam:P30051,"Relates a manifestation to a note on manifestation that provides information on variations in the carrier characteristics that are found on manifestations of parts, issues, or iterations of a diachronic work.",Manifestation,N/A,0,>1,O ,Unstructured,Normalised,,MARC 21,500 $a,,3.21.4,6,Published,344 $a (structured) may be used in future,
has note on distribution statement,P30052,rdam:P30052,Relates a manifestation to a note on manifestation that provides information on the distribution of a manifestation.,Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,2.17.8,6,Published,,
has note on publication statement,P30055,rdam:P30055,Relates a manifestation to a note on manifestation that provides information on the publication of a manifestation.,Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,2.17.7,6,Published,,
has note on frequency (Deprecated),P30056,rdam:P30056,"Relates a manifestation to a note providing details on the currency of the contents, on the frequency of release of issues or parts of a serial or the frequency of updates to an integrating resource, or on changes in frequency. (Deprecated)",,,,,,,,,,,,,,Deprecated,,
has note on statement of responsibility,P30057,rdam:P30057,"Relates a manifestation to note on manifestation that provides information on an agent, and their function, who is responsible for a work or its expression that is embodied by a manifestation.",Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,2.17.3,6,Published,,
has note on series statement,P30058,rdam:P30058,Relates a manifestation to a note on manifestation that provides information on a series with which a manifestation is associated.,Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,2.17.11,6,Published,,
has note on dimensions of manifestation,P30060,rdam:P30060,Relates a manifestation to a note on manifestation that provides information on the dimensions of a manifestation.,Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,3.21.3,6,Published,,
has note on extent of manifestation,P30061,rdam:P30061,Relates a manifestation to a note on manifestation that provides information on the extent of a manifestation.,Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,3.21.2,6,Published,,
