,RDA,,,,,,LOCAL Policy,,ENCODING,,,,,,,,
Label,CURIE,CURIE (full),Domain,Range,Min,Max,M/MA/O,Recording method,Transcription Method,VES,SES,Bib Mapping,Authority Mapping,Instruction Number,Element Type,Status,Notes on application
has addenda work,P10112,rdaw:P10112,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,"Would we catalogue as separate work? - Yes, but only as unstructured"
has aggregator corporate body,P10542,rdaw:P10542,Work,Corporate body,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,710,110 /510,,2,Published,
has aggregator family,P10589,rdaw:P10589,Work,Family,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,700,,,2,Published,
has aggregator person,P10448,rdaw:P10448,Work,Person,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,700,,,2,Published,
has appendix work,P10123,rdaw:P10123,Work,,0,>1,O,Unstructured,Normalised,,MARC 21,"500, 740*",,24.5,2,Published,"Would we catalogue as separate work? - Yes, but only as unstructured"
has artist corporate body,P10545,rdaw:P10545,Work,Corporate body,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,110 / 710,110 / 510,,2,Published,
has artist family,P10592,rdaw:P10592,Work,Family,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has artist person,P10451,rdaw:P10451,Work,Person,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has artist corporate body,P10545,rdaw:P10545,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has audio producer corporate body,P10515,rdaw:P10515,Work,Corporate body,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has artist family,P10592,rdaw:P10592,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has audio producer family,P10562,rdaw:P10562,Work,Family,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has artist person,P10451,rdaw:P10451,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has audio producer person,P10421,rdaw:P10421,Work,Person,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has audio producer corporate body,P10515,rdaw:P10515,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has author corporate body,P10530,rdaw:P10530,Work,Corporate body,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has audio producer family,P10562,rdaw:P10562,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has author family,P10577,rdaw:P10577,Work,Family,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has audio producer person,P10421,rdaw:P10421,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has author person,P10436,rdaw:P10436,Work,Person,0,>1,MA,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has author corporate body,P10530,rdaw:P10530,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has cartographer corporate body of work,P10529,rdaw:P10529,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has author family,P10577,rdaw:P10577,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has cartographer family of work,P10576,rdaw:P10576,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has author person,P10436,rdaw:P10436,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has cartographer person of work,P10435,rdaw:P10435,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has category of work,P10004,rdaw:P10004,Work,N/A,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,650 /655,,6.3,5,Published,may use 380 later
has choreographer corporate body,P10528,rdaw:P10528,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has cartographer corporate body of work,P10529,rdaw:P10529,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has choreographer family,P10575,rdaw:P10575,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has cartographer corporate body of work,P10529,rdaw:P10529,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has choreographer person,P10434,rdaw:P10434,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has cartographer person of work,P10435,rdaw:P10435,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has commissioning corporate body,P10533,rdaw:P10533,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has commissioning family,P10580,rdaw:P10580,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has commissioning person,P10439,rdaw:P10439,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has choreographer corporate body,P10528,rdaw:P10528,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has compiler corporate body,P10538,rdaw:P10538,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
